,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,580.11",+2.79%,$33.2b,$7.0b,+2.64%,30.03%,0.21,+0.0063%,+0.0092%,$70.4m
1,Bitcoin-BTC,"$20,069.78",+0.67%,$28.4b,$9.8b,+2.48%,41.90%,0.34,+0.0029%,+0.0045%,$25.1m
2,Ethereum Classic-ETC,$32.71,+2.26%,$1.4b,$393.6m,+3.00%,1.69%,0.28,-0.0047%,-0.0069%,$3.3m
3,Polygon-MATIC,$0.8756,+5.76%,$1.1b,$236.7m,+21.61%,1.02%,0.21,-0.0181%,-0.0217%,$2.9m
4,EOS-EOS,$1.51,+11.60%,$1.1b,$197.0m,+16.84%,0.85%,0.18,-0.0005%,+0.0012%,$2.0m
5,Solana-SOL,$31.37,+0.26%,$1.1b,$391.1m,+2.36%,1.68%,0.37,+0.0070%,+0.0064%,$1.8m
6,Tellor-TRB,$20.44,+7.42%,$1.0b,$66.2m,+1.93%,0.28%,0.07,-1.2500%,-1.2500%,$2.2m
7,Binance Coin-BNB,$276.84,+0.28%,$780.8m,$274.7m,+6.08%,1.18%,0.35,-0.0070%,-0.0097%,$589.1k
8,Cosmos-ATOM,$12.62,+8.04%,$724.9m,$134.0m,+16.70%,0.58%,0.18,-0.0116%,-0.0076%,$1.5m
9,Litecoin-LTC,$57.17,+7.26%,$660.2m,$199.6m,+13.94%,0.86%,0.30,+0.0044%,+0.0039%,$1.0m
10,Cardano-ADA,$0.4561,+2.98%,$614.3m,$274.8m,+3.05%,1.18%,0.45,+0.0029%,-0.0047%,$689.9k
11,Chiliz-CHZ,$0.2106,-1.65%,$608.5m,$93.2m,-11.44%,0.40%,0.15,+0.0089%,+0.0089%,$851.1k
12,Avalanche-AVAX,$19.12,+0.85%,$545.9m,$136.0m,+3.17%,0.58%,0.25,-0.0073%,-0.0124%,$848.1k
13,Ripple-XRP,$0.3317,+1.56%,$502.3m,$326.8m,+1.43%,1.40%,0.65,-0.0085%,-0.0101%,$745.9k
14,Optimism-OP,$1.18,+6.67%,$422.9m,$65.4m,+5.85%,0.28%,0.15,+0.0120%,+0.0076%,$627.8k
15,NEAR Protocol-NEAR,$4.32,+0.15%,$403.4m,$97.6m,-9.27%,0.42%,0.24,+0.0047%,+0.0010%,$535.5k
16,Dogecoin-DOGE,$0.0621,+2.32%,$365.6m,$122.5m,+1.13%,0.53%,0.34,+0.0093%,+0.0059%,$488.1k
17,Polkadot-DOT,$7.17,+3.05%,$309.6m,$265.4m,+3.10%,1.14%,0.86,-0.0018%,-0.0102%,$219.9k
18,Chainlink-LINK,$6.89,+5.11%,$292.1m,$105.5m,+7.25%,0.45%,0.36,+0.0055%,+0.0000%,$466.7k
19,STEPN-GMT,$0.6804,+2.71%,$278.8m,$110.3m,+4.84%,0.47%,0.40,+0.0035%,+0.0078%,$446.5k
20,Curve DAO Token-CRV,$1.14,+0.89%,$276.3m,$60.4m,-8.51%,0.26%,0.22,+0.0038%,-0.0078%,$698.7k
21,Balancer-BAL,$7.68,+9.20%,$261.6m,$27.0m,+87.43%,0.12%,0.10,+0.0412%,-0.0381%,$678.0k
22,FOOTBALL-FOOTBALL,"$1,142.14",-22.72%,$258.8m,$5.9m,+448.89%,0.03%,0.02,+0.7500%,+0.7500%,$694.4k
23,Filecoin-FIL,$5.76,+1.05%,$239.1m,$101.3m,+3.39%,0.43%,0.42,+0.0063%,+0.0155%,$226.5k
24,Terra-LUNA,$1.97,+10.34%,$233.6m,$8.2m,+36.74%,0.04%,0.04,+0.0150%,+0.0128%,$1.4m
25,1000SHIB-1000SHIB,$0.0123,+2.27%,$220.5m,$38.6m,+1.57%,0.17%,0.18,+0.0001%,+0.0037%,$292.5k
26,ApeCoin-APE,$4.74,+0.21%,$192.4m,$65.6m,+1.34%,0.28%,0.34,+0.0000%,-0.0024%,$262.8k
27,Synthetix Network Token-SNX,$2.92,-1.98%,$184.3m,$39.5m,-5.33%,0.17%,0.21,-0.0264%,-0.0221%,$260.7k
28,Stargate Finance-STG,$0.6768,+13.19%,$181.0m,$20.4m,+18.31%,0.09%,0.11,-0.1268%,-0.1227%,$450.7k
29,Bitcoin Cash-BCH,$116.43,+2.32%,$171.5m,$169.2m,+3.26%,0.73%,0.99,-0.0049%,-0.0174%,$242.5k
