,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,658.34",+5.99%,$31.2b,$7.3b,+4.75%,30.17%,0.23,-0.0067%,-0.0037%,$88.1m
1,Bitcoin-BTC,"$19,922.69",+0.78%,$25.9b,$10.0b,-1.31%,41.04%,0.38,+0.0036%,+0.0050%,$19.9m
2,Ethereum Classic-ETC,$39.71,+23.94%,$8.1b,$671.2m,+71.92%,2.77%,0.08,+0.0021%,+0.0042%,$21.4m
3,Solana-SOL,$32.98,+4.34%,$1.2b,$390.9m,-0.35%,1.61%,0.33,+0.0101%,+0.0098%,$2.2m
4,Cardano-ADA,$0.5021,+3.07%,$1.1b,$311.4m,-4.00%,1.28%,0.28,+0.0058%,+0.0110%,$1.8m
5,EOS-EOS,$1.53,+5.62%,$860.9m,$190.2m,+3.35%,0.78%,0.22,+0.0100%,+0.0095%,$2.1m
6,Ripple-XRP,$0.3344,+2.91%,$728.5m,$331.1m,+0.74%,1.36%,0.45,+0.0068%,+0.0042%,$1.4m
7,Polygon-MATIC,$0.8921,+1.96%,$716.0m,$219.0m,-3.05%,0.90%,0.31,-0.0002%,-0.0059%,$1.1m
8,Binance Coin-BNB,$280.50,+2.13%,$706.4m,$262.9m,-2.18%,1.08%,0.37,+0.0065%,+0.0088%,$729.9k
9,Litecoin-LTC,$59.67,-0.39%,$631.3m,$217.5m,-4.20%,0.90%,0.34,+0.0058%,+0.0097%,$1.1m
10,Ravencoin-RVN,$0.0372,+15.50%,$628.3m,$29.4m,+30.07%,0.12%,0.05,-0.0249%,+0.0352%,$1.5m
11,Avalanche-AVAX,$19.95,+6.65%,$603.5m,$144.4m,-3.06%,0.60%,0.24,+0.0137%,+0.0079%,$1.3m
12,Optimism-OP,$1.21,+7.49%,$537.5m,$67.8m,-4.78%,0.28%,0.13,+0.0119%,+0.0113%,$1.1m
13,Cosmos-ATOM,$12.45,-1.26%,$496.3m,$122.7m,-11.83%,0.51%,0.25,+0.0053%,+0.0035%,$753.9k
14,Polkadot-DOT,$7.60,+1.34%,$489.6m,$284.2m,-1.55%,1.17%,0.58,+0.0069%,-0.0008%,$464.1k
15,Dogecoin-DOGE,$0.0632,+2.04%,$418.7m,$128.2m,-1.16%,0.53%,0.31,+0.0109%,+0.0126%,$709.7k
16,Chiliz-CHZ,$0.2052,-0.37%,$408.4m,$98.6m,-0.23%,0.41%,0.24,+0.0142%,+0.0098%,$590.5k
17,Chainlink-LINK,$7.29,+1.84%,$403.4m,$115.1m,-8.28%,0.47%,0.29,+0.0059%,+0.0056%,$2.9m
18,Filecoin-FIL,$6.15,+2.34%,$398.7m,$111.0m,-3.81%,0.46%,0.28,+0.0040%,+0.0073%,$806.2k
19,Bitcoin Cash-BCH,$124.99,+5.93%,$344.2m,$188.7m,+10.06%,0.78%,0.55,-0.0001%,-0.0033%,$633.5k
20,1000SHIB-1000SHIB,$0.0126,+2.17%,$309.1m,$44.1m,-8.99%,0.18%,0.14,+0.0097%,+0.0100%,$609.4k
21,Curve DAO Token-CRV,$1.16,+9.06%,$307.4m,$66.2m,+13.22%,0.27%,0.22,+0.0161%,+0.0095%,$562.9k
