,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,894.78",+0.66%,$18.1b,$9.9b,-0.88%,41.75%,0.55,+0.0000%,-0.0026%,$9.2m
1,Ethereum-ETH,"$1,577.19",+1.68%,$16.4b,$7.0b,+1.02%,29.46%,0.43,+0.0017%,+0.0008%,$28.3m
2,Cardano-ADA,$0.4981,+0.53%,$1.3b,$345.8m,+4.18%,1.46%,0.27,-0.0077%,-0.0045%,$1.2m
3,Ethereum Classic-ETC,$32.52,+1.20%,$812.9m,$386.2m,+1.08%,1.63%,0.48,-0.0086%,-0.0049%,$1.4m
4,Solana-SOL,$32.13,+2.53%,$654.9m,$404.4m,+3.38%,1.71%,0.62,+0.0111%,+0.0154%,$1.1m
5,1000SHIB-1000SHIB,$0.0128,+3.53%,$614.5m,$52.8m,+33.14%,0.22%,0.09,+0.0091%,+0.0100%,$878.4k
6,Cosmos-ATOM,$12.85,+2.86%,$553.1m,$149.7m,+13.60%,0.63%,0.27,-0.0113%,-0.0159%,$1.2m
7,Litecoin-LTC,$60.55,+1.11%,$503.6m,$227.2m,-0.29%,0.96%,0.45,+0.0097%,+0.0066%,$829.1k
8,EOS-EOS,$1.49,-2.04%,$452.7m,$187.5m,-2.54%,0.79%,0.41,+0.0035%,+0.0080%,$521.3k
9,Polygon-MATIC,$0.8931,+1.11%,$436.7m,$234.8m,-1.27%,0.99%,0.54,-0.0064%,-0.0019%,$280.6k
10,Binance Coin-BNB,$278.45,+0.34%,$398.9m,$262.8m,+1.39%,1.11%,0.66,+0.0030%,+0.0067%,$148.9k
11,Ravencoin-RVN,$0.0333,+12.35%,$397.7m,$24.0m,+249.54%,0.10%,0.06,-0.5856%,-0.1642%,$738.5k
12,Chainlink-LINK,$7.19,+4.65%,$386.8m,$119.2m,+18.99%,0.50%,0.31,+0.0035%,+0.0097%,$395.0k
13,Filecoin-FIL,$6.23,-0.88%,$380.0m,$121.5m,-13.73%,0.51%,0.32,+0.0025%,+0.0138%,$642.5k
14,STEPN-GMT,$0.7033,+2.83%,$342.5m,$116.3m,+4.87%,0.49%,0.34,-0.0058%,-0.0040%,$351.0k
15,Chiliz-CHZ,$0.2098,-1.87%,$340.5m,$98.9m,+0.65%,0.42%,0.29,-0.0045%,-0.0089%,$507.7k
16,Polkadot-DOT,$7.55,+3.45%,$335.5m,$287.4m,+7.21%,1.21%,0.86,+0.0024%,+0.0117%,$413.9k
17,Avalanche-AVAX,$19.05,+0.60%,$323.4m,$149.4m,+10.29%,0.63%,0.46,-0.0056%,+0.0056%,$134.1k
18,Dogecoin-DOGE,$0.0632,+0.96%,$322.2m,$128.6m,+1.03%,0.54%,0.40,+0.0046%,+0.0083%,$427.3k
