,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,633.57",+6.36%,$32.5b,$7.3b,+5.50%,30.72%,0.22,-0.0015%,+0.0005%,$70.5m
1,Bitcoin-BTC,"$20,307.13",+2.67%,$27.8b,$9.8b,-0.37%,41.00%,0.35,+0.0020%,+0.0029%,$24.3m
2,Ethereum Classic-ETC,$33.69,+5.92%,$1.4b,$402.6m,+5.30%,1.69%,0.28,+0.0053%,+0.0022%,$2.1m
3,Polygon-MATIC,$0.8925,+4.44%,$1.3b,$265.6m,+20.96%,1.12%,0.21,-0.0206%,-0.0182%,$2.5m
4,EOS-EOS,$1.55,+9.16%,$1.2b,$209.5m,+15.10%,0.88%,0.18,-0.0037%,+0.0057%,$2.4m
5,Solana-SOL,$32.21,+4.57%,$1.0b,$400.6m,+3.53%,1.68%,0.40,+0.0107%,+0.0076%,$1.7m
6,Tellor-TRB,$19.98,+5.66%,$766.0m,$68.7m,+7.03%,0.29%,0.09,-0.6165%,-0.4293%,$1.3m
7,Chiliz-CHZ,$0.2188,+6.60%,$720.9m,$106.1m,+11.80%,0.45%,0.15,+0.0095%,+0.0052%,$1.0m
8,Cosmos-ATOM,$12.88,+6.85%,$682.4m,$138.3m,+2.65%,0.58%,0.20,-0.0033%,-0.0041%,$1.3m
9,Litecoin-LTC,$60.76,+9.96%,$660.0m,$215.2m,+14.07%,0.90%,0.33,+0.0022%,+0.0006%,$2.2m
10,Binance Coin-BNB,$281.63,+3.05%,$652.4m,$268.9m,-1.00%,1.13%,0.41,+0.0041%,+0.0049%,$290.5k
11,Optimism-OP,$1.26,+14.72%,$581.1m,$80.2m,+30.10%,0.34%,0.14,+0.0122%,+0.0030%,$851.3k
12,Ripple-XRP,$0.3308,+2.34%,$537.9m,$320.3m,+0.51%,1.34%,0.60,+0.0113%,+0.0108%,$665.2k
13,Avalanche-AVAX,$19.51,+4.93%,$504.7m,$137.5m,+1.56%,0.58%,0.27,+0.0116%,-0.0035%,$614.7k
14,Cardano-ADA,$0.4659,+4.42%,$499.9m,$277.9m,+2.52%,1.17%,0.56,+0.0051%,+0.0146%,$249.0k
15,Polkadot-DOT,$7.50,+7.81%,$384.6m,$280.6m,+7.84%,1.18%,0.73,-0.0027%,+0.0006%,$747.7k
16,Chainlink-LINK,$7.18,+9.53%,$342.4m,$112.6m,+14.23%,0.47%,0.33,-0.0032%,+0.0025%,$665.5k
17,NEAR Protocol-NEAR,$4.35,+0.91%,$322.4m,$96.9m,-4.89%,0.41%,0.30,+0.0024%,+0.0070%,$552.4k
18,Dogecoin-DOGE,$0.0624,+1.84%,$307.7m,$125.1m,+1.74%,0.53%,0.41,+0.0084%,+0.0106%,$249.5k
19,STEPN-GMT,$0.6918,+4.43%,$294.6m,$111.4m,+4.00%,0.47%,0.38,+0.0059%,+0.0058%,$744.4k
20,Filecoin-FIL,$5.90,+3.88%,$236.0m,$100.6m,+0.23%,0.42%,0.43,+0.0048%,+0.0075%,$176.3k
21,Curve DAO Token-CRV,$1.16,+7.38%,$227.9m,$62.1m,+6.64%,0.26%,0.27,+0.0026%,-0.0097%,$459.7k
22,1000SHIB-1000SHIB,$0.0124,+3.07%,$220.8m,$38.7m,-1.27%,0.16%,0.18,+0.0100%,+0.0024%,$309.4k
23,Stargate Finance-STG,$0.6738,+6.26%,$216.5m,$20.0m,+1.49%,0.08%,0.09,-0.1125%,-0.0722%,$296.7k
24,ApeCoin-APE,$4.84,+3.80%,$198.8m,$67.2m,+2.57%,0.28%,0.34,+0.0010%,+0.0040%,$181.1k
25,1inch-1INCH,$0.7237,+10.98%,$193.1m,$36.1m,+84.10%,0.15%,0.19,-0.0407%,-0.0623%,$364.4k
26,Bitcoin Cash-BCH,$118.49,+3.96%,$168.7m,$167.6m,+0.37%,0.70%,0.99,-0.0035%,-0.0123%,$377.9k
27,The Sandbox-SAND,$0.9521,+3.89%,$166.6m,$77.8m,+3.64%,0.33%,0.47,-0.0010%,+0.0027%,$119.8k
28,Aave-AAVE,$91.49,+9.59%,$145.8m,$53.6m,+25.09%,0.23%,0.37,-0.0005%,-0.0107%,$179.5k
29,Balancer-BAL,$7.66,+1.22%,$141.7m,$23.2m,-17.50%,0.10%,0.16,-0.0358%,+0.0199%,$298.5k
30,Axie Infinity-AXS,$14.47,+5.69%,$139.4m,$83.6m,+5.35%,0.35%,0.60,-0.0155%,-0.0127%,$411.0k
31,Celsius-CEL,$1.53,+29.79%,$135.5m,$29.8m,+30.15%,0.13%,0.22,-0.2257%,-0.1038%,$1.6m
32,Synthetix Network Token-SNX,$3.16,+10.08%,$127.8m,$39.9m,+4.84%,0.17%,0.31,-0.0190%,-0.0169%,$118.1k
33,Uniswap-UNI,$6.63,+9.20%,$126.8m,$51.8m,+12.88%,0.22%,0.41,-0.0012%,-0.0014%,$141.2k
34,FOOTBALL-FOOTBALL,"$1,165.82",+5.31%,$125.8m,$8.1m,+39.06%,0.03%,0.06,+0.2021%,+0.2192%,$231.3k
35,Terra-LUNA,$1.89,-3.49%,$125.8m,$7.9m,-6.98%,0.03%,0.06,+0.0104%,+0.0163%,$451.6k
36,Fantom-FTM,$0.2784,+4.89%,$119.5m,$49.2m,+1.59%,0.21%,0.41,+0.0069%,+0.0032%,$129.2k
37,Compound-COMP,$47.55,+3.62%,$112.1m,$23.2m,+13.37%,0.10%,0.21,-0.0065%,-0.0111%,$22.4k
38,Unifi Protocol DAO-UNFI,$7.72,+4.03%,$111.8m,$20.1m,+1.29%,0.08%,0.18,+0.0042%,+0.0061%,$108.8k
39,yearn.finance-YFI,"$10,074.48",+12.74%,$103.1m,$44.0m,+23.14%,0.18%,0.43,+0.0044%,+0.0080%,$186.0k
40,Tron-TRX,$0.0633,+1.52%,$94.9m,$138.4m,-2.54%,0.58%,1.46,-0.0173%,-0.0091%,$86.5k
41,Waves-WAVES,$4.57,+3.25%,$82.6m,$53.3m,+1.21%,0.22%,0.65,+0.0067%,+0.0082%,$84.9k
42,Decentraland-MANA,$0.7949,+4.68%,$82.1m,$40.4m,+3.59%,0.17%,0.49,+0.0072%,+0.0071%,$67.0k
43,Ethereum Name Service-ENS,$13.96,+6.91%,$81.3m,$26.5m,+17.36%,0.11%,0.33,+0.0050%,-0.0073%,$64.0k
44,dYdX-DYDX,$1.57,+5.97%,$80.7m,$37.3m,+6.98%,0.16%,0.46,-0.0002%,+0.0008%,$44.1k
45,Gala-GALA,$0.0510,+3.10%,$79.3m,$35.0m,+3.16%,0.15%,0.44,+0.0103%,+0.0056%,$40.9k
46,Kyber Network Crystal-KNC,$1.79,+4.29%,$78.0m,$21.4m,+7.51%,0.09%,0.27,+0.0076%,+0.0102%,$68.3k
47,Monero-XMR,$153.36,+1.84%,$75.3m,$42.9m,-1.71%,0.18%,0.57,-0.0018%,+0.0155%,$71.4k
48,Lido DAO Token-LDO,$2.22,+10.25%,$73.9m,$20.5m,+13.97%,0.09%,0.28,-0.0400%,-0.0405%,$309.6k
49,Helium-HNT,$4.73,+0.38%,$72.2m,$14.9m,+0.68%,0.06%,0.21,-0.0055%,-0.0090%,$187.5k
50,ConstitutionDAO-PEOPLE,$0.0209,+4.30%,$71.9m,$26.2m,-5.31%,0.11%,0.36,-0.0004%,+0.0047%,$40.9k
51,Flow (Dapper labs)-FLOW,$2.04,+1.45%,$70.2m,$29.1m,-4.07%,0.12%,0.41,+0.0001%,-0.0025%,$38.9k
52,1000XEC-1000XEC,$0.0458,+1.94%,$63.3m,$10.5m,-11.86%,0.04%,0.17,+0.0066%,-0.0175%,$85.0k
53,THETA-THETA,$1.17,+2.96%,$63.1m,$22.5m,+5.10%,0.09%,0.36,+0.0053%,-0.0057%,$55.1k
54,ZCash-ZEC,$61.18,+5.94%,$62.8m,$22.1m,+0.36%,0.09%,0.35,+0.0021%,+0.0005%,$157.0k
55,SushiSwap-SUSHI,$1.13,+10.86%,$61.0m,$30.4m,+14.91%,0.13%,0.50,+0.0056%,+0.0095%,$53.8k
56,CertiK-CTK,$0.9736,+0.36%,$60.7m,$9.5m,-13.72%,0.04%,0.16,+0.0037%,+0.0001%,$130.0k
57,Algorand-ALGO,$0.3045,+5.78%,$60.5m,$29.3m,+7.65%,0.12%,0.48,+0.0053%,+0.0070%,$50.7k
58,SHIBA INU-SHIB,$0.0000,+3.13%,$59.1m,$19.9m,+3.92%,0.08%,0.34,+0.0054%,+0.0025%,$49.8k
59,THORChain-RUNE,$1.96,+5.34%,$56.7m,$22.0m,-0.14%,0.09%,0.39,+0.0077%,+0.0071%,$83.8k
60,Oasis Network-ROSE,$0.0665,+8.30%,$51.5m,$13.0m,+10.61%,0.05%,0.25,+0.0081%,+0.0065%,$39.2k
61,LUNA2-LUNA2,n/a,n/a,$47.6m,$3.7m,-25.68%,0.02%,0.08,+0.0100%,+0.0100%,$183.3k
62,Kava-KAVA,$1.78,+5.33%,$44.8m,$12.3m,+3.67%,0.05%,0.27,+0.0058%,+0.0014%,$116.8k
63,BitDAO-BIT,$0.6787,+10.80%,$41.0m,$27.6m,+0.63%,0.12%,0.67,-0.0961%,-0.0966%,$154.1k
64,NEM-XEM,$0.0449,+4.57%,$39.2m,$9.2m,+13.81%,0.04%,0.24,+0.0363%,-0.0214%,$14.5k
65,Stellar Lumens-XLM,$0.1061,+3.41%,$37.7m,$36.5m,+1.84%,0.15%,0.97,-0.0040%,+0.0115%,$72.1k
66,Reserve Rights-RSR,$0.0064,+3.63%,$37.0m,$16.3m,+4.34%,0.07%,0.44,+0.0101%,+0.0128%,$13.2k
67,Tezos-XTZ,$1.55,+3.37%,$36.8m,$26.8m,+1.92%,0.11%,0.73,+0.0010%,-0.0070%,$56.3k
68,Bluzelle-BLZ,$0.0968,+1.19%,$36.5m,$7.9m,+4.62%,0.03%,0.22,+0.0093%,+0.0100%,$83.8k
69,DFI.Money-YFII,"$1,028.65",+6.39%,$35.5m,$19.4m,-0.82%,0.08%,0.55,-0.1984%,-0.2161%,$139.5k
70,Flamingo-FLM,$0.1188,+5.67%,$35.3m,$18.9m,+2.94%,0.08%,0.53,-0.0259%,-0.0720%,$35.0k
71,Terra Classic-LUNC,$0.0003,-1.80%,$33.9m,$1.6m,+6.42%,0.01%,0.05,+0.0176%,+0.0100%,$248.8k
72,Zilliqa-ZIL,$0.0366,+3.54%,$33.0m,$23.7m,+4.57%,0.10%,0.72,+0.0033%,+0.0080%,$17.3k
73,The Graph-GRT,$0.1063,+3.89%,$32.8m,$22.8m,+2.40%,0.10%,0.69,+0.0114%,+0.0008%,$19.5k
74,Coin98-C98,$0.4273,+0.46%,$32.6m,$14.5m,-5.60%,0.06%,0.44,+0.0047%,+0.0062%,$46.3k
75,Chromia-CHR,$0.1806,+1.63%,$32.0m,$9.6m,-3.83%,0.04%,0.30,+0.0076%,+0.0029%,$58.3k
76,Serum-SRM,$0.8018,+2.96%,$31.8m,$25.3m,+4.23%,0.11%,0.80,-0.0030%,-0.0037%,$4.6k
77,FTX Token-FTT,$26.97,+2.11%,$31.8m,$69.3m,+4.49%,0.29%,2.18,-0.0080%,+0.0001%,$2.0k
78,VeChain-VET,$0.0248,+4.81%,$31.7m,$16.6m,+4.58%,0.07%,0.53,+0.0062%,+0.0065%,$8.2k
79,Elrond-EGLD,$53.36,+3.42%,$31.6m,$16.7m,+3.89%,0.07%,0.53,+0.0054%,+0.0085%,$16.6k
80,iExec RLC-RLC,$1.14,+3.38%,$30.9m,$6.9m,+4.84%,0.03%,0.22,-0.0563%,-0.0920%,$44.5k
81,SafePal-SFP,$0.3878,-4.05%,$30.1m,$6.6m,-5.61%,0.03%,0.22,-0.0454%,-0.0362%,$46.6k
82,Dash-DASH,$46.00,+5.33%,$29.4m,$14.6m,+3.95%,0.06%,0.50,+0.0105%,+0.0018%,$59.5k
83,Harmony-ONE,$0.0212,+3.71%,$28.8m,$14.3m,+3.57%,0.06%,0.49,+0.0000%,+0.0080%,$6.0k
84,NEO-NEO,$9.25,+4.25%,$28.2m,$14.6m,+5.97%,0.06%,0.52,+0.0011%,-0.0013%,$19.8k
85,Enjin Coin-ENJ,$0.5272,+5.29%,$27.4m,$14.6m,+6.70%,0.06%,0.53,+0.0052%,+0.0108%,$57.6k
86,Ankr-ANKR,$0.0354,+2.61%,$26.5m,$14.9m,+3.17%,0.06%,0.56,-0.0016%,+0.0016%,$30.0k
87,MyNeighborAlice-ALICE,$2.09,+5.45%,$26.2m,$10.7m,+9.82%,0.05%,0.41,+0.0081%,+0.0076%,$22.7k
88,Loopring-LRC,$0.3623,+5.40%,$24.6m,$13.9m,+4.30%,0.06%,0.57,+0.0059%,+0.0043%,$6.1k
89,Kusama-KSM,$48.44,+4.39%,$23.5m,$15.9m,+3.37%,0.07%,0.67,+0.0053%,-0.0029%,$11.2k
90,BinaryX-BNX,$133.85,+0.61%,$23.4m,$26.8m,+2.40%,0.11%,1.15,+0.0100%,+0.0100%,$130.1k
91,Ocean Protocol-OCEAN,$0.1673,+0.87%,$22.8m,$4.0m,+5.07%,0.02%,0.17,+0.0100%,+0.0073%,$52.7k
92,Immutable X-IMX,$0.8349,+2.59%,$22.7m,$9.0m,-0.46%,0.04%,0.40,+0.0030%,+0.0016%,$5.3k
93,Jasmy-JASMY,$0.0088,+3.40%,$21.9m,$11.0m,-3.91%,0.05%,0.50,-0.0070%,+0.0045%,$20.3k
94,Maker-MKR,$779.55,+4.61%,$21.8m,$16.7m,-0.41%,0.07%,0.77,-0.0082%,-0.0014%,$4.1k
95,Arweave-AR,$10.44,+4.07%,$20.3m,$13.9m,+1.54%,0.06%,0.68,+0.0066%,+0.0069%,$5.6k
96,Hedera-HBAR,$0.0630,+1.80%,$20.1m,$8.8m,+14.07%,0.04%,0.44,+0.0084%,+0.0080%,$21.0k
97,Ren-REN,$0.1250,+6.59%,$19.8m,$7.9m,+8.10%,0.03%,0.40,+0.0041%,+0.0063%,$30.6k
98,Litentry-LIT,$0.7280,+2.83%,$19.5m,$5.2m,+7.91%,0.02%,0.27,+0.0100%,+0.0100%,$32.4k
99,Swipe-SXP,$0.3852,+4.00%,$19.4m,$9.1m,+18.04%,0.04%,0.47,+0.0079%,+0.0069%,$15.6k
100,BakeryToken-BAKE,$0.2560,+2.85%,$18.8m,$3.9m,+7.08%,0.02%,0.21,-0.0004%,+0.0100%,$17.6k
101,Mask Network-MASK,$1.35,+5.06%,$18.2m,$6.7m,+6.52%,0.03%,0.37,+0.0150%,+0.0058%,$46.5k
102,Celo-CELO,$0.8596,+4.33%,$17.9m,$9.0m,+0.12%,0.04%,0.50,+0.0064%,+0.0141%,$5.2k
103,Storj-STORJ,$0.5514,+3.11%,$17.7m,$11.6m,+3.03%,0.05%,0.65,+0.0093%,+0.0062%,$11.5k
104,Qtum-QTUM,$3.22,+4.73%,$17.6m,$15.5m,+2.77%,0.07%,0.88,+0.0040%,-0.0031%,$4.2k
105,Bella Protocol-BEL,$0.6824,+3.61%,$17.6m,$3.9m,+1.82%,0.02%,0.22,+0.0052%,+0.0067%,$4.1k
106,Audius-AUDIO,$0.2874,+4.05%,$16.9m,$8.0m,+8.97%,0.03%,0.47,+0.0118%,+0.0126%,$217.8
107,LooksRare-LOOKS,$0.2896,+7.20%,$16.9m,$15.4m,+5.87%,0.06%,0.91,-0.0042%,-0.0110%,$13.8k
108,Origin Protocol-OGN,$0.1722,+2.12%,$16.4m,$7.3m,+4.90%,0.03%,0.45,+0.0100%,+0.0100%,$3.2k
109,Ontology-ONT,$0.2491,+4.00%,$16.2m,$8.9m,-0.10%,0.04%,0.55,-0.0017%,-0.0087%,$9.4k
110,Project Galaxy-GAL,$2.54,+3.54%,$16.1m,$11.7m,+6.88%,0.05%,0.72,-0.0063%,+0.0004%,$9.5k
111,Coti-COTI,$0.0936,+3.59%,$15.6m,$4.2m,+6.50%,0.02%,0.27,-0.0032%,-0.0079%,$30.3k
112,Gitcoin-GTC,$2.22,+0.67%,$15.5m,$4.2m,-0.22%,0.02%,0.27,+0.0100%,+0.0100%,$21.4k
113,Iota-IOTA,$0.2855,+2.95%,$15.5m,$10.7m,+2.43%,0.05%,0.69,+0.0050%,+0.0023%,$40.1k
114,Bitcoin SV-BSV,$54.18,+5.38%,$15.4m,$33.3m,+4.28%,0.14%,2.16,+0.0124%,+0.0071%,$3.8k
115,Raydium-RAY,$0.6602,+3.48%,$15.3m,$7.8m,+0.92%,0.03%,0.51,-0.0400%,-0.0463%,$2.3k
116,OmiseGO-OMG,$1.85,+5.57%,$15.2m,$12.4m,+7.68%,0.05%,0.82,+0.0081%,+0.0119%,$5.8k
117,Aragon-ANT,$1.76,+4.38%,$15.1m,$5.3m,-10.83%,0.02%,0.35,-0.0139%,+0.0173%,$32.8k
118,Ravencoin-RVN,$0.0292,+3.63%,$15.0m,$5.6m,+1.28%,0.02%,0.37,+0.0021%,+0.0089%,$9.4k
119,Basic Attention Token-BAT,$0.3433,+4.12%,$14.7m,$11.0m,+2.49%,0.05%,0.75,+0.0074%,+0.0135%,$16.9k
120,IOST-IOST,$0.0132,+2.81%,$13.8m,$12.3m,-1.28%,0.05%,0.89,+0.0150%,+0.0004%,$6.6k
121,Band Protocol-BAND,$1.32,+3.70%,$13.7m,$5.5m,+6.85%,0.02%,0.40,-0.0001%,+0.0013%,$19.9k
122,Internet Computer-ICP,$6.41,+4.49%,$13.7m,$13.3m,+3.70%,0.06%,0.97,+0.0013%,+0.0070%,$6.1k
123,Linear-LINA,$0.0084,+6.76%,$13.7m,$4.9m,+6.49%,0.02%,0.36,+0.0077%,+0.0077%,$30.2k
124,Metal-MTL,$1.21,+4.11%,$13.3m,$6.5m,+3.84%,0.03%,0.49,-0.0104%,-0.0095%,$779.6
125,Holo-HOT,$0.0021,+2.47%,$12.3m,$5.7m,+1.56%,0.02%,0.46,-0.0014%,+0.0020%,$7.8k
126,StormX-STMX,$0.0079,+3.95%,$11.8m,$3.6m,-4.55%,0.02%,0.31,-0.0033%,+0.0042%,$13.7k
127,NKN-NKN,$0.1001,+3.07%,$11.6m,$3.4m,-0.20%,0.01%,0.29,+0.0100%,+0.0074%,$6.9k
128,Horizen-ZEN,$16.30,+5.40%,$11.5m,$6.8m,+7.52%,0.03%,0.59,+0.0255%,-0.0008%,$10.0k
