,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,645.27",+4.63%,$22.2b,$7.3b,+4.40%,29.70%,0.33,-0.0061%,-0.0028%,$49.9m
1,Bitcoin-BTC,"$20,004.89",+0.56%,$19.2b,$10.1b,+2.28%,41.27%,0.53,-0.0015%,+0.0056%,$11.5m
2,Ethereum Classic-ETC,$40.91,+26.28%,$5.5b,$644.4m,+68.74%,2.64%,0.12,-0.0058%,-0.0116%,$17.6m
3,Cardano-ADA,$0.5032,+0.77%,$897.3m,$315.4m,-9.17%,1.29%,0.35,+0.0022%,+0.0043%,$1.3m
4,Solana-SOL,$32.98,+2.73%,$877.9m,$403.1m,-0.39%,1.65%,0.46,+0.0073%,+0.0131%,$1.8m
5,EOS-EOS,$1.57,+5.52%,$777.1m,$199.8m,+6.98%,0.82%,0.26,+0.0067%,+0.0054%,$2.0m
6,Ravencoin-RVN,$0.0381,+13.82%,$640.3m,$33.0m,+41.64%,0.14%,0.05,+0.0103%,-0.0460%,$1.5m
7,Ripple-XRP,$0.3411,+2.88%,$601.2m,$341.6m,+6.19%,1.40%,0.57,-0.0047%,+0.0003%,$1.2m
8,Binance Coin-BNB,$281.61,+0.88%,$543.4m,$266.7m,+1.39%,1.09%,0.49,+0.0037%,+0.0054%,$511.2k
9,Litecoin-LTC,$61.44,+1.52%,$531.8m,$225.8m,-0.81%,0.92%,0.42,+0.0009%,+0.0063%,$942.9k
10,Polkadot-DOT,$7.54,+1.79%,$500.4m,$278.0m,+1.17%,1.14%,0.56,-0.0021%,+0.0108%,$566.4k
11,Polygon-MATIC,$0.8915,-0.11%,$500.1m,$220.6m,-5.84%,0.90%,0.44,-0.0001%,+0.0043%,$625.6k
12,Avalanche-AVAX,$20.19,+6.31%,$460.3m,$150.6m,+3.02%,0.62%,0.33,-0.0076%,+0.0091%,$1.3m
13,Cosmos-ATOM,$12.86,-1.53%,$444.1m,$133.4m,-13.63%,0.55%,0.30,-0.0078%,+0.0032%,$629.3k
14,Chainlink-LINK,$7.40,+3.65%,$435.1m,$122.5m,+3.34%,0.50%,0.28,+0.0082%,+0.0070%,$709.1k
15,Optimism-OP,$1.24,+6.63%,$392.4m,$76.3m,+9.26%,0.31%,0.19,+0.0011%,+0.0054%,$945.7k
16,Filecoin-FIL,$6.22,-0.29%,$391.8m,$113.8m,-7.04%,0.47%,0.29,+0.0098%,+0.0055%,$876.3k
17,Chiliz-CHZ,$0.2088,-1.23%,$385.2m,$99.4m,+1.85%,0.41%,0.26,+0.0054%,+0.0099%,$680.9k
18,Dogecoin-DOGE,$0.0644,+1.98%,$362.2m,$132.6m,+3.76%,0.54%,0.37,+0.0077%,+0.0138%,$784.0k
19,The Sandbox-SAND,$0.9682,-0.86%,$361.4m,$84.8m,-6.02%,0.35%,0.23,+0.0060%,+0.0086%,$626.8k
20,Bitcoin Cash-BCH,$126.26,+6.81%,$303.5m,$195.3m,+14.63%,0.80%,0.64,-0.0109%,-0.0076%,$470.6k
21,1000SHIB-1000SHIB,$0.0128,-0.02%,$300.6m,$46.3m,-14.17%,0.19%,0.15,+0.0083%,+0.0079%,$695.2k
22,STEPN-GMT,$0.6986,-0.73%,$234.7m,$112.5m,-1.64%,0.46%,0.48,+0.0065%,+0.0063%,$371.1k
23,NEAR Protocol-NEAR,$4.31,+1.66%,$209.0m,$91.2m,+1.06%,0.37%,0.44,+0.0007%,+0.0095%,$464.8k
24,Curve DAO Token-CRV,$1.18,+8.09%,$192.9m,$64.4m,+9.84%,0.26%,0.33,-0.0049%,+0.0149%,$342.2k
25,Axie Infinity-AXS,$14.44,-0.16%,$189.6m,$86.2m,-5.14%,0.35%,0.45,-0.0131%,-0.0053%,$698.3k
26,Tellor-TRB,$18.65,+0.05%,$167.6m,$59.8m,-0.84%,0.24%,0.36,-0.0239%,+0.0394%,$179.0k
27,ApeCoin-APE,$4.79,+0.02%,$155.6m,$69.0m,+0.29%,0.28%,0.44,-0.0011%,+0.0024%,$221.9k
28,Helium-HNT,$4.01,-6.68%,$149.1m,$21.9m,+9.51%,0.09%,0.15,+0.0041%,+0.0073%,$357.8k
29,Fantom-FTM,$0.2685,-1.76%,$146.9m,$53.0m,+4.89%,0.22%,0.36,+0.0048%,+0.0060%,$263.2k
30,SushiSwap-SUSHI,$1.25,+8.55%,$121.6m,$37.3m,+19.31%,0.15%,0.31,-0.0241%,-0.0114%,$235.6k
31,Ethereum Name Service-ENS,$14.57,+6.13%,$121.5m,$31.2m,+15.29%,0.13%,0.26,+0.0063%,+0.0047%,$315.9k
32,Uniswap-UNI,$6.69,+3.75%,$119.7m,$51.1m,+7.11%,0.21%,0.43,+0.0072%,+0.0137%,$183.7k
33,Unifi Protocol DAO-UNFI,$7.76,-2.75%,$119.3m,$21.7m,+3.48%,0.09%,0.18,+0.0061%,+0.0071%,$212.6k
34,Decentraland-MANA,$0.8035,-0.45%,$98.5m,$41.5m,-3.44%,0.17%,0.42,+0.0083%,+0.0125%,$176.1k
35,Aave-AAVE,$92.44,+3.93%,$98.2m,$50.4m,+7.76%,0.21%,0.51,-0.0167%,-0.0070%,$139.2k
36,Tron-TRX,$0.0633,+0.01%,$95.5m,$142.7m,+0.04%,0.58%,1.49,-0.0069%,-0.0042%,$24.2k
37,Waves-WAVES,$4.66,+1.41%,$93.8m,$53.2m,-0.07%,0.22%,0.57,+0.0064%,+0.0084%,$215.0k
38,Stargate Finance-STG,$0.6124,-2.21%,$91.0m,$17.6m,+13.14%,0.07%,0.19,-0.0940%,-0.0904%,$192.9k
39,Monero-XMR,$158.80,+2.49%,$88.7m,$50.2m,+8.51%,0.21%,0.57,-0.0040%,+0.0116%,$73.6k
40,Terra-LUNA,$1.96,+8.66%,$79.6m,$7.8m,+11.92%,0.03%,0.10,+0.0036%,+0.0091%,$213.4k
41,CertiK-CTK,$1.04,+6.00%,$78.1m,$11.8m,+23.23%,0.05%,0.15,-0.0204%,-0.0227%,$161.1k
42,Gala-GALA,$0.0516,-0.18%,$76.9m,$35.5m,-0.73%,0.15%,0.46,+0.0063%,+0.0096%,$80.6k
43,THETA-THETA,$1.20,+2.37%,$69.9m,$24.6m,+9.64%,0.10%,0.35,+0.0055%,+0.0081%,$55.0k
44,SHIBA INU-SHIB,$0.0000,-0.34%,$69.4m,$21.9m,+1.14%,0.09%,0.32,+0.0059%,+0.0104%,$312.1k
45,yearn.finance-YFI,"$9,625.16",+1.63%,$63.8m,$38.5m,-1.41%,0.16%,0.60,+0.0057%,+0.0082%,$120.4k
46,Synthetix Network Token-SNX,$3.04,+1.25%,$62.5m,$35.6m,-1.78%,0.15%,0.57,-0.0032%,+0.0041%,$49.4k
47,dYdX-DYDX,$1.61,+2.17%,$57.2m,$38.5m,+0.97%,0.16%,0.67,-0.0017%,+0.0017%,$124.6k
48,ConstitutionDAO-PEOPLE,$0.0217,+1.86%,$56.0m,$26.2m,-4.63%,0.11%,0.47,-0.0035%,+0.0045%,$100.7k
49,Algorand-ALGO,$0.3074,-0.65%,$52.8m,$30.0m,-5.02%,0.12%,0.57,+0.0003%,+0.0084%,$113.1k
