,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,631.44",+7.79%,$34.1b,$7.2b,+6.06%,30.63%,0.21,-0.0034%,-0.0003%,$88.8m
1,Bitcoin-BTC,"$19,277.57",+2.83%,$24.1b,$9.6b,-3.05%,41.07%,0.40,+0.0011%,+0.0027%,$27.3m
2,Ethereum Classic-ETC,$36.94,+8.75%,$4.8b,$511.9m,+4.29%,2.18%,0.11,-0.0034%,-0.0044%,$12.5m
3,EOS-EOS,$1.63,+9.60%,$2.2b,$243.9m,+27.48%,1.04%,0.11,+0.0064%,+0.0126%,$5.1m
4,Helium-HNT,$4.95,+18.91%,$1.5b,$37.7m,+36.84%,0.16%,0.03,-0.0874%,-0.0567%,$2.5m
5,Solana-SOL,$32.92,+5.67%,$1.2b,$400.4m,+7.63%,1.71%,0.33,+0.0096%,+0.0104%,$2.2m
6,Cardano-ADA,$0.4714,+1.91%,$711.3m,$275.9m,-1.58%,1.18%,0.39,+0.0034%,+0.0106%,$816.7k
7,Binance Coin-BNB,$278.80,+5.96%,$709.7m,$278.6m,-1.69%,1.19%,0.39,+0.0096%,+0.0072%,$740.2k
8,Ripple-XRP,$0.3314,+2.95%,$663.2m,$321.9m,-0.53%,1.37%,0.49,+0.0061%,+0.0061%,$1.1m
9,Cosmos-ATOM,$13.10,+10.52%,$635.1m,$138.7m,+28.28%,0.59%,0.22,+0.0150%,-0.0073%,$1.3m
10,Polygon-MATIC,$0.8323,+3.35%,$534.2m,$187.9m,+0.58%,0.80%,0.35,+0.0027%,+0.0014%,$765.4k
11,NEAR Protocol-NEAR,$4.45,+8.85%,$502.2m,$118.7m,+31.14%,0.51%,0.24,-0.0009%,+0.0017%,$1.2m
12,Stargate Finance-STG,$0.7889,+9.67%,$474.5m,$30.8m,-18.77%,0.13%,0.06,+0.0067%,+0.0055%,$840.1k
13,Avalanche-AVAX,$18.81,+2.34%,$473.7m,$130.9m,+1.11%,0.56%,0.28,+0.0118%,+0.0105%,$708.0k
14,Litecoin-LTC,$57.18,+5.33%,$452.0m,$190.7m,+0.62%,0.81%,0.42,-0.0041%,-0.0037%,$380.7k
15,Polkadot-DOT,$7.15,+2.60%,$383.1m,$266.5m,+2.74%,1.14%,0.70,-0.0003%,-0.0089%,$552.2k
16,Optimism-OP,$1.17,+6.88%,$366.4m,$59.1m,-0.79%,0.25%,0.16,+0.0000%,+0.0016%,$529.1k
17,Chiliz-CHZ,$0.1886,+1.21%,$355.1m,$76.6m,-0.56%,0.33%,0.22,+0.0075%,+0.0070%,$486.4k
18,Filecoin-FIL,$5.82,+2.14%,$302.3m,$103.7m,+2.35%,0.44%,0.34,+0.0077%,+0.0118%,$665.2k
19,Dogecoin-DOGE,$0.0606,+2.06%,$300.3m,$119.8m,+0.60%,0.51%,0.40,+0.0133%,+0.0100%,$523.1k
20,Curve DAO Token-CRV,$1.13,+9.33%,$292.2m,$61.2m,+9.22%,0.26%,0.21,+0.0106%,-0.0101%,$977.4k
21,Chainlink-LINK,$7.17,+6.62%,$279.5m,$110.9m,+8.82%,0.47%,0.40,+0.0069%,+0.0074%,$476.0k
22,STEPN-GMT,$0.6463,+2.31%,$220.4m,$104.3m,+0.14%,0.44%,0.47,-0.0012%,+0.0026%,$259.9k
23,1000SHIB-1000SHIB,$0.0122,+1.15%,$214.7m,$42.7m,+3.25%,0.18%,0.20,+0.0040%,+0.0040%,$280.0k
24,Bitcoin Cash-BCH,$118.55,+5.53%,$208.2m,$171.0m,+4.82%,0.73%,0.82,-0.0026%,-0.0020%,$315.9k
25,ApeCoin-APE,$4.48,+5.29%,$202.2m,$63.6m,-0.02%,0.27%,0.31,-0.0019%,+0.0001%,$462.8k
26,Tellor-TRB,$16.47,+0.35%,$171.8m,$38.7m,-12.96%,0.17%,0.23,-0.0227%,+0.0040%,$232.1k
27,The Sandbox-SAND,$0.9067,+4.14%,$166.3m,$73.2m,+1.85%,0.31%,0.44,+0.0074%,-0.0013%,$251.8k
28,Ravencoin-RVN,$0.0361,+0.84%,$163.3m,$18.5m,-9.51%,0.08%,0.11,-0.0013%,+0.0069%,$357.9k
29,Fantom-FTM,$0.2521,+2.61%,$146.4m,$47.1m,-2.65%,0.20%,0.32,+0.0046%,+0.0089%,$211.5k
30,Tron-TRX,$0.0610,+1.16%,$136.1m,$140.6m,+0.41%,0.60%,1.03,-0.0090%,-0.0171%,$357.9k
31,iExec RLC-RLC,$1.24,+15.85%,$130.0m,$8.9m,+68.68%,0.04%,0.07,-0.0140%,-0.0115%,$381.0k
32,Axie Infinity-AXS,$13.51,+2.18%,$129.6m,$79.7m,+3.06%,0.34%,0.62,-0.0232%,-0.0340%,$138.0k
33,Ethereum Name Service-ENS,$14.86,+10.33%,$121.4m,$32.7m,+23.06%,0.14%,0.27,+0.0077%,+0.0037%,$159.4k
34,Terra Classic-LUNC,$0.0005,+50.79%,$121.0m,$11.4m,+364.13%,0.05%,0.09,+0.0014%,+0.0010%,$635.7k
35,Aave-AAVE,$87.93,+6.01%,$116.0m,$45.0m,+1.82%,0.19%,0.39,+0.0063%,+0.0024%,$148.6k
36,Unifi Protocol DAO-UNFI,$7.10,+1.93%,$114.2m,$17.4m,+0.17%,0.07%,0.15,+0.0091%,+0.0055%,$133.2k
37,dYdX-DYDX,$1.45,+3.57%,$101.8m,$36.2m,+4.59%,0.15%,0.36,+0.0026%,-0.0002%,$66.2k
38,SushiSwap-SUSHI,$1.23,+10.62%,$94.8m,$32.0m,+17.11%,0.14%,0.34,+0.0063%,-0.0026%,$213.5k
39,Terra-LUNA,$2.00,+11.11%,$94.7m,$8.5m,+35.54%,0.04%,0.09,-0.0124%,-0.0144%,$212.0k
40,Uniswap-UNI,$6.11,+4.18%,$89.5m,$44.9m,+0.80%,0.19%,0.50,-0.0027%,-0.0053%,$41.9k
41,yearn.finance-YFI,"$9,279.03",+6.10%,$89.4m,$36.0m,+9.61%,0.15%,0.40,-0.0098%,-0.0130%,$168.1k
42,ConstitutionDAO-PEOPLE,$0.0207,+5.83%,$85.2m,$24.6m,+4.61%,0.10%,0.29,+0.0040%,+0.0035%,$133.1k
43,Decentraland-MANA,$0.7628,+3.53%,$84.7m,$37.7m,-0.55%,0.16%,0.44,+0.0071%,+0.0001%,$103.6k
44,Balancer-BAL,$7.64,+15.20%,$82.2m,$21.1m,+56.49%,0.09%,0.26,+0.0094%,+0.0097%,$167.8k
45,Gala-GALA,$0.0485,+2.59%,$76.0m,$33.2m,-0.05%,0.14%,0.44,+0.0070%,+0.0061%,$50.9k
46,Kyber Network Crystal-KNC,$1.76,+5.05%,$74.7m,$20.6m,+3.07%,0.09%,0.28,-0.0174%,-0.0209%,$136.4k
47,Synthetix Network Token-SNX,$2.91,+4.18%,$73.9m,$31.6m,-0.13%,0.13%,0.43,-0.0157%,-0.0100%,$59.9k
