,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,661.14",+3.97%,$35.7b,$7.3b,+1.30%,30.06%,0.21,-0.0043%,-0.0039%,$85.3m
1,Bitcoin-BTC,"$19,743.31",-0.43%,$28.7b,$10.0b,+0.12%,41.14%,0.35,+0.0030%,+0.0102%,$21.4m
2,Ethereum Classic-ETC,$40.94,+12.20%,$8.1b,$720.0m,+20.85%,2.95%,0.09,+0.0013%,-0.0044%,$20.6m
3,Solana-SOL,$33.50,+5.35%,$1.5b,$413.4m,+6.40%,1.70%,0.28,+0.0077%,+0.0027%,$2.3m
4,Cardano-ADA,$0.4953,+0.83%,$1.1b,$306.2m,-3.01%,1.26%,0.28,+0.0074%,+0.0077%,$1.8m
5,EOS-EOS,$1.52,-0.57%,$787.0m,$184.8m,-5.17%,0.76%,0.23,+0.0080%,+0.0097%,$1.5m
6,Binance Coin-BNB,$279.87,+1.52%,$755.1m,$264.9m,-0.90%,1.09%,0.35,+0.0098%,+0.0089%,$708.4k
7,Ripple-XRP,$0.3334,+1.58%,$749.0m,$328.8m,-0.13%,1.35%,0.44,+0.0021%,+0.0012%,$1.3m
8,Avalanche-AVAX,$19.83,+5.81%,$727.9m,$143.3m,-1.19%,0.59%,0.20,+0.0010%,-0.0040%,$1.5m
9,Polygon-MATIC,$0.8867,+1.06%,$708.0m,$218.0m,-2.04%,0.89%,0.31,-0.0040%,-0.0009%,$1.1m
10,Litecoin-LTC,$58.65,-2.83%,$679.4m,$208.1m,-7.40%,0.85%,0.31,+0.0100%,+0.0063%,$1.2m
11,Ravencoin-RVN,$0.0411,+11.91%,$666.5m,$39.7m,+30.41%,0.16%,0.06,-0.0109%,-0.0772%,$1.6m
12,Optimism-OP,$1.22,+4.17%,$575.3m,$65.4m,-11.25%,0.27%,0.11,+0.0112%,+0.0119%,$812.8k
13,Cosmos-ATOM,$12.33,-2.90%,$515.4m,$122.2m,-13.12%,0.50%,0.24,-0.0024%,-0.0047%,$707.5k
14,Polkadot-DOT,$7.52,+0.56%,$491.4m,$283.0m,-2.48%,1.16%,0.58,-0.0037%,-0.0032%,$452.7k
15,NEAR Protocol-NEAR,$4.47,+7.06%,$453.8m,$103.7m,+15.56%,0.43%,0.23,+0.0026%,-0.0007%,$773.0k
16,Chiliz-CHZ,$0.2045,-0.59%,$418.5m,$97.0m,-2.53%,0.40%,0.23,+0.0029%,+0.0067%,$590.7k
17,Dogecoin-DOGE,$0.0624,+0.32%,$413.5m,$125.6m,-2.28%,0.52%,0.30,+0.0101%,+0.0111%,$553.4k
18,Filecoin-FIL,$6.08,+0.28%,$397.5m,$110.0m,-3.46%,0.45%,0.28,+0.0097%,+0.0118%,$772.1k
19,Curve DAO Token-CRV,$1.17,+7.10%,$377.6m,$67.5m,+13.93%,0.28%,0.18,+0.0059%,+0.0144%,$682.4k
20,Chainlink-LINK,$7.16,-1.12%,$338.7m,$110.4m,-12.18%,0.45%,0.33,+0.0069%,+0.0111%,$2.8m
21,1000SHIB-1000SHIB,$0.0125,+0.42%,$291.4m,$44.9m,-5.50%,0.18%,0.15,+0.0016%,+0.0030%,$679.8k
22,Tellor-TRB,$16.99,-6.62%,$287.3m,$47.3m,-20.95%,0.19%,0.16,-0.1702%,-0.2435%,$593.7k
23,STEPN-GMT,$0.6927,+0.84%,$256.8m,$111.9m,+0.83%,0.46%,0.44,+0.0063%,+0.0048%,$406.9k
24,Bitcoin Cash-BCH,$124.71,+1.59%,$254.0m,$185.8m,-1.89%,0.76%,0.73,+0.0020%,+0.0084%,$463.7k
25,The Sandbox-SAND,$0.9563,+0.87%,$208.5m,$83.9m,-0.47%,0.34%,0.40,+0.0050%,+0.0041%,$422.7k
26,ApeCoin-APE,$4.72,+0.37%,$186.6m,$68.3m,+0.73%,0.28%,0.37,+0.0053%,+0.0041%,$158.1k
27,Ethereum Name Service-ENS,$15.10,+7.27%,$184.7m,$34.7m,+18.25%,0.14%,0.19,+0.0008%,+0.0113%,$472.1k
28,Axie Infinity-AXS,$14.34,+0.33%,$177.1m,$83.2m,-2.73%,0.34%,0.47,-0.0223%,-0.0425%,$209.3k
29,Stargate Finance-STG,$0.6370,+5.36%,$166.5m,$16.9m,-8.08%,0.07%,0.10,-0.0860%,-0.0851%,$266.8k
30,Helium-HNT,$3.63,-6.34%,$156.3m,$22.2m,+0.53%,0.09%,0.14,+0.0022%,+0.0044%,$300.1k
31,Fantom-FTM,$0.2667,+1.56%,$138.8m,$49.8m,-5.36%,0.20%,0.36,+0.0077%,+0.0088%,$145.0k
32,Aave-AAVE,$91.12,+1.80%,$138.4m,$49.7m,+4.23%,0.20%,0.36,+0.0035%,-0.0120%,$286.1k
33,Uniswap-UNI,$6.40,+0.33%,$137.9m,$47.2m,-1.56%,0.19%,0.34,-0.0144%,+0.0007%,$171.4k
34,SushiSwap-SUSHI,$1.23,+2.50%,$130.7m,$34.4m,+2.42%,0.14%,0.26,-0.0055%,+0.0006%,$192.5k
35,Terra-LUNA,$1.97,+4.07%,$117.8m,$7.7m,-1.31%,0.03%,0.07,-0.0136%,-0.0009%,$527.6k
36,Tron-TRX,$0.0629,+0.38%,$117.4m,$141.8m,+0.37%,0.58%,1.21,-0.0012%,-0.0019%,$67.8k
