,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,527.01",-7.72%,$43.0b,$6.6b,-8.92%,29.11%,0.15,-0.0134%,-0.0141%,$98.7m
1,Bitcoin-BTC,"$18,803.32",-5.44%,$39.4b,$9.9b,+0.55%,43.41%,0.25,-0.0056%,-0.0087%,$88.9m
2,Ethereum Classic-ETC,$33.86,-15.90%,$8.3b,$490.3m,-23.17%,2.15%,0.06,-0.0130%,-0.0045%,$37.1m
3,Solana-SOL,$30.84,-6.00%,$1.9b,$363.8m,-7.95%,1.60%,0.19,-0.0080%,-0.0054%,$2.8m
4,Cardano-ADA,$0.4587,-8.18%,$1.3b,$274.3m,-11.38%,1.20%,0.21,-0.0028%,-0.0006%,$3.4m
5,Binance Coin-BNB,$262.94,-7.15%,$1.0b,$278.6m,+3.32%,1.22%,0.28,-0.0228%,-0.0215%,$1.3m
6,Polygon-MATIC,$0.8158,-10.50%,$938.7m,$189.7m,-16.56%,0.83%,0.20,-0.0058%,-0.0053%,$1.8m
7,Avalanche-AVAX,$18.19,-9.65%,$834.7m,$127.7m,-13.02%,0.56%,0.15,-0.0223%,-0.0265%,$1.5m
8,Ripple-XRP,$0.3190,-5.69%,$830.1m,$322.9m,-5.12%,1.42%,0.39,-0.0065%,-0.0058%,$1.8m
9,EOS-EOS,$1.39,-10.53%,$810.6m,$169.2m,-14.00%,0.74%,0.21,-0.0054%,+0.0040%,$2.3m
10,Litecoin-LTC,$53.83,-12.92%,$806.5m,$188.4m,-17.24%,0.83%,0.23,+0.0016%,+0.0075%,$3.1m
11,Cosmos-ATOM,$11.71,-8.10%,$684.1m,$108.6m,-16.58%,0.48%,0.16,-0.0004%,+0.0029%,$1.5m
12,NEAR Protocol-NEAR,$4.13,-4.86%,$682.7m,$89.9m,-1.51%,0.39%,0.13,+0.0019%,-0.0031%,$1.6m
13,Optimism-OP,$1.12,-10.34%,$620.5m,$59.4m,-19.26%,0.26%,0.10,+0.0109%,-0.0005%,$1.6m
14,Chiliz-CHZ,$0.1876,-9.26%,$602.1m,$77.3m,-21.08%,0.34%,0.13,-0.0030%,+0.0002%,$2.0m
15,Polkadot-DOT,$6.88,-9.15%,$587.7m,$256.0m,-9.42%,1.12%,0.44,-0.0119%,-0.0104%,$1.8m
16,Ravencoin-RVN,$0.0351,-6.86%,$580.7m,$23.9m,-26.12%,0.11%,0.04,-0.0193%,+0.0275%,$1.7m
17,Filecoin-FIL,$5.62,-9.06%,$550.2m,$100.2m,-10.41%,0.44%,0.18,-0.0028%,+0.0032%,$2.8m
18,Dogecoin-DOGE,$0.0586,-8.18%,$545.3m,$121.7m,-7.40%,0.53%,0.22,-0.0025%,-0.0043%,$2.4m
19,Curve DAO Token-CRV,$1.03,-12.53%,$434.0m,$54.5m,-17.04%,0.24%,0.13,-0.0035%,-0.0079%,$1.0m
20,Chainlink-LINK,$6.67,-9.76%,$403.4m,$99.9m,-17.55%,0.44%,0.25,+0.0031%,+0.0055%,$1.5m
21,STEPN-GMT,$0.6316,-9.30%,$394.5m,$103.8m,-6.95%,0.46%,0.26,-0.0053%,-0.0074%,$1.0m
22,1000SHIB-1000SHIB,$0.0120,-4.75%,$360.9m,$41.1m,-9.50%,0.18%,0.11,-0.0077%,+0.0008%,$880.7k
23,Tellor-TRB,$16.14,-12.20%,$338.8m,$44.0m,-23.57%,0.19%,0.13,-0.1537%,-0.0474%,$932.5k
24,Bitcoin Cash-BCH,$112.19,-11.29%,$333.4m,$161.9m,-16.61%,0.71%,0.49,-0.0163%,-0.0216%,$785.8k
25,The Sandbox-SAND,$0.8717,-9.42%,$314.2m,$71.8m,-14.82%,0.32%,0.23,-0.0047%,+0.0065%,$1.2m
26,ApeCoin-APE,$4.28,-9.60%,$293.2m,$63.2m,-7.79%,0.28%,0.22,-0.0013%,-0.0123%,$938.0k
27,Ethereum Name Service-ENS,$13.73,-4.73%,$232.9m,$27.8m,-9.38%,0.12%,0.12,+0.0099%,+0.0048%,$575.9k
28,Helium-HNT,$3.53,-10.39%,$229.2m,$20.1m,-5.01%,0.09%,0.09,+0.0046%,+0.0058%,$762.2k
29,Axie Infinity-AXS,$13.04,-9.01%,$224.1m,$78.1m,-8.08%,0.34%,0.35,-0.0333%,-0.0151%,$900.1k
30,Project Galaxy-GAL,$2.52,+2.30%,$223.4m,$15.3m,+26.17%,0.07%,0.07,+0.0063%,+0.0067%,$579.3k
31,Stargate Finance-STG,$0.6407,+5.71%,$210.4m,$16.5m,-2.47%,0.07%,0.08,-0.0786%,-0.0550%,$576.9k
32,Fantom-FTM,$0.2439,-9.13%,$193.7m,$48.3m,-7.32%,0.21%,0.25,-0.0021%,+0.0018%,$646.7k
33,Unifi Protocol DAO-UNFI,$6.77,-12.03%,$170.2m,$17.0m,-17.98%,0.07%,0.10,-0.0070%,-0.0088%,$340.1k
34,Aave-AAVE,$83.37,-10.55%,$168.4m,$44.8m,-12.24%,0.20%,0.27,-0.0327%,-0.0443%,$358.3k
35,Tron-TRX,$0.0605,-4.49%,$155.7m,$139.2m,-2.60%,0.61%,0.89,-0.0311%,-0.0444%,$292.8k
36,Uniswap-UNI,$5.82,-12.44%,$151.4m,$43.9m,-13.08%,0.19%,0.29,-0.0146%,-0.0075%,$407.0k
37,Gala-GALA,$0.0473,-7.79%,$148.0m,$33.2m,-6.11%,0.15%,0.22,-0.0052%,-0.0102%,$387.9k
38,Decentraland-MANA,$0.7330,-8.79%,$142.0m,$37.5m,-9.03%,0.16%,0.26,-0.0191%,-0.0148%,$491.0k
39,Waves-WAVES,$4.26,-7.75%,$129.4m,$47.3m,-11.26%,0.21%,0.37,-0.0209%,-0.0014%,$509.2k
40,Terra-LUNA,$1.89,-5.90%,$126.0m,$6.4m,-21.32%,0.03%,0.05,-0.0106%,-0.0026%,$877.7k
41,Synthetix Network Token-SNX,$2.81,-6.40%,$120.4m,$32.6m,-6.55%,0.14%,0.27,-0.0371%,-0.0065%,$465.4k
42,SushiSwap-SUSHI,$1.13,-9.13%,$113.9m,$28.3m,-23.04%,0.12%,0.25,-0.0130%,-0.0194%,$200.3k
43,Monero-XMR,$145.13,-8.32%,$104.6m,$39.8m,-19.91%,0.17%,0.38,-0.0027%,+0.0064%,$403.6k
44,THETA-THETA,$1.07,-10.47%,$101.2m,$22.2m,-8.97%,0.10%,0.22,-0.0364%,-0.0230%,$471.2k
45,THORChain-RUNE,$1.76,-10.16%,$97.7m,$19.8m,-14.34%,0.09%,0.20,-0.0004%,+0.0034%,$268.5k
46,ConstitutionDAO-PEOPLE,$0.0193,-10.31%,$95.2m,$23.5m,-9.09%,0.10%,0.25,-0.0033%,-0.0065%,$706.0k
47,SHIBA INU-SHIB,$0.0000,-4.89%,$90.0m,$19.3m,-9.68%,0.08%,0.21,-0.0064%,+0.0065%,$515.1k
48,BinaryX-BNX,$136.60,+3.98%,$89.6m,$30.1m,+21.71%,0.13%,0.34,+0.0085%,+0.0085%,$261.0k
49,dYdX-DYDX,$1.44,-10.50%,$88.9m,$32.9m,-12.72%,0.14%,0.37,-0.0086%,+0.0135%,$452.8k
50,yearn.finance-YFI,"$8,565.98",-10.79%,$87.9m,$32.4m,-14.44%,0.14%,0.37,-0.0354%,-0.0282%,$415.2k
51,Kyber Network Crystal-KNC,$1.69,+0.39%,$86.9m,$20.0m,+11.61%,0.09%,0.23,+0.0040%,+0.0002%,$155.1k
52,Algorand-ALGO,$0.2839,-7.35%,$86.0m,$27.7m,-6.46%,0.12%,0.32,-0.0085%,-0.0049%,$179.3k
53,Lido DAO Token-LDO,$1.83,-16.64%,$81.4m,$17.1m,-17.98%,0.07%,0.21,+0.0054%,+0.0053%,$285.6k
54,ZCash-ZEC,$58.54,-9.98%,$79.6m,$19.0m,-14.80%,0.08%,0.24,+0.0038%,-0.0079%,$263.2k
55,Elrond-EGLD,$48.47,-6.27%,$71.6m,$15.7m,-2.25%,0.07%,0.22,-0.0297%,-0.0246%,$228.6k
56,Tezos-XTZ,$1.42,-8.39%,$69.4m,$25.9m,-8.02%,0.11%,0.37,-0.0221%,-0.0112%,$177.1k
57,Stellar Lumens-XLM,$0.0996,-6.33%,$68.2m,$35.5m,-6.24%,0.16%,0.52,-0.0428%,-0.0411%,$111.1k
58,The Graph-GRT,$0.0982,-7.92%,$68.1m,$20.7m,-7.58%,0.09%,0.30,-0.0187%,-0.0028%,$153.0k
59,1inch-1INCH,$0.6131,-8.62%,$66.3m,$20.0m,-13.73%,0.09%,0.30,-0.0045%,-0.0006%,$282.5k
60,Harmony-ONE,$0.0188,-9.84%,$64.7m,$14.6m,-1.34%,0.06%,0.23,-0.0132%,-0.0156%,$238.6k
61,Zilliqa-ZIL,$0.0336,-7.66%,$61.0m,$21.3m,-11.29%,0.09%,0.35,-0.0073%,-0.0007%,$227.1k
62,Ankr-ANKR,$0.0332,-7.27%,$57.6m,$13.0m,-15.81%,0.06%,0.23,-0.0220%,-0.0222%,$279.7k
63,Flow (Dapper labs)-FLOW,$1.77,-8.62%,$56.6m,$22.6m,-9.25%,0.10%,0.40,-0.0046%,-0.0027%,$216.3k
64,Chromia-CHR,$0.1758,-4.78%,$56.4m,$9.0m,-1.53%,0.04%,0.16,+0.0073%,+0.0057%,$226.7k
65,Celsius-CEL,$1.38,-9.26%,$54.8m,$23.0m,-17.71%,0.10%,0.42,-0.2528%,-0.2057%,$486.0k
66,VeChain-VET,$0.0230,-7.70%,$52.9m,$15.6m,-11.17%,0.07%,0.29,-0.0095%,-0.0171%,$150.7k
67,Serum-SRM,$0.7486,-7.78%,$52.1m,$23.3m,-11.14%,0.10%,0.45,-0.0526%,-0.0804%,$110.8k
68,Terra Classic-LUNC,$0.0004,-8.17%,$51.5m,$1.8m,-23.81%,0.01%,0.03,+0.0052%,+0.0068%,$342.3k
69,Compound-COMP,$44.52,-10.51%,$50.0m,$19.9m,-14.59%,0.09%,0.40,-0.0553%,-0.0570%,$143.1k
70,Oasis Network-ROSE,$0.0572,-11.15%,$49.1m,$11.5m,-4.61%,0.05%,0.23,+0.0052%,+0.0063%,$186.4k
