,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,569.89",-0.33%,$36.1b,$6.9b,-1.33%,29.99%,0.19,-0.0044%,+0.0010%,$74.5m
1,Bitcoin-BTC,"$19,949.91",-0.22%,$28.6b,$9.6b,-1.00%,41.68%,0.34,-0.0014%,+0.0015%,$26.6m
2,Ethereum Classic-ETC,$32.56,+0.34%,$1.5b,$376.8m,-3.77%,1.64%,0.25,-0.0122%,-0.0120%,$3.9m
3,EOS-EOS,$1.53,+1.56%,$1.2b,$196.4m,-2.05%,0.85%,0.17,-0.0112%,-0.0094%,$2.4m
4,Polygon-MATIC,$0.8793,-0.03%,$1.1b,$236.2m,-1.51%,1.03%,0.22,-0.0087%,+0.0021%,$1.7m
5,Solana-SOL,$31.09,-0.48%,$1.1b,$385.1m,-1.13%,1.67%,0.36,-0.0027%,-0.0005%,$1.7m
6,Litecoin-LTC,$61.26,+8.03%,$998.0m,$237.4m,+19.33%,1.03%,0.24,+0.0043%,+0.0030%,$2.8m
7,Chiliz-CHZ,$0.2194,+4.17%,$835.1m,$100.7m,+8.64%,0.44%,0.12,+0.0088%,+0.0006%,$1.3m
8,Optimism-OP,$1.21,+4.18%,$777.0m,$72.5m,+13.96%,0.32%,0.09,+0.0138%,+0.0124%,$1.2m
9,Binance Coin-BNB,$277.15,+0.51%,$658.0m,$259.5m,-4.94%,1.13%,0.39,-0.0054%,-0.0020%,$343.4k
10,Cosmos-ATOM,$12.59,+1.23%,$620.7m,$131.6m,+0.14%,0.57%,0.21,-0.0018%,+0.0006%,$860.9k
11,Ripple-XRP,$0.3287,-0.03%,$590.8m,$318.7m,-1.74%,1.38%,0.54,+0.0062%,+0.0004%,$576.7k
12,Cardano-ADA,$0.4595,+1.09%,$583.5m,$269.8m,-1.45%,1.17%,0.46,-0.0038%,+0.0115%,$456.9k
13,Avalanche-AVAX,$18.75,-1.49%,$492.7m,$136.6m,+1.27%,0.59%,0.28,-0.0259%,-0.0255%,$994.9k
14,Tellor-TRB,$18.96,-4.00%,$449.7m,$71.5m,+8.36%,0.31%,0.16,-1.2500%,-1.1645%,$257.7k
15,Polkadot-DOT,$7.27,+1.85%,$448.0m,$270.7m,+2.14%,1.18%,0.60,+0.0047%,+0.0004%,$898.0k
16,Chainlink-LINK,$6.91,+0.89%,$345.1m,$102.7m,-1.80%,0.45%,0.30,+0.0097%,+0.0112%,$685.3k
17,NEAR Protocol-NEAR,$4.17,-2.16%,$333.7m,$89.7m,-6.99%,0.39%,0.27,+0.0016%,+0.0003%,$732.3k
