,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,726.51",-0.65%,$18.2b,$10.2b,+1.01%,42.61%,0.56,+0.0018%,+0.0024%,$9.2m
1,Ethereum-ETH,"$1,570.86",+0.22%,$16.7b,$7.0b,+0.11%,29.25%,0.42,-0.0046%,-0.0049%,$20.9m
2,Cardano-ADA,$0.4886,-2.68%,$967.9m,$320.5m,-11.60%,1.34%,0.33,+0.0047%,+0.0056%,$1.2m
3,Ethereum Classic-ETC,$32.09,-0.54%,$805.6m,$393.0m,+2.28%,1.64%,0.49,-0.0115%,-0.0110%,$1.1m
4,Solana-SOL,$31.37,-1.23%,$708.0m,$388.2m,-1.28%,1.62%,0.55,+0.0098%,+0.0060%,$1.1m
5,Litecoin-LTC,$60.03,-0.22%,$544.2m,$225.3m,-0.71%,0.94%,0.41,+0.0078%,+0.0108%,$902.6k
6,Polygon-MATIC,$0.8673,-1.71%,$505.8m,$222.3m,-4.61%,0.93%,0.44,+0.0020%,+0.0042%,$412.9k
7,Cosmos-ATOM,$12.77,-0.94%,$495.5m,$142.9m,-4.00%,0.60%,0.29,-0.0110%,+0.0024%,$894.9k
8,Ravencoin-RVN,$0.0323,+6.80%,$484.0m,$23.2m,+144.89%,0.10%,0.05,+0.0029%,-0.1416%,$905.8k
9,Chainlink-LINK,$7.13,+0.14%,$466.6m,$123.9m,+13.82%,0.52%,0.27,+0.0074%,+0.0040%,$386.5k
10,Binance Coin-BNB,$275.04,-1.20%,$456.5m,$270.5m,+3.54%,1.13%,0.59,-0.0058%,-0.0065%,$247.9k
11,EOS-EOS,$1.44,-3.09%,$452.9m,$181.9m,-2.57%,0.76%,0.40,+0.0058%,+0.0085%,$800.4k
12,The Sandbox-SAND,$0.9442,-2.20%,$430.0m,$84.8m,-0.93%,0.35%,0.20,+0.0071%,+0.0072%,$610.9k
13,Polkadot-DOT,$7.51,+3.07%,$407.5m,$290.4m,+9.20%,1.21%,0.71,+0.0023%,+0.0056%,$513.4k
14,Ripple-XRP,$0.3250,-1.89%,$393.2m,$332.6m,+4.00%,1.39%,0.85,+0.0057%,+0.0073%,$384.4k
15,1000SHIB-1000SHIB,$0.0124,-4.09%,$387.2m,$48.6m,-22.18%,0.20%,0.13,+0.0100%,+0.0000%,$708.9k
16,Avalanche-AVAX,$18.64,-2.25%,$368.2m,$146.9m,+4.97%,0.61%,0.40,-0.0016%,-0.0070%,$341.3k
17,Filecoin-FIL,$5.97,-4.81%,$363.8m,$114.9m,-9.33%,0.48%,0.32,+0.0115%,+0.0129%,$687.0k
18,Chiliz-CHZ,$0.2057,-4.00%,$318.6m,$98.7m,-0.43%,0.41%,0.31,+0.0021%,+0.0114%,$519.0k
19,STEPN-GMT,$0.6846,-2.29%,$291.0m,$110.5m,-5.59%,0.46%,0.38,-0.0020%,+0.0000%,$287.4k
20,Dogecoin-DOGE,$0.0617,-2.60%,$289.5m,$129.0m,-1.21%,0.54%,0.45,+0.0085%,+0.0137%,$542.8k
21,Optimism-OP,$1.13,-3.44%,$264.1m,$72.2m,+3.80%,0.30%,0.27,+0.0027%,+0.0066%,$466.5k
22,NEAR Protocol-NEAR,$4.15,-1.10%,$196.8m,$89.7m,-0.32%,0.38%,0.46,+0.0032%,+0.0036%,$275.0k
23,Axie Infinity-AXS,$14.05,-3.49%,$192.8m,$85.5m,-9.49%,0.36%,0.44,-0.0191%,-0.0029%,$665.0k
24,Tellor-TRB,$18.11,-2.16%,$181.3m,$59.1m,-11.93%,0.25%,0.33,-0.2194%,-0.2116%,$215.7k
25,Bitcoin Cash-BCH,$118.20,+0.37%,$148.1m,$172.9m,+1.68%,0.72%,1.17,-0.0036%,-0.0038%,$112.9k
26,ApeCoin-APE,$4.69,-1.73%,$145.0m,$68.2m,-0.91%,0.29%,0.47,+0.0032%,+0.0034%,$175.3k
