,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,634.67",+4.48%,$34.8b,$7.1b,+5.05%,30.29%,0.20,-0.0140%,-0.0043%,$103.6m
1,Bitcoin-BTC,"$19,296.59",+2.35%,$25.0b,$9.6b,-1.61%,41.39%,0.39,-0.0041%,+0.0008%,$35.3m
2,Ethereum Classic-ETC,$37.51,+7.44%,$5.3b,$510.9m,+1.35%,2.19%,0.10,-0.0420%,-0.0575%,$16.6m
3,EOS-EOS,$1.67,+20.15%,$1.7b,$246.7m,+47.93%,1.06%,0.14,-0.0133%,-0.0083%,$4.9m
4,Solana-SOL,$32.84,+6.26%,$1.2b,$386.3m,+4.77%,1.66%,0.32,-0.0020%,+0.0043%,$2.4m
5,Helium-HNT,$5.38,+57.80%,$1.1b,$42.9m,+124.81%,0.18%,0.04,-0.1742%,-0.1338%,$2.0m
6,Cardano-ADA,$0.4814,+4.08%,$810.1m,$282.1m,+0.45%,1.21%,0.35,-0.0041%,-0.0049%,$1.1m
7,Binance Coin-BNB,$278.54,+5.71%,$718.4m,$276.3m,+0.54%,1.19%,0.38,-0.0023%,+0.0091%,$989.5k
8,Ripple-XRP,$0.3371,+4.70%,$677.6m,$332.1m,+2.98%,1.43%,0.49,-0.0078%,-0.0021%,$1.8m
9,Polygon-MATIC,$0.8427,+2.54%,$630.2m,$191.4m,-1.52%,0.82%,0.30,-0.0087%,-0.0157%,$1.4m
10,Cosmos-ATOM,$13.01,+9.72%,$594.2m,$131.5m,+18.73%,0.56%,0.22,-0.0084%,-0.0081%,$1.5m
11,Stargate Finance-STG,$0.7718,+23.35%,$586.2m,$28.6m,+83.57%,0.12%,0.05,+0.0047%,+0.0048%,$773.1k
12,Litecoin-LTC,$57.74,+6.45%,$525.2m,$196.7m,+4.80%,0.84%,0.37,-0.0039%,+0.0034%,$1.2m
