,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,634.16",+4.12%,$35.8b,$7.3b,+4.65%,30.83%,0.20,-0.0011%,-0.0006%,$87.1m
1,Bitcoin-BTC,"$20,310.08",+1.55%,$29.5b,$9.7b,+0.78%,41.10%,0.33,+0.0024%,+0.0039%,$29.4m
2,Ethereum Classic-ETC,$33.48,+4.36%,$1.5b,$392.4m,+0.89%,1.66%,0.26,+0.0052%,+0.0034%,$3.6m
3,Polygon-MATIC,$0.8958,+5.65%,$1.4b,$267.9m,+27.48%,1.13%,0.20,-0.0217%,-0.0120%,$3.0m
4,EOS-EOS,$1.55,+7.63%,$1.2b,$212.5m,+12.54%,0.90%,0.18,-0.0034%,+0.0083%,$2.6m
5,Solana-SOL,$32.06,+2.64%,$1.1b,$396.3m,+2.25%,1.67%,0.36,+0.0110%,+0.0052%,$2.2m
6,Tellor-TRB,$19.77,+3.51%,$802.7m,$67.4m,+5.00%,0.28%,0.08,-0.6633%,-0.4683%,$1.5m
7,Binance Coin-BNB,$281.66,+1.69%,$754.5m,$269.2m,+0.89%,1.14%,0.36,+0.0041%,+0.0046%,$578.2k
8,Chiliz-CHZ,$0.2207,+5.79%,$748.6m,$107.0m,+11.01%,0.45%,0.14,+0.0095%,+0.0070%,$1.1m
9,Cosmos-ATOM,$12.72,+4.64%,$714.2m,$132.0m,-0.30%,0.56%,0.18,-0.0016%,-0.0008%,$1.3m
10,Litecoin-LTC,$59.27,+6.09%,$645.5m,$201.5m,+5.05%,0.85%,0.31,+0.0029%,+0.0011%,$1.7m
11,Ripple-XRP,$0.3313,+1.67%,$566.7m,$319.6m,+0.18%,1.35%,0.56,+0.0115%,+0.0102%,$865.2k
12,Avalanche-AVAX,$19.43,+2.45%,$562.6m,$135.7m,+1.14%,0.57%,0.24,+0.0120%,+0.0008%,$953.8k
13,Cardano-ADA,$0.4618,+2.06%,$537.6m,$274.8m,-0.02%,1.16%,0.51,+0.0051%,+0.0101%,$335.9k
14,Optimism-OP,$1.21,+8.29%,$521.3m,$68.8m,+10.78%,0.29%,0.13,+0.0154%,+0.0093%,$709.8k
15,Polkadot-DOT,$7.40,+5.42%,$391.1m,$276.5m,+5.63%,1.17%,0.71,-0.0030%,+0.0020%,$577.2k
16,NEAR Protocol-NEAR,$4.29,-0.07%,$357.8m,$94.9m,-4.65%,0.40%,0.27,+0.0023%,+0.0058%,$615.2k
17,Dogecoin-DOGE,$0.0624,+1.72%,$356.8m,$124.2m,+0.95%,0.52%,0.35,+0.0084%,+0.0075%,$364.3k
18,Chainlink-LINK,$7.16,+7.53%,$353.5m,$110.2m,+9.87%,0.47%,0.31,-0.0040%,-0.0013%,$776.2k
19,STEPN-GMT,$0.6905,+3.04%,$310.1m,$110.7m,+2.55%,0.47%,0.36,+0.0053%,+0.0007%,$783.9k
20,Filecoin-FIL,$5.87,+2.10%,$248.5m,$100.8m,+0.63%,0.43%,0.41,+0.0050%,+0.0071%,$275.3k
21,Curve DAO Token-CRV,$1.17,+5.92%,$241.5m,$61.7m,+4.50%,0.26%,0.26,+0.0016%,-0.0111%,$580.8k
22,1000SHIB-1000SHIB,$0.0123,+1.93%,$237.6m,$38.4m,-0.60%,0.16%,0.16,+0.0100%,+0.0074%,$422.8k
23,Stargate Finance-STG,$0.6628,+7.07%,$225.7m,$19.7m,+3.73%,0.08%,0.09,-0.1228%,-0.0729%,$419.4k
24,ApeCoin-APE,$4.80,+1.79%,$213.3m,$66.3m,+2.49%,0.28%,0.31,+0.0008%,+0.0151%,$265.7k
