,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,658.20",+4.68%,$36.3b,$7.3b,+3.03%,30.08%,0.20,-0.0049%,-0.0054%,$94.9m
1,Bitcoin-BTC,"$19,800.20",+0.12%,$29.1b,$10.0b,-1.79%,41.15%,0.34,+0.0045%,+0.0000%,$22.0m
2,Ethereum Classic-ETC,$42.04,+20.99%,$8.7b,$738.4m,+45.20%,3.03%,0.08,+0.0019%,+0.0043%,$23.1m
3,Solana-SOL,$32.76,+2.64%,$1.3b,$396.3m,+1.95%,1.63%,0.30,+0.0089%,+0.0085%,$2.1m
4,Cardano-ADA,$0.4946,+0.89%,$1.1b,$305.3m,-3.70%,1.25%,0.28,+0.0093%,+0.0050%,$1.9m
5,EOS-EOS,$1.52,+3.96%,$892.3m,$182.8m,+0.02%,0.75%,0.20,+0.0075%,+0.0069%,$1.9m
6,Binance Coin-BNB,$279.60,+1.55%,$775.8m,$265.1m,-1.58%,1.09%,0.34,+0.0107%,+0.0096%,$718.3k
7,Ripple-XRP,$0.3335,+2.20%,$764.6m,$329.2m,-0.82%,1.35%,0.43,+0.0054%,+0.0018%,$1.3m
8,Polygon-MATIC,$0.8832,+1.07%,$719.4m,$217.1m,-3.74%,0.89%,0.30,+0.0005%,-0.0027%,$1.2m
9,Ravencoin-RVN,$0.0394,+16.89%,$716.5m,$34.5m,+31.40%,0.14%,0.05,-0.0296%,+0.0185%,$1.8m
10,Litecoin-LTC,$58.93,-2.03%,$701.3m,$208.3m,-7.55%,0.86%,0.30,+0.0105%,+0.0039%,$1.2m
11,Avalanche-AVAX,$19.68,+5.05%,$700.3m,$143.5m,-1.81%,0.59%,0.20,+0.0150%,-0.0035%,$1.5m
12,Optimism-OP,$1.21,+6.12%,$613.8m,$66.5m,-10.30%,0.27%,0.11,+0.0116%,+0.0105%,$866.4k
13,Cosmos-ATOM,$12.37,-2.97%,$518.2m,$123.2m,-14.00%,0.51%,0.24,+0.0055%,-0.0025%,$739.6k
14,Polkadot-DOT,$7.54,+0.16%,$490.6m,$282.5m,-2.67%,1.16%,0.58,+0.0105%,-0.0063%,$465.0k
15,Chiliz-CHZ,$0.2030,-1.47%,$431.3m,$96.9m,-3.37%,0.40%,0.22,+0.0139%,+0.0043%,$613.4k
16,Dogecoin-DOGE,$0.0626,+0.71%,$420.1m,$125.7m,-2.42%,0.52%,0.30,+0.0114%,+0.0079%,$566.6k
17,Filecoin-FIL,$6.12,+1.05%,$406.5m,$111.2m,-3.21%,0.46%,0.27,+0.0041%,+0.0087%,$791.9k
18,NEAR Protocol-NEAR,$4.42,+5.76%,$397.9m,$101.3m,+12.15%,0.42%,0.25,+0.0090%,+0.0037%,$766.8k
19,Chainlink-LINK,$7.19,-0.44%,$389.7m,$110.6m,-10.58%,0.45%,0.28,+0.0068%,+0.0056%,$3.0m
20,Curve DAO Token-CRV,$1.16,+6.58%,$363.9m,$67.6m,+12.96%,0.28%,0.19,+0.0158%,+0.0057%,$684.7k
21,1000SHIB-1000SHIB,$0.0125,+0.72%,$301.4m,$44.5m,-6.68%,0.18%,0.15,+0.0097%,+0.0042%,$689.3k
22,Bitcoin Cash-BCH,$124.36,+1.26%,$293.0m,$186.0m,-0.98%,0.76%,0.63,+0.0029%,-0.0014%,$563.9k
