,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,612.58",+6.22%,$32.7b,$7.0b,+3.23%,30.36%,0.21,-0.0016%,-0.0025%,$83.2m
1,Bitcoin-BTC,"$19,183.53",+2.10%,$23.5b,$9.5b,-4.14%,41.29%,0.41,+0.0014%,-0.0006%,$28.5m
2,Ethereum Classic-ETC,$36.64,+7.55%,$4.9b,$504.9m,+1.48%,2.19%,0.10,-0.0497%,-0.0068%,$12.2m
3,EOS-EOS,$1.63,+14.95%,$2.3b,$244.1m,+40.17%,1.06%,0.11,-0.0028%,+0.0049%,$5.7m
4,Helium-HNT,$4.83,+23.37%,$1.5b,$38.8m,+65.91%,0.17%,0.03,-0.1400%,-0.1650%,$2.4m
5,Solana-SOL,$32.30,+3.89%,$1.2b,$383.6m,+3.63%,1.66%,0.33,+0.0056%,+0.0120%,$2.1m
6,Cardano-ADA,$0.4700,+1.40%,$709.1m,$275.6m,-1.87%,1.20%,0.39,-0.0062%,+0.0084%,$827.7k
7,Binance Coin-BNB,$276.93,+4.77%,$693.9m,$278.9m,-1.35%,1.21%,0.40,+0.0094%,+0.0066%,$738.6k
8,Ripple-XRP,$0.3308,+3.45%,$633.5m,$322.0m,+0.34%,1.40%,0.51,+0.0045%,+0.0042%,$1.1m
9,Cosmos-ATOM,$12.74,+7.51%,$596.3m,$127.6m,+18.03%,0.55%,0.21,-0.0041%,+0.0152%,$1.2m
10,Stargate Finance-STG,$0.7916,+8.58%,$542.5m,$32.7m,-11.60%,0.14%,0.06,+0.0025%,+0.0021%,$884.3k
11,Polygon-MATIC,$0.8325,+2.80%,$533.7m,$187.8m,+0.29%,0.82%,0.35,-0.0102%,+0.0011%,$748.6k
12,Avalanche-AVAX,$18.76,+2.03%,$472.0m,$128.5m,-1.12%,0.56%,0.27,+0.0045%,+0.0141%,$762.8k
13,Litecoin-LTC,$56.56,+4.63%,$451.3m,$188.4m,-1.18%,0.82%,0.42,+0.0056%,-0.0043%,$374.5k
14,NEAR Protocol-NEAR,$4.49,+9.86%,$444.2m,$112.2m,+23.56%,0.49%,0.25,-0.0050%,+0.0001%,$940.5k
15,Polkadot-DOT,$7.13,+2.47%,$372.8m,$263.8m,+1.69%,1.14%,0.71,+0.0046%,+0.0017%,$350.9k
16,Optimism-OP,$1.16,+4.52%,$368.4m,$57.5m,-3.54%,0.25%,0.16,+0.0071%,-0.0003%,$530.7k
