,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,518.32",-8.35%,$40.7b,$6.8b,-7.28%,29.44%,0.17,-0.0126%,-0.0155%,$97.0m
1,Bitcoin-BTC,"$18,794.47",-5.53%,$37.7b,$9.9b,-1.15%,43.04%,0.26,-0.0072%,+0.0012%,$92.0m
2,Ethereum Classic-ETC,$34.10,-16.52%,$7.6b,$496.9m,-29.65%,2.16%,0.07,-0.0154%,-0.0168%,$37.8m
3,Solana-SOL,$31.04,-5.77%,$1.8b,$369.9m,-4.80%,1.61%,0.21,-0.0121%,-0.0030%,$2.9m
4,Cardano-ADA,$0.4634,-7.97%,$1.2b,$280.6m,-10.86%,1.22%,0.24,+0.0022%,+0.0086%,$3.0m
5,Binance Coin-BNB,$264.29,-5.76%,$936.7m,$282.8m,+7.55%,1.23%,0.30,-0.0209%,-0.0144%,$1.3m
6,Polygon-MATIC,$0.8091,-9.44%,$877.5m,$187.1m,-15.20%,0.81%,0.21,-0.0077%,-0.0012%,$2.0m
7,Ripple-XRP,$0.3199,-4.15%,$799.1m,$321.0m,-3.11%,1.39%,0.40,-0.0056%,-0.0033%,$2.2m
8,Litecoin-LTC,$54.03,-9.99%,$793.8m,$191.2m,-12.04%,0.83%,0.24,+0.0003%,+0.0074%,$3.2m
9,Avalanche-AVAX,$18.34,-8.42%,$790.0m,$129.8m,-10.05%,0.56%,0.16,-0.0204%,-0.0126%,$1.7m
10,EOS-EOS,$1.41,-8.10%,$765.1m,$172.4m,-10.23%,0.75%,0.23,-0.0054%,+0.0020%,$2.4m
11,NEAR Protocol-NEAR,$4.09,-5.97%,$708.8m,$90.6m,-1.49%,0.39%,0.13,+0.0019%,-0.0010%,$1.7m
12,Cosmos-ATOM,$11.83,-5.43%,$642.3m,$107.9m,-12.17%,0.47%,0.17,-0.0004%,-0.0008%,$1.3m
13,Chiliz-CHZ,$0.1877,-9.37%,$605.5m,$77.6m,-20.89%,0.34%,0.13,-0.0017%,+0.0055%,$2.0m
14,Polkadot-DOT,$6.96,-8.31%,$569.2m,$258.9m,-8.36%,1.12%,0.45,-0.0116%,-0.0091%,$1.9m
15,Ravencoin-RVN,$0.0359,-2.96%,$566.7m,$21.3m,-27.73%,0.09%,0.04,-0.0193%,+0.0255%,$1.8m
16,Optimism-OP,$1.11,-9.12%,$544.2m,$59.4m,-14.12%,0.26%,0.11,+0.0098%,+0.0070%,$1.5m
17,Dogecoin-DOGE,$0.0591,-6.75%,$535.5m,$119.8m,-6.79%,0.52%,0.22,-0.0043%,+0.0042%,$2.7m
18,Filecoin-FIL,$5.68,-7.96%,$509.3m,$102.0m,-8.61%,0.44%,0.20,-0.0027%,+0.0042%,$2.8m
19,Stargate Finance-STG,$0.7265,+19.37%,$416.0m,$35.2m,+106.39%,0.15%,0.08,-0.0549%,-0.0194%,$812.0k
20,Chainlink-LINK,$6.66,-9.04%,$400.9m,$101.7m,-12.67%,0.44%,0.25,+0.0050%,+0.0090%,$1.6m
21,Curve DAO Token-CRV,$1.04,-10.89%,$394.9m,$56.0m,-15.92%,0.24%,0.14,-0.0022%,-0.0087%,$1.0m
22,STEPN-GMT,$0.6304,-9.05%,$373.2m,$104.6m,-5.17%,0.45%,0.28,-0.0074%,-0.0073%,$1.1m
23,1000SHIB-1000SHIB,$0.0120,-5.01%,$338.8m,$41.5m,-6.85%,0.18%,0.12,-0.0077%,+0.0100%,$855.5k
24,Bitcoin Cash-BCH,$112.20,-10.74%,$331.0m,$163.8m,-14.34%,0.71%,0.49,-0.0156%,-0.0040%,$872.5k
25,The Sandbox-SAND,$0.8728,-9.25%,$305.9m,$71.4m,-14.46%,0.31%,0.23,-0.0054%,+0.0017%,$1.4m
26,ApeCoin-APE,$4.27,-10.18%,$283.6m,$63.3m,-7.53%,0.27%,0.22,-0.0115%,+0.0039%,$1.1m
27,Helium-HNT,$3.90,+2.22%,$277.5m,$23.2m,+7.49%,0.10%,0.08,+0.0033%,+0.0049%,$890.9k
28,Tellor-TRB,$15.90,-7.28%,$252.7m,$43.4m,-12.09%,0.19%,0.17,-0.1200%,+0.0326%,$573.8k
29,Project Galaxy-GAL,$2.39,-3.16%,$242.2m,$14.4m,+20.17%,0.06%,0.06,+0.0060%,-0.0042%,$686.7k
30,Ethereum Name Service-ENS,$13.56,-7.03%,$220.1m,$27.0m,-11.25%,0.12%,0.12,+0.0100%,+0.0093%,$586.5k
31,Axie Infinity-AXS,$13.07,-8.47%,$210.3m,$78.0m,-8.25%,0.34%,0.37,-0.0309%,-0.0147%,$1.1m
32,Fantom-FTM,$0.2455,-8.79%,$192.0m,$48.6m,-5.47%,0.21%,0.25,-0.0026%,+0.0049%,$720.2k
33,Unifi Protocol DAO-UNFI,$7.00,-9.72%,$169.8m,$18.3m,-9.11%,0.08%,0.11,-0.0070%,+0.0014%,$374.9k
34,Tron-TRX,$0.0606,-4.31%,$149.7m,$140.3m,-1.75%,0.61%,0.94,-0.0279%,-0.0375%,$311.1k
35,Aave-AAVE,$83.48,-9.72%,$147.8m,$44.4m,-14.83%,0.19%,0.30,-0.0323%,-0.0305%,$315.2k
36,Uniswap-UNI,$5.85,-10.14%,$140.0m,$44.1m,-10.14%,0.19%,0.32,-0.0145%,-0.0055%,$484.9k
37,Gala-GALA,$0.0475,-7.22%,$140.0m,$33.3m,-7.34%,0.14%,0.24,-0.0014%,+0.0002%,$463.4k
38,Decentraland-MANA,$0.7359,-7.82%,$136.4m,$37.9m,-6.71%,0.16%,0.28,-0.0214%,+0.0025%,$518.8k
39,Waves-WAVES,$4.28,-7.42%,$125.1m,$47.8m,-9.16%,0.21%,0.38,-0.0207%,+0.0041%,$570.7k
40,Synthetix Network Token-SNX,$2.80,-6.40%,$115.1m,$31.9m,-6.70%,0.14%,0.28,-0.0354%,+0.0053%,$474.0k
41,Kyber Network Crystal-KNC,$1.70,+0.98%,$112.8m,$20.7m,+16.93%,0.09%,0.18,+0.0037%,+0.0023%,$190.6k
42,SushiSwap-SUSHI,$1.10,-9.58%,$108.7m,$26.7m,-24.54%,0.12%,0.25,-0.0130%,-0.0111%,$285.5k
43,Monero-XMR,$144.92,-6.84%,$104.5m,$40.0m,-15.33%,0.17%,0.38,-0.0025%,+0.0040%,$403.3k
44,Terra-LUNA,$1.83,-11.39%,$100.0m,$6.2m,-36.36%,0.03%,0.06,-0.0091%,+0.0028%,$677.0k
45,BinaryX-BNX,$136.73,+5.58%,$98.3m,$29.5m,+22.17%,0.13%,0.30,+0.0085%,+0.0100%,$255.7k
46,THETA-THETA,$1.08,-9.01%,$97.6m,$22.1m,-6.46%,0.10%,0.23,-0.0316%,-0.0130%,$486.9k
47,dYdX-DYDX,$1.42,-11.55%,$93.1m,$33.5m,-10.73%,0.15%,0.36,-0.0088%,+0.0172%,$505.0k
48,THORChain-RUNE,$1.75,-10.11%,$89.7m,$20.2m,-13.34%,0.09%,0.22,+0.0025%,+0.0072%,$295.4k
49,ConstitutionDAO-PEOPLE,$0.0196,-7.95%,$88.0m,$23.9m,-8.95%,0.10%,0.27,-0.0040%,-0.0059%,$713.6k
50,Algorand-ALGO,$0.2872,-5.74%,$84.7m,$28.3m,-5.16%,0.12%,0.33,-0.0084%,+0.0021%,$180.7k
51,yearn.finance-YFI,"$8,700.61",-8.75%,$84.6m,$32.9m,-11.65%,0.14%,0.39,-0.0327%,-0.0157%,$443.1k
52,SHIBA INU-SHIB,$0.0000,-5.37%,$83.8m,$19.0m,-9.80%,0.08%,0.23,-0.0064%,+0.0095%,$531.1k
53,ZCash-ZEC,$58.14,-9.25%,$76.1m,$19.4m,-9.49%,0.08%,0.25,+0.0037%,+0.0016%,$341.0k
54,Lido DAO Token-LDO,$1.82,-16.93%,$74.5m,$17.9m,-14.88%,0.08%,0.24,+0.0051%,+0.0063%,$289.8k
55,Elrond-EGLD,$49.26,-4.97%,$70.1m,$15.9m,+0.62%,0.07%,0.23,-0.0265%,+0.0004%,$244.1k
56,The Graph-GRT,$0.0999,-6.41%,$66.9m,$21.3m,-5.45%,0.09%,0.32,-0.0185%,+0.0110%,$174.8k
57,1inch-1INCH,$0.6133,-6.98%,$66.2m,$19.9m,-12.71%,0.09%,0.30,-0.0041%,+0.0034%,$306.2k
58,Stellar Lumens-XLM,$0.0994,-7.04%,$65.4m,$35.7m,-6.15%,0.16%,0.55,-0.0370%,-0.0411%,$162.9k
59,Tezos-XTZ,$1.43,-9.65%,$59.9m,$26.0m,-9.43%,0.11%,0.43,-0.0217%,-0.0102%,$217.7k
60,Harmony-ONE,$0.0190,-11.12%,$59.3m,$14.9m,-5.00%,0.06%,0.25,-0.0137%,-0.0114%,$270.6k
61,Ankr-ANKR,$0.0328,-8.51%,$58.9m,$13.1m,-11.11%,0.06%,0.22,-0.0125%,-0.0066%,$302.0k
62,Celsius-CEL,$1.32,-11.25%,$56.9m,$22.4m,-17.14%,0.10%,0.39,-0.2471%,-0.0949%,$560.6k
63,Zilliqa-ZIL,$0.0338,-7.05%,$56.8m,$21.4m,-9.47%,0.09%,0.38,-0.0071%,+0.0047%,$252.1k
64,Chromia-CHR,$0.1689,-10.02%,$56.4m,$8.7m,-9.15%,0.04%,0.15,+0.0064%,+0.0000%,$248.4k
65,CertiK-CTK,$1.03,+2.51%,$53.3m,$10.9m,+9.12%,0.05%,0.20,-0.0009%,+0.0100%,$263.6k
66,Flow (Dapper labs)-FLOW,$1.78,-7.79%,$52.2m,$22.7m,-9.37%,0.10%,0.43,-0.0051%,+0.0026%,$269.3k
67,VeChain-VET,$0.0232,-6.84%,$51.1m,$15.8m,-10.11%,0.07%,0.31,-0.0092%,-0.0050%,$163.6k
68,FOOTBALL-FOOTBALL,"$1,126.36",-0.23%,$50.1m,$5.5m,-28.89%,0.02%,0.11,+0.0718%,+0.0683%,$358.2k
69,Serum-SRM,$0.7480,-8.20%,$49.3m,$23.8m,-10.25%,0.10%,0.48,-0.0454%,-0.0271%,$136.0k
70,Enjin Coin-ENJ,$0.4823,-11.11%,$49.1m,$13.7m,-13.84%,0.06%,0.28,-0.0317%,-0.0231%,$227.3k
71,Oasis Network-ROSE,$0.0582,-9.77%,$48.4m,$12.3m,+2.13%,0.05%,0.25,+0.0043%,+0.0061%,$218.4k
72,BitDAO-BIT,$0.6105,-2.94%,$46.4m,$24.6m,+0.29%,0.11%,0.53,+0.0063%,+0.0054%,$101.1k
73,Maker-MKR,$711.35,-6.55%,$45.9m,$15.5m,-2.60%,0.07%,0.34,-0.0113%,-0.0105%,$95.1k
74,Terra Classic-LUNC,$0.0003,-21.32%,$45.1m,$2.1m,-18.99%,0.01%,0.05,+0.0047%,+0.0039%,$316.9k
75,Kusama-KSM,$46.38,-8.80%,$44.9m,$15.3m,-8.26%,0.07%,0.34,-0.0438%,-0.0070%,$185.3k
76,NEO-NEO,$8.60,-8.96%,$44.8m,$12.4m,-12.41%,0.05%,0.28,-0.0304%,-0.0339%,$136.1k
77,Loopring-LRC,$0.3298,-8.26%,$44.4m,$13.0m,-4.98%,0.06%,0.29,-0.0426%,-0.0338%,$275.7k
78,Flamingo-FLM,$0.1077,-9.19%,$44.0m,$17.2m,-7.07%,0.07%,0.39,-0.0968%,-0.0056%,$239.5k
79,Compound-COMP,$44.95,-9.43%,$43.7m,$20.4m,-14.75%,0.09%,0.47,-0.0522%,-0.0724%,$150.5k
80,Dash-DASH,$43.15,-8.75%,$43.2m,$13.5m,-7.53%,0.06%,0.31,-0.0189%,+0.0066%,$240.7k
81,MyNeighborAlice-ALICE,$1.94,-9.75%,$39.7m,$10.3m,-6.94%,0.04%,0.26,-0.0016%,+0.0029%,$172.3k
82,Balancer-BAL,$6.64,-10.81%,$39.0m,$13.8m,-22.51%,0.06%,0.35,-0.0150%,-0.0122%,$191.5k
83,Spell Token-SPELL,$0.0012,-11.89%,$35.1m,$4.3m,+47.13%,0.02%,0.12,-0.0077%,-0.0894%,$137.4k
84,Jasmy-JASMY,$0.0085,-5.55%,$35.0m,$11.5m,+1.45%,0.05%,0.33,+0.0066%,+0.0026%,$151.4k
85,Audius-AUDIO,$0.2659,-7.07%,$35.0m,$7.3m,-7.87%,0.03%,0.21,-0.0183%,-0.0026%,$129.9k
86,LUNA2-LUNA2,n/a,n/a,$34.9m,$2.7m,-50.34%,0.01%,0.08,+0.0100%,+0.0100%,$102.9k
87,OmiseGO-OMG,$1.71,-10.22%,$34.4m,$11.2m,-14.70%,0.05%,0.32,-0.0172%,+0.0080%,$194.5k
88,Immutable X-IMX,$0.7843,-7.53%,$34.4m,$9.1m,-3.36%,0.04%,0.26,-0.0169%,-0.0040%,$179.2k
89,API3-API3,$1.71,-1.66%,$33.5m,$5.1m,+3.18%,0.02%,0.15,-0.0449%,-0.0281%,$195.1k
90,FTX Token-FTT,$25.27,-5.44%,$33.4m,$65.3m,-5.29%,0.28%,1.96,-0.0373%,-0.0051%,$156.5k
91,Reserve Rights-RSR,$0.0059,-9.25%,$33.1m,$12.8m,-15.55%,0.06%,0.39,-0.0118%,+0.0107%,$140.7k
92,Swipe-SXP,$0.3478,-9.25%,$33.1m,$7.4m,-13.77%,0.03%,0.23,-0.0135%,-0.0006%,$156.9k
93,Aragon-ANT,$1.94,+1.95%,$32.7m,$7.5m,+23.32%,0.03%,0.23,+0.0249%,+0.0039%,$52.7k
94,Storj-STORJ,$0.4958,-10.05%,$32.7m,$10.2m,-14.50%,0.04%,0.31,-0.0066%,+0.0036%,$180.3k
95,Kava-KAVA,$1.55,-7.91%,$32.4m,$10.1m,-10.66%,0.04%,0.31,-0.0362%,-0.0178%,$205.9k
96,Litentry-LIT,$0.6620,-9.56%,$31.7m,$4.6m,-11.94%,0.02%,0.15,+0.0085%,+0.0100%,$154.5k
97,Ocean Protocol-OCEAN,$0.1672,-2.38%,$31.5m,$4.5m,+2.69%,0.02%,0.14,-0.2125%,-0.1763%,$89.5k
98,Celo-CELO,$0.7972,-7.14%,$30.5m,$8.6m,-8.75%,0.04%,0.28,-0.0098%,+0.0060%,$130.6k
99,1000XEC-1000XEC,$0.0399,-7.40%,$30.3m,$4.7m,-26.44%,0.02%,0.15,+0.0022%,-0.0008%,$192.5k
100,Bluzelle-BLZ,$0.0844,-10.37%,$30.0m,$5.8m,-14.48%,0.03%,0.19,+0.0096%,+0.0100%,$183.3k
101,Qtum-QTUM,$2.99,-9.77%,$29.9m,$14.9m,-11.14%,0.06%,0.50,-0.0192%,-0.0062%,$117.4k
102,Internet Computer-ICP,$6.22,-9.17%,$29.4m,$12.8m,-10.97%,0.06%,0.44,-0.0010%,+0.0048%,$56.2k
103,iExec RLC-RLC,$1.03,-9.47%,$29.3m,$5.2m,-18.14%,0.02%,0.18,-0.1005%,-0.0264%,$209.8k
104,Adventure Gold-AGLD,$0.4131,+4.75%,$28.6m,$2.3m,+60.26%,0.01%,0.08,-0.0296%,-0.0385%,$112.8k
105,NEM-XEM,$0.0418,-5.12%,$28.1m,$9.1m,+1.76%,0.04%,0.32,-0.0609%,+0.0198%,$72.6k
106,Bella Protocol-BEL,$0.6177,-9.77%,$28.0m,$3.3m,-20.96%,0.01%,0.12,-0.0037%,-0.0036%,$137.7k
107,Holo-HOT,$0.0020,-6.50%,$27.5m,$5.1m,-10.70%,0.02%,0.18,-0.0765%,-0.0853%,$210.4k
108,Coin98-C98,$0.3962,-9.10%,$27.4m,$12.3m,-12.39%,0.05%,0.45,+0.0003%,+0.0073%,$163.4k
109,DFI.Money-YFII,$957.69,-2.81%,$27.0m,$18.5m,-1.10%,0.08%,0.68,-0.5109%,-0.0615%,$201.7k
110,Iota-IOTA,$0.2621,-7.92%,$26.8m,$9.6m,-12.95%,0.04%,0.36,-0.0297%,+0.0036%,$176.5k
111,Alpha Finance Lab-ALPHA,$0.1096,-13.03%,$26.8m,$5.7m,-8.59%,0.02%,0.21,-0.0173%,-0.0072%,$184.2k
112,Ontology-ONT,$0.2213,-8.84%,$26.3m,$7.9m,-13.36%,0.03%,0.30,-0.0147%,-0.0135%,$79.1k
