,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,587.74",+1.80%,$31.3b,$7.1b,+1.77%,30.41%,0.23,+0.0034%,-0.0034%,$67.9m
1,Bitcoin-BTC,"$20,069.68",+0.38%,$26.3b,$9.7b,-0.59%,41.48%,0.37,+0.0032%,+0.0036%,$21.6m
2,Ethereum Classic-ETC,$32.63,+1.19%,$1.3b,$377.0m,-3.71%,1.62%,0.29,+0.0052%,+0.0051%,$2.6m
3,Polygon-MATIC,$0.8919,+6.55%,$1.2b,$262.6m,+29.81%,1.13%,0.22,-0.0204%,-0.0208%,$2.7m
4,EOS-EOS,$1.51,+2.84%,$1.1b,$205.0m,+4.41%,0.88%,0.18,-0.0021%,+0.0108%,$1.9m
5,Solana-SOL,$31.42,+0.50%,$979.9m,$391.4m,-0.03%,1.68%,0.40,+0.0112%,+0.0108%,$1.8m
6,Tellor-TRB,$19.34,-1.04%,$825.0m,$67.0m,-1.64%,0.29%,0.08,-0.7275%,-0.5123%,$1.6m
7,Binance Coin-BNB,$277.97,+0.46%,$731.0m,$268.6m,+0.25%,1.15%,0.37,+0.0028%,+0.0058%,$513.3k
8,Cosmos-ATOM,$12.57,+5.37%,$719.0m,$129.5m,+7.59%,0.56%,0.18,-0.0005%,-0.0037%,$1.2m
9,Chiliz-CHZ,$0.2214,+5.34%,$683.6m,$113.3m,+14.67%,0.49%,0.17,+0.0099%,+0.0093%,$972.8k
10,Litecoin-LTC,$57.41,+2.86%,$604.0m,$192.7m,+2.35%,0.83%,0.32,+0.0028%,+0.0009%,$904.2k
11,Cardano-ADA,$0.4560,+2.06%,$584.7m,$268.7m,-0.76%,1.15%,0.46,+0.0040%,+0.0060%,$466.5k
12,Avalanche-AVAX,$19.08,-0.08%,$523.8m,$132.7m,-0.26%,0.57%,0.25,+0.0127%,+0.0095%,$757.9k
13,Ripple-XRP,$0.3303,+1.64%,$509.6m,$320.3m,+0.10%,1.37%,0.63,+0.0110%,+0.0112%,$789.5k
14,Optimism-OP,$1.16,+3.71%,$443.6m,$63.5m,+0.84%,0.27%,0.14,+0.0173%,+0.0166%,$600.2k
15,NEAR Protocol-NEAR,$4.25,-0.88%,$331.6m,$96.4m,-4.19%,0.41%,0.29,+0.0024%,+0.0027%,$369.9k
16,Polkadot-DOT,$7.24,+2.80%,$331.4m,$272.3m,+3.84%,1.17%,0.82,-0.0024%,+0.0054%,$286.9k
17,Dogecoin-DOGE,$0.0616,+0.92%,$318.9m,$122.1m,-1.20%,0.52%,0.38,+0.0087%,+0.0082%,$292.1k
18,Chainlink-LINK,$6.88,+4.28%,$299.7m,$103.3m,+4.23%,0.44%,0.34,-0.0056%,-0.0047%,$473.4k
19,STEPN-GMT,$0.6817,+1.56%,$282.5m,$109.9m,+2.21%,0.47%,0.39,+0.0057%,+0.0095%,$555.4k
20,Curve DAO Token-CRV,$1.14,+3.22%,$225.3m,$60.3m,+0.27%,0.26%,0.27,+0.0036%,-0.0020%,$485.6k
21,1000SHIB-1000SHIB,$0.0122,+0.48%,$214.8m,$37.7m,-2.15%,0.16%,0.18,+0.0100%,+0.0100%,$336.0k
22,Filecoin-FIL,$5.76,+0.05%,$211.5m,$100.2m,-0.32%,0.43%,0.47,+0.0046%,+0.0067%,$219.7k
23,Stargate Finance-STG,$0.6671,+8.02%,$209.2m,$20.8m,+10.20%,0.09%,0.10,-0.1329%,-0.0890%,$376.3k
24,Balancer-BAL,$7.48,-1.66%,$208.7m,$23.5m,-8.80%,0.10%,0.11,-0.0333%,+0.0231%,$428.9k
25,ApeCoin-APE,$4.75,+0.29%,$193.0m,$65.9m,-0.56%,0.28%,0.34,+0.0000%,+0.0014%,$260.4k
26,Terra-LUNA,$1.87,-14.00%,$182.4m,$7.9m,-27.70%,0.03%,0.04,+0.0104%,+0.0173%,$664.4k
27,FOOTBALL-FOOTBALL,"$1,202.11",+7.29%,$165.7m,$9.9m,+55.17%,0.04%,0.06,+0.2021%,+0.1527%,$393.3k
28,The Sandbox-SAND,$0.9409,+0.96%,$163.4m,$77.6m,+0.47%,0.33%,0.48,-0.0022%,-0.0031%,$304.7k
29,Bitcoin Cash-BCH,$116.47,+0.51%,$157.6m,$165.0m,-2.34%,0.71%,1.05,-0.0054%,+0.0014%,$216.2k
30,1inch-1INCH,$0.7192,+9.03%,$136.9m,$33.1m,+66.81%,0.14%,0.24,-0.0496%,-0.1092%,$303.7k
31,Celsius-CEL,$1.47,+22.57%,$131.8m,$28.3m,+19.70%,0.12%,0.21,-0.2240%,-0.0884%,$1.5m
32,Synthetix Network Token-SNX,$2.97,-0.58%,$126.6m,$38.7m,-2.06%,0.17%,0.31,-0.0222%,-0.0297%,$160.4k
33,Aave-AAVE,$87.02,+3.25%,$118.1m,$46.2m,+7.77%,0.20%,0.39,-0.0003%,-0.0171%,$47.7k
34,Axie Infinity-AXS,$14.35,+3.28%,$116.0m,$82.0m,+3.90%,0.35%,0.71,-0.0202%,-0.0348%,$193.9k
35,Fantom-FTM,$0.2712,-0.15%,$112.2m,$48.0m,-2.11%,0.21%,0.43,+0.0085%,+0.0060%,$146.7k
36,Unifi Protocol DAO-UNFI,$7.55,+0.29%,$110.5m,$19.7m,-2.28%,0.08%,0.18,+0.0042%,+0.0023%,$171.7k
37,Compound-COMP,$46.32,+0.10%,$107.3m,$23.3m,+12.47%,0.10%,0.22,-0.0054%,-0.0155%,$18.3k
38,Uniswap-UNI,$6.34,+3.26%,$103.5m,$49.1m,+5.86%,0.21%,0.47,-0.0012%,-0.0011%,$129.3k
39,Tron-TRX,$0.0629,+0.02%,$95.4m,$136.5m,-4.76%,0.59%,1.43,-0.0182%,-0.0153%,$49.0k
40,Waves-WAVES,$4.50,-1.74%,$93.5m,$52.6m,-3.99%,0.23%,0.56,+0.0069%,+0.0109%,$104.4k
41,Ethereum Name Service-ENS,$13.38,-0.32%,$88.1m,$23.1m,-7.69%,0.10%,0.26,+0.0049%,-0.0033%,$62.1k
42,Gala-GALA,$0.0499,-0.43%,$81.5m,$34.2m,+2.68%,0.15%,0.42,+0.0104%,+0.0068%,$283.3k
43,Monero-XMR,$151.12,-1.10%,$81.0m,$42.4m,-5.09%,0.18%,0.52,-0.0020%,+0.0116%,$72.6k
44,Helium-HNT,$4.84,-1.62%,$80.3m,$14.0m,-4.62%,0.06%,0.17,-0.0066%,-0.0099%,$269.1k
45,Kyber Network Crystal-KNC,$1.77,+3.36%,$79.8m,$21.1m,+3.23%,0.09%,0.26,+0.0079%,+0.0090%,$71.5k
46,Decentraland-MANA,$0.7779,+1.14%,$79.3m,$39.6m,+0.69%,0.17%,0.50,+0.0072%,+0.0118%,$40.5k
47,yearn.finance-YFI,"$9,269.12",+2.48%,$76.0m,$37.3m,+0.87%,0.16%,0.49,+0.0019%,-0.0065%,$70.8k
48,dYdX-DYDX,$1.54,+1.29%,$75.3m,$36.8m,+6.55%,0.16%,0.49,+0.0003%,+0.0072%,$101.1k
49,1000XEC-1000XEC,$0.0451,-1.53%,$74.4m,$10.8m,-21.50%,0.05%,0.14,+0.0066%,+0.0016%,$184.2k
50,Flow (Dapper labs)-FLOW,$2.00,-1.37%,$72.5m,$28.9m,-6.37%,0.12%,0.40,-0.0008%,-0.0030%,$28.7k
51,THETA-THETA,$1.15,-0.80%,$68.2m,$21.9m,+1.55%,0.09%,0.32,+0.0054%,-0.0109%,$82.5k
52,ConstitutionDAO-PEOPLE,$0.0203,-0.32%,$67.6m,$25.6m,-9.13%,0.11%,0.38,-0.0005%,-0.0012%,$56.2k
53,CertiK-CTK,$0.9384,+2.08%,$65.8m,$10.1m,+6.54%,0.04%,0.15,+0.0037%,+0.0005%,$200.7k
54,LUNA2-LUNA2,n/a,n/a,$65.6m,$3.9m,-30.49%,0.02%,0.06,+0.0100%,+0.0100%,$273.3k
55,Lido DAO Token-LDO,$2.12,+4.95%,$65.5m,$19.4m,+8.39%,0.08%,0.30,-0.0557%,-0.0581%,$213.6k
56,ZCash-ZEC,$59.06,+0.88%,$61.7m,$22.4m,+1.13%,0.10%,0.36,+0.0020%,+0.0072%,$77.8k
57,THORChain-RUNE,$1.93,+1.45%,$54.0m,$21.5m,-5.24%,0.09%,0.40,+0.0083%,+0.0081%,$98.1k
58,SHIBA INU-SHIB,$0.0000,-0.11%,$53.6m,$19.7m,+2.22%,0.08%,0.37,+0.0054%,+0.0036%,$59.4k
59,Oasis Network-ROSE,$0.0645,+3.44%,$46.0m,$12.9m,+7.58%,0.06%,0.28,+0.0076%,+0.0078%,$29.4k
60,SushiSwap-SUSHI,$1.06,+2.21%,$45.7m,$27.2m,+1.92%,0.12%,0.60,+0.0064%,+0.0150%,$24.6k
61,Algorand-ALGO,$0.2976,+3.10%,$42.9m,$28.0m,+4.89%,0.12%,0.65,+0.0054%,+0.0044%,$29.3k
62,NEM-XEM,$0.0445,+1.12%,$40.8m,$9.3m,+10.15%,0.04%,0.23,+0.0358%,-0.0350%,$41.2k
63,Kava-KAVA,$1.73,+0.39%,$38.8m,$12.1m,-1.27%,0.05%,0.31,+0.0035%,-0.0026%,$119.8k
64,Chromia-CHR,$0.1784,-4.46%,$38.1m,$9.6m,-20.77%,0.04%,0.25,+0.0067%,+0.0031%,$104.5k
65,Terra Classic-LUNC,$0.0002,-22.19%,$37.7m,$1.1m,-41.01%,0.00%,0.03,+0.0176%,+0.0100%,$344.6k
66,Stellar Lumens-XLM,$0.1048,+0.79%,$37.1m,$35.5m,-3.29%,0.15%,0.96,-0.0045%,+0.0054%,$154.1k
67,Maker-MKR,$753.34,-0.37%,$36.7m,$17.0m,+1.11%,0.07%,0.46,-0.0075%,+0.0011%,$47.4k
68,Tezos-XTZ,$1.52,+1.00%,$36.4m,$26.6m,+4.48%,0.11%,0.73,+0.0035%,+0.0039%,$43.0k
69,DFI.Money-YFII,"$1,000.83",+0.74%,$35.6m,$19.0m,-5.07%,0.08%,0.53,-0.1998%,-0.2773%,$144.6k
70,Reserve Rights-RSR,$0.0063,+1.83%,$34.1m,$16.3m,+2.59%,0.07%,0.48,+0.0094%,+0.0125%,$35.8k
71,The Graph-GRT,$0.1040,+0.77%,$33.9m,$21.9m,-2.26%,0.09%,0.65,+0.0114%,-0.0008%,$31.7k
72,VeChain-VET,$0.0242,+0.88%,$33.2m,$15.9m,-1.68%,0.07%,0.48,+0.0058%,+0.0032%,$60.5k
73,iExec RLC-RLC,$1.12,-0.22%,$33.0m,$6.7m,-1.64%,0.03%,0.20,-0.0563%,-0.0826%,$88.1k
74,Elrond-EGLD,$52.28,-0.33%,$32.5m,$16.4m,-0.44%,0.07%,0.50,+0.0053%,+0.0039%,$28.9k
75,Serum-SRM,$0.7918,+0.74%,$32.0m,$24.4m,-0.65%,0.10%,0.76,-0.0003%,-0.0030%,$3.0k
76,Coin98-C98,$0.4145,-5.39%,$31.5m,$14.6m,-11.45%,0.06%,0.46,+0.0041%,+0.0030%,$17.6k
77,Flamingo-FLM,$0.1152,+0.92%,$31.4m,$18.2m,-3.09%,0.08%,0.58,-0.0130%,-0.0251%,$73.6k
78,Zilliqa-ZIL,$0.0362,+1.31%,$31.4m,$23.3m,+2.74%,0.10%,0.74,+0.0033%,+0.0060%,$12.3k
79,SafePal-SFP,$0.3860,-5.65%,$30.6m,$6.5m,-7.37%,0.03%,0.21,-0.0471%,-0.0481%,$64.3k
80,Dash-DASH,$44.82,+1.46%,$30.2m,$14.2m,+3.70%,0.06%,0.47,+0.0096%,+0.0049%,$44.7k
81,Bluzelle-BLZ,$0.0954,-1.97%,$29.3m,$8.2m,+5.45%,0.04%,0.28,+0.0093%,+0.0058%,$24.1k
82,Harmony-ONE,$0.0206,-1.45%,$29.0m,$14.3m,+0.35%,0.06%,0.50,-0.0006%,+0.0039%,$17.7k
83,BitDAO-BIT,$0.6385,+3.56%,$28.9m,$27.9m,-0.83%,0.12%,0.96,-0.1995%,-0.1985%,$68.7k
84,NEO-NEO,$9.06,+1.23%,$28.5m,$14.2m,+1.43%,0.06%,0.50,+0.0014%,-0.0061%,$18.4k
85,Enjin Coin-ENJ,$0.5175,+2.08%,$28.4m,$13.6m,-4.05%,0.06%,0.48,+0.0048%,+0.0070%,$41.9k
86,FTX Token-FTT,$26.64,+0.16%,$28.1m,$68.5m,+1.99%,0.29%,2.43,-0.0046%,+0.0049%,$10.7k
87,Ankr-ANKR,$0.0349,-0.40%,$26.5m,$14.6m,+2.67%,0.06%,0.55,+0.0002%,+0.0042%,$42.7k
88,Loopring-LRC,$0.3519,+1.43%,$24.5m,$13.3m,-2.86%,0.06%,0.54,+0.0055%,+0.0060%,$8.5k
89,Ocean Protocol-OCEAN,$0.1652,-0.91%,$24.0m,$4.1m,+11.88%,0.02%,0.17,+0.0100%,+0.0100%,$48.8k
90,MyNeighborAlice-ALICE,$2.07,+2.92%,$23.8m,$10.6m,+6.61%,0.05%,0.44,+0.0080%,+0.0074%,$24.1k
91,BinaryX-BNX,$135.82,+2.60%,$22.6m,$27.4m,+8.34%,0.12%,1.21,+0.0100%,+0.0100%,$114.4k
92,Kusama-KSM,$47.36,+0.66%,$22.0m,$15.5m,-0.20%,0.07%,0.70,+0.0023%,-0.0050%,$35.9k
93,Immutable X-IMX,$0.8186,-0.90%,$21.8m,$9.0m,-1.44%,0.04%,0.41,+0.0029%,-0.0025%,$10.0k
94,Jasmy-JASMY,$0.0087,+1.55%,$21.3m,$11.1m,-2.11%,0.05%,0.52,-0.0078%,-0.0039%,$13.6k
95,Celo-CELO,$0.8454,+1.66%,$20.8m,$8.8m,-2.80%,0.04%,0.42,+0.0072%,+0.0094%,$6.7k
96,Arweave-AR,$10.15,-0.03%,$20.2m,$13.2m,-1.73%,0.06%,0.65,+0.0064%,+0.0070%,$6.8k
97,Hedera-HBAR,$0.0622,-0.30%,$18.6m,$8.7m,+12.87%,0.04%,0.47,+0.0084%,+0.0085%,$34.5k
98,LooksRare-LOOKS,$0.2803,+4.58%,$18.2m,$14.7m,+3.98%,0.06%,0.81,-0.0105%,-0.0189%,$19.8k
99,Litentry-LIT,$0.7185,-0.90%,$18.2m,$5.0m,+2.60%,0.02%,0.27,+0.0100%,+0.0100%,$48.7k
100,Aragon-ANT,$1.71,-0.32%,$18.0m,$5.3m,-11.03%,0.02%,0.30,-0.0139%,+0.0123%,$23.4k
101,Mask Network-MASK,$1.32,+1.26%,$17.8m,$6.5m,+4.71%,0.03%,0.36,+0.0150%,+0.0014%,$14.0k
102,Storj-STORJ,$0.5417,-0.37%,$17.3m,$11.2m,-2.90%,0.05%,0.65,+0.0093%,+0.0040%,$18.9k
103,Bella Protocol-BEL,$0.6746,+0.51%,$17.3m,$3.8m,+1.98%,0.02%,0.22,-0.0061%,-0.0139%,$4.2k
104,Qtum-QTUM,$3.17,+2.24%,$17.2m,$15.3m,+0.49%,0.07%,0.89,+0.0037%,-0.0027%,$3.6k
105,Swipe-SXP,$0.3805,+1.91%,$17.0m,$8.8m,+13.77%,0.04%,0.52,+0.0079%,+0.0075%,$24.6k
106,Ren-REN,$0.1217,+1.42%,$17.0m,$7.4m,+1.75%,0.03%,0.44,+0.0019%,-0.0021%,$28.6k
107,Raydium-RAY,$0.6477,-2.23%,$16.8m,$7.8m,+6.50%,0.03%,0.47,-0.0540%,-0.0552%,$42.9k
108,Gitcoin-GTC,$2.19,-1.73%,$16.5m,$4.0m,-10.67%,0.02%,0.24,+0.0100%,+0.0100%,$67.5k
109,Origin Protocol-OGN,$0.1701,-0.32%,$16.3m,$7.1m,-0.82%,0.03%,0.44,+0.0100%,+0.0100%,$15.9k
110,Audius-AUDIO,$0.2817,+1.04%,$16.2m,$7.9m,+0.86%,0.03%,0.49,+0.1799%,+0.1801%,$13.3k
111,Anchor Protocol-ANC,$0.0907,-18.75%,$16.2m,$1.3m,-41.02%,0.01%,0.08,-0.0068%,+0.0012%,$90.0k
112,BakeryToken-BAKE,$0.2531,-0.16%,$16.2m,$4.1m,+13.82%,0.02%,0.25,-0.0004%,+0.0100%,$20.9k
113,Iota-IOTA,$0.2812,+0.22%,$16.1m,$10.7m,+0.59%,0.05%,0.66,+0.0052%,-0.0045%,$44.9k
114,Project Galaxy-GAL,$2.49,+0.38%,$15.9m,$11.4m,+2.71%,0.05%,0.72,-0.0099%,-0.0064%,$11.3k
115,Basic Attention Token-BAT,$0.3371,+1.40%,$15.5m,$10.9m,-1.57%,0.05%,0.70,+0.0074%,+0.0151%,$11.8k
116,OmiseGO-OMG,$1.80,+1.73%,$15.3m,$12.0m,+1.30%,0.05%,0.78,+0.0081%,+0.0099%,$84.2k
117,Ravencoin-RVN,$0.0285,-0.11%,$14.6m,$5.5m,-3.67%,0.02%,0.38,+0.0021%,+0.0104%,$18.1k
118,IOST-IOST,$0.0130,+0.66%,$14.5m,$12.1m,-4.04%,0.05%,0.83,+0.0156%,-0.0029%,$9.6k
119,Ontology-ONT,$0.2438,+0.06%,$14.4m,$8.9m,+1.14%,0.04%,0.62,-0.0025%,-0.0053%,$13.5k
120,Bitcoin SV-BSV,$53.37,+3.77%,$14.4m,$33.0m,+3.22%,0.14%,2.30,+0.0123%,+0.0139%,$32.1
121,Tether-USDT,$1.00,+0.00%,$14.0m,$291.1m,+26.42%,1.25%,20.80,+0.0002%,+0.0002%,$2.0
122,Metal-MTL,$1.19,+0.18%,$13.6m,$6.5m,-1.34%,0.03%,0.48,-0.0085%,-0.0077%,$4.7k
123,Coti-COTI,$0.0921,+1.40%,$13.2m,$4.0m,+7.30%,0.02%,0.30,+0.0087%,+0.0095%,$13.8k
124,Linear-LINA,$0.0081,+1.20%,$12.8m,$4.7m,-0.99%,0.02%,0.37,+0.0076%,+0.0064%,$9.9k
125,Band Protocol-BAND,$1.29,+0.86%,$12.4m,$5.1m,-4.05%,0.02%,0.41,+0.0009%,-0.0031%,$12.8k
126,Dusk Network-DUSK,$0.1350,-0.08%,$12.3m,$3.7m,+1.70%,0.02%,0.30,+0.0100%,+0.0047%,$4.1k
127,Civic-CVC,$0.1417,+0.11%,$12.3m,$7.1m,+1.58%,0.03%,0.58,-0.0009%,+0.0122%,$34.6k
128,StormX-STMX,$0.0078,+0.07%,$12.3m,$3.6m,-18.26%,0.02%,0.30,-0.0026%,+0.0016%,$30.5k
129,NKN-NKN,$0.0983,+0.17%,$12.2m,$3.3m,-8.72%,0.01%,0.27,+0.0100%,+0.0097%,$10.2k
130,Step App-FITFI,$0.0774,+3.77%,$12.2m,$2.6m,+0.91%,0.01%,0.21,+0.0131%,+0.0206%,$20.1k
