,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,639.41",+3.94%,$32.5b,$7.0b,+3.10%,29.99%,0.21,-0.0159%,-0.0128%,$96.6m
1,Bitcoin-BTC,"$19,361.41",+2.18%,$24.1b,$9.7b,-1.01%,41.79%,0.40,-0.0053%,-0.0030%,$34.3m
2,Ethereum Classic-ETC,$36.83,+1.64%,$5.3b,$502.6m,-8.62%,2.16%,0.10,-0.0413%,-0.0519%,$18.0m
3,EOS-EOS,$1.66,+18.39%,$1.6b,$238.7m,+43.41%,1.03%,0.15,-0.0158%,-0.0182%,$4.1m
4,Solana-SOL,$32.67,+4.76%,$1.2b,$385.2m,+3.09%,1.65%,0.33,-0.0019%,+0.0048%,$2.2m
5,Helium-HNT,$4.83,+40.67%,$840.5m,$37.3m,+91.18%,0.16%,0.04,-0.1450%,-0.0852%,$1.7m
6,Cardano-ADA,$0.4783,+2.74%,$794.5m,$282.5m,+0.51%,1.21%,0.36,-0.0021%,-0.0061%,$984.8k
7,Binance Coin-BNB,$277.60,+4.74%,$678.5m,$276.1m,+2.07%,1.19%,0.41,-0.0047%,+0.0043%,$923.2k
8,Ripple-XRP,$0.3356,+3.72%,$653.7m,$328.1m,+2.24%,1.41%,0.50,-0.0068%,-0.0021%,$1.6m
9,Polygon-MATIC,$0.8484,+2.40%,$627.4m,$194.4m,-0.39%,0.83%,0.31,-0.0093%,-0.0157%,$1.3m
10,Stargate Finance-STG,$0.7280,+18.70%,$554.8m,$28.0m,+85.44%,0.12%,0.05,+0.0052%,+0.0054%,$654.9k
11,Litecoin-LTC,$56.94,+3.33%,$512.0m,$192.4m,+1.10%,0.83%,0.38,-0.0037%,+0.0025%,$1.2m
12,Cosmos-ATOM,$12.60,+4.79%,$500.4m,$114.5m,+0.24%,0.49%,0.23,-0.0111%,-0.0261%,$794.1k
13,Avalanche-AVAX,$19.14,+3.16%,$490.7m,$133.5m,+2.24%,0.57%,0.27,+0.0048%,+0.0007%,$1.0m
14,NEAR Protocol-NEAR,$4.38,+8.47%,$421.8m,$93.0m,+5.39%,0.40%,0.22,-0.0048%,-0.0059%,$819.4k
15,Polkadot-DOT,$7.26,+4.88%,$410.4m,$266.6m,+3.02%,1.14%,0.65,-0.0102%,-0.0056%,$514.5k
