,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
151,Yield Guild Games-YGG,$0.4941,+11.12%,$8.6m,$4.2m,+8.35%,0.02%,0.49,+0.0138%,-0.0077%,$22.0k
152,Altcoin Index FTX-ALT,"$1,929.90",+4.09%,$8.2m,$14.7m,+10.74%,0.06%,1.79,-0.0009%,-0.0012%,$472.7
153,Step App-FITFI,$0.0675,-0.13%,$7.8m,$2.4m,-4.35%,0.01%,0.30,-0.0139%,+0.0100%,$53.7k
154,Mines of Dalarnia-DAR,$0.2383,+2.47%,$7.8m,$2.8m,-8.42%,0.01%,0.35,+0.0100%,+0.0100%,$40.1k
155,Klaytn-KLAY,$0.2223,+3.40%,$7.3m,$4.7m,+1.09%,0.02%,0.64,-0.0177%,-0.0229%,$7.6k
156,OKB-OKB,$14.00,-2.03%,$7.1m,$4.4m,+3.39%,0.02%,0.63,-0.0312%,+0.0028%,$653.9
157,IoTeX-IOTX,$0.0355,+1.23%,$6.2m,$6.0m,+2.64%,0.03%,0.96,+0.0044%,+0.0100%,$15.4k
158,Convex Finance-CVX,$5.43,+1.85%,$5.8m,$4.0m,-10.10%,0.02%,0.69,+0.0005%,+0.0026%,$2.8k
159,Anchor Protocol-ANC,$0.0952,-0.04%,$5.0m,$814.4k,-17.41%,0.00%,0.16,+0.0038%,-0.0098%,$32.8k
160,DeFi Binance-DEFI,$738.00,+4.92%,$4.8m,$1.8m,+13.61%,0.01%,0.38,-0.0108%,-0.0225%,$9.0k
161,Badger DAO-BADGER,$5.07,+2.70%,$4.8m,$2.5m,+0.65%,0.01%,0.53,-0.0149%,+0.0114%,$1.8k
162,Crypto.com Coin-CRO,$0.1134,+0.40%,$4.7m,$11.6m,+0.49%,0.05%,2.49,-0.0453%,-0.0027%,$79.5k
163,DigiByte-DGB,$0.0099,+3.04%,$4.5m,$3.4m,-0.74%,0.01%,0.76,+0.0100%,+0.0100%,$32.6k
164,Frax Share-FXS,$6.20,-0.91%,$4.4m,$7.3m,-2.76%,0.03%,1.64,+0.0010%,+0.0023%,$11.6k
165,Shitcoin Index FTX-SHIT,"$2,451.00",+3.08%,$3.9m,$12.5m,+9.53%,0.05%,3.21,-0.0020%,-0.0051%,$1.1k
166,Render Token-RNDR,$0.5064,+7.05%,$3.8m,$2.6m,+0.67%,0.01%,0.67,-0.1107%,-0.0771%,$10.1k
167,JUST-JST,$0.0260,+1.92%,$3.7m,$1.6m,+0.50%,0.01%,0.44,-0.0209%,+0.0213%,$3.3k
168,Request-REQ,$0.1212,+6.65%,$2.9m,$343.6k,-18.98%,0.00%,0.12,+0.0184%,+0.0184%,$19.0k
169,Quant-QNT,$97.51,+8.53%,$2.8m,$53.7k,-7.94%,0.00%,0.02,+0.0100%,+0.0100%,$0.0
170,Mina-MINA,$0.6540,+3.35%,$2.8m,$3.0m,+1.12%,0.01%,1.08,-0.0012%,+0.0061%,$10.3k
171,Siacoin-SC,$0.0039,+1.89%,$2.6m,$905.4k,+2.76%,0.00%,0.35,-0.0268%,+0.0196%,$2.7k
172,Bancor-BNT,$0.4667,+4.44%,$2.5m,$1.9m,+12.91%,0.01%,0.76,+0.0169%,-0.1248%,$153.8
173,NYM-NYM,$0.3225,+9.89%,$2.4m,$748.4k,+32.16%,0.00%,0.31,+0.0335%,+0.0102%,$2.7k
174,Dora Factory-DORA,$2.71,+5.88%,$2.4m,$257.8k,+8.33%,0.00%,0.11,+0.0862%,-0.0181%,$3.4k
175,Smooth Love Potion-SLP,$0.0039,+3.72%,$2.3m,$4.0m,+3.30%,0.02%,1.72,-0.0404%,-0.0154%,$19.2k
176,Perpetual Protocol-PERP,$0.6675,+3.41%,$2.2m,$1.6m,+1.13%,0.01%,0.73,-0.0362%,-0.0028%,$2.0k
177,Tribe-TRIBE,$0.2597,-6.71%,$2.0m,$74.1k,-42.23%,0.00%,0.04,-0.0152%,-0.0224%,$277.5
178,Tornado Cash-TORN,$8.09,+1.89%,$1.9m,$787.6k,-0.91%,0.00%,0.41,-0.0693%,-0.0389%,$13.1k
179,Moonbeam-GLMR,$0.4988,+3.77%,$1.8m,$2.4m,+13.34%,0.01%,1.34,-0.0332%,-0.0819%,$4.5k
180,DeFi FTX-DEFI,"$2,809.75",+4.28%,$1.8m,$3.6m,+1.60%,0.02%,1.99,-0.0012%,-0.0042%,$0.0
181,Chain-XCN,$0.0677,-3.36%,$1.8m,$1.1m,+3.43%,0.00%,0.63,-0.3032%,-0.3265%,$127.0
182,Wrapped NXM-WNXM,$16.00,+3.13%,$1.7m,$387.5k,-1.95%,0.00%,0.23,+0.0469%,-0.0251%,$1.2k
183,Exchange Token Index FTX-EXCH,"$6,619.95",+2.00%,$1.7m,$4.2m,+16.92%,0.02%,2.54,-0.0011%,-0.0004%,$38.9
184,Baby Doge Coin-BABYDOGE,$0.0000,+2.25%,$1.5m,$1.3m,-5.34%,0.01%,0.88,+0.0146%,-0.0334%,$43.7k
185,Chia Network-XCH,$35.13,+0.52%,$1.5m,$955.9k,-8.09%,0.00%,0.66,+0.0932%,-0.0386%,$7.5k
186,Midcap Index FTX-MID,"$1,330.70",+3.29%,$1.3m,$4.9m,+2.29%,0.02%,3.74,-0.0003%,-0.0001%,$0.0
187,Everdome-DOME,$0.0015,-1.32%,$1.2m,$646.4k,+16.21%,0.00%,0.53,+0.1997%,+0.0547%,$2.7k
188,PancakeSwap-CAKE,$4.10,+3.89%,$1.2m,$3.1m,+2.20%,0.01%,2.57,-0.0003%,+0.0012%,$509.5
189,Kishu Inu-KISHU,$0.0000,+9.44%,$1.2m,$294.5k,+8.96%,0.00%,0.24,-0.0375%,+0.0814%,$3.3k
190,Biconomy-BICO,$0.5092,-1.39%,$1.2m,$874.6k,-0.35%,0.00%,0.73,-0.0190%,+0.0022%,$501.9
191,Gods Unchained-GODS,$0.3259,+1.78%,$1.2m,$432.7k,+0.60%,0.00%,0.36,-0.0243%,-0.0278%,$5.1k
192,UMA-UMA,$2.68,+4.60%,$1.2m,$808.0k,+3.82%,0.00%,0.70,-0.1385%,+0.1303%,$64.8
193,Huobi Token-HT,$4.70,+2.02%,$1.1m,$4.4m,-2.20%,0.02%,3.80,+0.0041%,+0.0051%,$39.4k
