,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,851.21",+0.34%,$18.3b,$9.9b,-1.33%,41.71%,0.54,-0.0012%,+0.0008%,$9.2m
1,Ethereum-ETH,"$1,573.98",+1.33%,$16.6b,$7.0b,+0.67%,29.46%,0.42,+0.0002%,-0.0001%,$28.4m
2,Cardano-ADA,$0.4981,+0.53%,$1.2b,$344.8m,+1.48%,1.46%,0.29,-0.0070%,-0.0084%,$1.2m
3,Ethereum Classic-ETC,$32.47,+0.99%,$801.9m,$384.9m,+0.26%,1.63%,0.48,-0.0084%,-0.0053%,$1.4m
4,Solana-SOL,$32.07,+2.32%,$656.3m,$404.2m,+3.55%,1.71%,0.62,+0.0122%,+0.0107%,$1.1m
5,1000SHIB-1000SHIB,$0.0127,+3.23%,$619.3m,$52.9m,+34.21%,0.22%,0.09,+0.0091%,+0.0100%,$878.4k
6,Cosmos-ATOM,$12.80,+1.37%,$549.7m,$148.7m,+10.49%,0.63%,0.27,-0.0108%,-0.0168%,$1.2m
7,Litecoin-LTC,$60.46,+1.19%,$508.8m,$227.6m,-0.41%,0.96%,0.45,+0.0102%,+0.0017%,$828.7k
8,EOS-EOS,$1.48,-2.27%,$449.7m,$187.4m,-3.14%,0.79%,0.42,+0.0034%,+0.0060%,$502.8k
9,Polygon-MATIC,$0.8921,+0.93%,$432.8m,$234.0m,-1.79%,0.99%,0.54,-0.0042%,-0.0004%,$280.6k
10,Ravencoin-RVN,$0.0331,+11.61%,$405.7m,$23.6m,+240.40%,0.10%,0.06,-0.5697%,-0.1310%,$748.7k
11,Binance Coin-BNB,$278.31,+0.10%,$401.6m,$263.1m,+1.22%,1.11%,0.66,+0.0076%,+0.0094%,$148.9k
12,Chainlink-LINK,$7.22,+4.73%,$390.7m,$120.4m,+19.28%,0.51%,0.31,+0.0039%,+0.0119%,$397.9k
13,Filecoin-FIL,$6.21,-1.54%,$362.4m,$120.9m,-13.58%,0.51%,0.33,+0.0022%,+0.0137%,$642.2k
14,Polkadot-DOT,$7.58,+3.82%,$353.6m,$289.6m,+7.65%,1.22%,0.82,+0.0086%,+0.0083%,$534.6k
15,Chiliz-CHZ,$0.2095,-1.58%,$333.7m,$98.3m,+0.09%,0.42%,0.29,-0.0036%,-0.0069%,$466.0k
16,STEPN-GMT,$0.7010,+1.32%,$327.0m,$116.1m,+1.68%,0.49%,0.35,-0.0017%,-0.0061%,$291.8k
17,Dogecoin-DOGE,$0.0629,+0.67%,$322.4m,$128.3m,+0.62%,0.54%,0.40,+0.0080%,+0.0131%,$429.9k
18,Avalanche-AVAX,$19.01,+0.72%,$320.5m,$148.9m,+9.93%,0.63%,0.46,-0.0048%,+0.0091%,$131.0k
19,Ripple-XRP,$0.3304,-0.10%,$313.4m,$322.7m,+0.99%,1.36%,1.03,+0.0094%,+0.0097%,$141.0k
20,The Sandbox-SAND,$0.9782,+5.26%,$310.2m,$90.6m,+16.86%,0.38%,0.29,+0.0064%,+0.0065%,$515.7k
21,Optimism-OP,$1.16,-0.57%,$275.0m,$70.0m,-0.94%,0.30%,0.25,-0.0099%,-0.0078%,$170.9k
22,Tellor-TRB,$18.62,+0.49%,$207.2m,$60.0m,-9.84%,0.25%,0.29,-0.1064%,-0.2117%,$260.7k
23,Axie Infinity-AXS,$14.48,-0.85%,$190.1m,$90.1m,-13.80%,0.38%,0.47,-0.0193%,-0.0379%,$228.3k
24,NEAR Protocol-NEAR,$4.24,+1.34%,$182.1m,$90.5m,+1.00%,0.38%,0.50,-0.0021%,-0.0022%,$244.3k
25,Unifi Protocol DAO-UNFI,$7.92,+0.78%,$179.2m,$20.7m,-14.17%,0.09%,0.12,+0.0032%,+0.0075%,$202.3k
26,ApeCoin-APE,$4.77,-0.35%,$150.6m,$68.3m,-0.17%,0.29%,0.45,+0.0013%,+0.0024%,$113.7k
27,Curve DAO Token-CRV,$1.08,+1.41%,$147.4m,$58.0m,-1.11%,0.25%,0.39,+0.0025%,-0.0004%,$134.8k
28,Decentraland-MANA,$0.8058,+1.89%,$139.8m,$42.4m,+5.09%,0.18%,0.30,+0.0107%,+0.0059%,$229.0k
29,Bitcoin Cash-BCH,$118.59,+1.07%,$136.5m,$173.2m,+2.36%,0.73%,1.27,-0.0080%,-0.0083%,$102.2k
30,SHIBA INU-SHIB,$0.0000,+4.06%,$129.0m,$21.6m,+5.39%,0.09%,0.17,+0.0086%,+0.0057%,$501.2k
