,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,529.56",-7.15%,$45.3b,$6.6b,-8.89%,29.06%,0.15,-0.0140%,-0.0204%,$117.3m
1,Bitcoin-BTC,"$18,770.22",-6.12%,$41.6b,$9.9b,-2.15%,43.36%,0.24,-0.0055%,-0.0091%,$93.9m
2,Ethereum Classic-ETC,$34.62,-15.54%,$8.6b,$501.6m,-21.98%,2.20%,0.06,-0.0130%,+0.0045%,$35.1m
3,Solana-SOL,$30.91,-6.02%,$2.0b,$365.7m,-9.25%,1.61%,0.18,-0.0067%,-0.0044%,$3.2m
4,Cardano-ADA,$0.4600,-8.68%,$1.4b,$276.3m,-12.47%,1.21%,0.19,-0.0036%,+0.0025%,$3.6m
5,Binance Coin-BNB,$262.97,-6.54%,$1.1b,$277.6m,+4.15%,1.22%,0.25,-0.0240%,-0.0230%,$1.5m
6,Polygon-MATIC,$0.8134,-9.03%,$1.0b,$190.1m,-13.80%,0.84%,0.18,-0.0065%,-0.0055%,$2.2m
7,Avalanche-AVAX,$18.18,-10.16%,$878.8m,$128.1m,-15.25%,0.56%,0.15,-0.0231%,-0.0271%,$1.6m
8,Litecoin-LTC,$53.81,-12.54%,$863.7m,$187.6m,-16.91%,0.82%,0.22,+0.0009%,+0.0101%,$3.4m
9,Ripple-XRP,$0.3208,-5.99%,$862.8m,$323.6m,-5.21%,1.42%,0.38,-0.0073%,-0.0073%,$1.8m
10,EOS-EOS,$1.39,-11.21%,$839.7m,$168.8m,-15.60%,0.74%,0.20,-0.0059%,+0.0011%,$2.5m
11,NEAR Protocol-NEAR,$4.12,-4.41%,$712.9m,$89.6m,-2.30%,0.39%,0.13,+0.0016%,-0.0016%,$1.7m
12,Cosmos-ATOM,$11.68,-9.21%,$706.1m,$108.4m,-17.93%,0.48%,0.15,-0.0004%,+0.0056%,$1.5m
13,Optimism-OP,$1.11,-11.22%,$653.2m,$59.4m,-22.41%,0.26%,0.09,+0.0121%,+0.0079%,$1.7m
14,Polkadot-DOT,$6.89,-8.47%,$628.2m,$256.5m,-7.37%,1.13%,0.41,-0.0115%,-0.0046%,$1.9m
15,Chiliz-CHZ,$0.1870,-10.35%,$593.8m,$77.2m,-22.28%,0.34%,0.13,-0.0020%,+0.0007%,$2.0m
16,Ravencoin-RVN,$0.0370,-3.61%,$583.1m,$25.5m,-21.46%,0.11%,0.04,-0.0193%,+0.0226%,$1.7m
17,Filecoin-FIL,$5.62,-9.61%,$573.5m,$99.7m,-12.61%,0.44%,0.17,-0.0027%,+0.0009%,$2.8m
18,Dogecoin-DOGE,$0.0586,-8.78%,$572.5m,$121.3m,-8.49%,0.53%,0.21,-0.0026%,-0.0015%,$2.4m
19,Curve DAO Token-CRV,$1.03,-12.04%,$450.2m,$54.5m,-15.06%,0.24%,0.12,-0.0052%,-0.0094%,$1.2m
20,Chainlink-LINK,$6.64,-10.47%,$432.1m,$99.0m,-19.37%,0.43%,0.23,+0.0030%,+0.0057%,$3.7m
21,STEPN-GMT,$0.6289,-10.14%,$407.3m,$103.3m,-7.97%,0.45%,0.25,-0.0047%,-0.0058%,$1.1m
22,1000SHIB-1000SHIB,$0.0120,-6.48%,$384.9m,$40.5m,-13.00%,0.18%,0.11,-0.0077%,-0.0036%,$1.0m
23,Bitcoin Cash-BCH,$112.80,-10.75%,$346.9m,$162.5m,-16.82%,0.71%,0.47,-0.0160%,-0.0177%,$877.4k
24,Tellor-TRB,$15.88,-14.83%,$340.3m,$42.9m,-28.12%,0.19%,0.13,-0.1487%,-0.0510%,$936.4k
25,The Sandbox-SAND,$0.8761,-9.50%,$324.3m,$72.3m,-14.90%,0.32%,0.22,-0.0047%,+0.0023%,$1.3m
26,ApeCoin-APE,$4.28,-10.56%,$300.3m,$63.4m,-7.86%,0.28%,0.21,-0.0001%,-0.0116%,$946.9k
27,Axie Infinity-AXS,$13.05,-9.41%,$232.3m,$77.8m,-8.52%,0.34%,0.33,-0.0323%,-0.0160%,$919.7k
28,Helium-HNT,$3.52,-11.97%,$221.3m,$19.9m,-9.14%,0.09%,0.09,+0.0032%,+0.0067%,$704.2k
29,Project Galaxy-GAL,$2.54,+2.04%,$220.3m,$15.4m,+24.10%,0.07%,0.07,+0.0064%,+0.0063%,$578.7k
30,Ethereum Name Service-ENS,$13.69,-5.96%,$220.1m,$28.3m,-8.46%,0.12%,0.13,+0.0084%,+0.0053%,$570.3k
31,Stargate Finance-STG,$0.6344,+3.57%,$208.9m,$15.9m,-10.65%,0.07%,0.08,-0.0949%,-0.0883%,$568.6k
32,Fantom-FTM,$0.2441,-9.12%,$203.5m,$48.1m,-8.77%,0.21%,0.24,-0.0022%,+0.0007%,$670.0k
33,Aave-AAVE,$83.28,-9.92%,$179.5m,$44.6m,-11.58%,0.20%,0.25,-0.0325%,-0.0481%,$412.9k
34,Unifi Protocol DAO-UNFI,$6.75,-13.25%,$175.6m,$16.8m,-21.77%,0.07%,0.10,-0.0070%,-0.0094%,$356.3k
35,Tron-TRX,$0.0603,-4.63%,$161.0m,$138.8m,-2.80%,0.61%,0.86,-0.0310%,-0.0417%,$324.4k
36,Uniswap-UNI,$5.84,-12.53%,$155.9m,$43.7m,-14.41%,0.19%,0.28,-0.0146%,-0.0024%,$417.5k
37,Gala-GALA,$0.0473,-8.36%,$151.8m,$33.2m,-6.64%,0.15%,0.22,-0.0051%,-0.0067%,$396.6k
38,Decentraland-MANA,$0.7326,-8.86%,$148.3m,$37.7m,-8.89%,0.17%,0.25,-0.0208%,-0.0196%,$540.3k
39,Waves-WAVES,$4.26,-8.51%,$135.5m,$47.4m,-11.17%,0.21%,0.35,-0.0211%,-0.0048%,$582.2k
40,Terra-LUNA,$1.87,-5.80%,$126.6m,$6.3m,-20.33%,0.03%,0.05,-0.0106%,-0.0017%,$899.9k
41,Synthetix Network Token-SNX,$2.80,-7.52%,$123.1m,$32.7m,-8.16%,0.14%,0.27,-0.0358%,+0.0042%,$479.9k
42,SushiSwap-SUSHI,$1.14,-8.58%,$116.7m,$28.7m,-23.01%,0.13%,0.25,-0.0130%,-0.0207%,$198.8k
43,Monero-XMR,$145.26,-8.21%,$107.1m,$39.7m,-20.88%,0.17%,0.37,-0.0029%,+0.0029%,$423.9k
