,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,547.94",-1.07%,$12.8b,$6.9b,-0.02%,29.31%,0.54,-0.0037%,-0.0064%,$20.9m
1,Bitcoin-BTC,"$19,708.74",-0.87%,$11.1b,$10.0b,+4.08%,42.46%,0.90,-0.0027%,-0.0042%,$6.6m
2,Cardano-ADA,$0.4926,+4.89%,$1.2b,$343.5m,+20.31%,1.45%,0.29,-0.0146%,-0.0295%,$2.3m
3,Filecoin-FIL,$6.28,-2.54%,$1.1b,$136.4m,-3.09%,0.58%,0.12,+0.0148%,-0.0051%,$1.2m
4,Ethereum Classic-ETC,$32.08,-1.11%,$610.8m,$382.8m,+0.73%,1.62%,0.63,-0.0076%,-0.0005%,$269.9k
5,Litecoin-LTC,$59.32,-2.51%,$609.8m,$228.7m,-4.74%,0.97%,0.38,+0.0003%,+0.0085%,$765.1k
6,EOS-EOS,$1.50,-4.77%,$569.7m,$191.2m,-9.41%,0.81%,0.34,+0.0088%,+0.0046%,$632.0k
7,Axie Infinity-AXS,$14.52,+2.24%,$511.5m,$101.1m,+21.13%,0.43%,0.20,-0.0163%,+0.0011%,$804.0k
8,Solana-SOL,$31.25,+0.31%,$485.0m,$387.1m,-0.57%,1.64%,0.80,+0.0000%,+0.0097%,$564.4k
9,Polygon-MATIC,$0.8820,+0.40%,$484.3m,$238.1m,-0.22%,1.01%,0.49,+0.0040%,-0.0060%,$367.0k
10,Cosmos-ATOM,$12.54,+0.82%,$426.7m,$134.2m,+5.67%,0.57%,0.31,+0.0015%,-0.0041%,$524.2k
11,Chiliz-CHZ,$0.2141,-3.97%,$416.2m,$99.7m,-7.51%,0.42%,0.24,+0.0074%,+0.0092%,$452.2k
12,Optimism-OP,$1.16,-2.25%,$336.7m,$69.6m,-1.16%,0.29%,0.21,+0.0052%,+0.0049%,$293.7k
13,Binance Coin-BNB,$277.10,+0.33%,$314.6m,$258.9m,-0.63%,1.09%,0.82,+0.0051%,+0.0083%,$80.1k
14,Dogecoin-DOGE,$0.0624,+0.01%,$285.9m,$126.7m,-0.98%,0.54%,0.44,+0.0128%,+0.0141%,$332.0k
15,Tellor-TRB,$18.13,-6.13%,$284.5m,$66.1m,-9.00%,0.28%,0.23,-0.3759%,-0.2451%,$249.8k
16,Ripple-XRP,$0.3300,+0.24%,$251.5m,$318.1m,-0.20%,1.35%,1.26,-0.0021%,+0.0021%,$127.9k
17,Avalanche-AVAX,$18.83,-0.13%,$251.5m,$135.5m,-0.28%,0.57%,0.54,-0.0087%,+0.0003%,$156.9k
18,STEPN-GMT,$0.6883,+1.75%,$212.0m,$112.1m,+2.55%,0.47%,0.53,-0.0016%,-0.0003%,$371.6k
19,Polkadot-DOT,$7.28,+0.14%,$194.4m,$267.9m,-0.55%,1.13%,1.38,+0.0010%,+0.0003%,$91.5k
20,Unifi Protocol DAO-UNFI,$7.89,+2.38%,$150.9m,$22.9m,+5.32%,0.10%,0.15,+0.0096%,+0.0088%,$95.7k
21,Chainlink-LINK,$6.87,-0.23%,$150.5m,$100.8m,-1.02%,0.43%,0.67,+0.0053%,+0.0079%,$191.2k
22,1000SHIB-1000SHIB,$0.0123,-0.09%,$139.8m,$39.9m,+0.65%,0.17%,0.29,+0.0100%,+0.0100%,$175.9k
23,ApeCoin-APE,$4.77,+0.73%,$128.9m,$68.3m,+1.67%,0.29%,0.53,+0.0006%,+0.0000%,$187.6k
24,NEAR Protocol-NEAR,$4.15,-0.68%,$128.1m,$89.3m,-1.05%,0.38%,0.70,+0.0033%,+0.0047%,$102.6k
25,Bitcoin Cash-BCH,$117.31,+0.18%,$123.7m,$169.8m,+2.10%,0.72%,1.37,-0.0093%,-0.0019%,$46.6k
26,Curve DAO Token-CRV,$1.06,-2.56%,$113.5m,$58.7m,+2.12%,0.25%,0.52,-0.0085%,+0.0041%,$200.7k
27,Helium-HNT,$4.15,-9.79%,$105.5m,$20.6m,+27.54%,0.09%,0.20,+0.0292%,+0.0328%,$344.1k
28,The Sandbox-SAND,$0.9273,+0.38%,$102.6m,$76.9m,+2.49%,0.33%,0.75,+0.0105%,+0.0078%,$36.4k
29,yearn.finance-YFI,"$9,405.81",-1.15%,$92.9m,$40.0m,-7.60%,0.17%,0.43,+0.0085%,-0.0013%,$113.4k
30,Waves-WAVES,$4.55,+1.47%,$89.0m,$53.7m,+2.00%,0.23%,0.60,+0.0069%,+0.0089%,$78.8k
31,Algorand-ALGO,$0.3090,+2.69%,$88.7m,$31.8m,+8.54%,0.13%,0.36,+0.0034%,-0.0067%,$51.0k
32,Synthetix Network Token-SNX,$3.00,+1.14%,$78.7m,$36.0m,+0.67%,0.15%,0.46,-0.0316%,-0.0123%,$65.3k
33,Ethereum Name Service-ENS,$13.69,-1.26%,$77.1m,$28.4m,+5.51%,0.12%,0.37,+0.0019%,+0.0019%,$17.7k
34,Aave-AAVE,$86.64,-0.39%,$73.8m,$45.1m,-3.39%,0.19%,0.61,-0.0155%,-0.0176%,$6.2k
35,ZCash-ZEC,$62.92,+3.47%,$73.1m,$24.2m,+9.70%,0.10%,0.33,-0.0042%,+0.0072%,$109.5k
36,CertiK-CTK,$1.02,+1.68%,$70.2m,$12.3m,+18.12%,0.05%,0.18,+0.0100%,+0.0100%,$160.8k
37,Fantom-FTM,$0.2679,-0.30%,$70.0m,$48.6m,+1.19%,0.21%,0.69,+0.0063%,+0.0114%,$30.3k
38,Decentraland-MANA,$0.7887,+2.03%,$68.9m,$40.7m,+4.90%,0.17%,0.59,+0.0104%,+0.0081%,$59.4k
39,ConstitutionDAO-PEOPLE,$0.0210,+2.76%,$65.7m,$28.7m,+10.06%,0.12%,0.44,-0.0043%,+0.0085%,$62.0k
40,Tron-TRX,$0.0628,-0.18%,$60.8m,$140.9m,+2.09%,0.60%,2.32,-0.0016%,-0.0022%,$3.2k
41,Flamingo-FLM,$0.1184,-0.42%,$57.6m,$20.4m,+5.81%,0.09%,0.35,-0.1521%,-0.0991%,$36.7k
42,Celsius-CEL,$1.45,+1.89%,$54.6m,$26.7m,+2.39%,0.11%,0.49,-0.1283%,-0.0658%,$292.7k
43,Gala-GALA,$0.0504,+0.60%,$54.5m,$35.3m,-0.21%,0.15%,0.65,+0.0071%,+0.0103%,$26.9k
44,Uniswap-UNI,$6.33,-0.20%,$53.3m,$47.8m,+0.17%,0.20%,0.90,-0.0072%,+0.0008%,$20.4k
45,FOOTBALL-FOOTBALL,"$1,149.56",-5.93%,$53.0m,$7.9m,-35.94%,0.03%,0.15,+0.1136%,+0.0640%,$137.4k
46,Monero-XMR,$153.69,+0.64%,$50.9m,$44.9m,+4.65%,0.19%,0.88,-0.0721%,-0.0746%,$19.1k
47,SushiSwap-SUSHI,$1.12,+0.97%,$49.3m,$29.5m,-3.28%,0.12%,0.60,-0.0053%,-0.0189%,$38.5k
48,Balancer-BAL,$7.15,-6.38%,$49.2m,$18.1m,-19.84%,0.08%,0.37,-0.0016%,-0.0133%,$114.1k
49,Stargate Finance-STG,$0.6107,-5.55%,$47.9m,$14.9m,-13.12%,0.06%,0.31,-0.0618%,-0.0746%,$56.9k
50,dYdX-DYDX,$1.56,+1.25%,$45.4m,$37.3m,-1.07%,0.16%,0.82,-0.0060%,+0.0034%,$7.3k
51,THETA-THETA,$1.14,+0.28%,$43.9m,$22.1m,+0.24%,0.09%,0.50,+0.0055%,+0.0107%,$4.9k
52,1inch-1INCH,$0.6824,-1.51%,$43.1m,$24.9m,-8.81%,0.11%,0.58,-0.0147%,+0.0085%,$39.7k
53,Compound-COMP,$48.22,+3.63%,$43.1m,$24.8m,+10.52%,0.10%,0.58,+0.0022%,-0.0025%,$38.3k
54,Enjin Coin-ENJ,$0.5239,+2.95%,$42.1m,$15.4m,+8.61%,0.07%,0.37,+0.0042%,-0.0032%,$65.8k
55,Kyber Network Crystal-KNC,$1.70,-2.91%,$41.0m,$18.6m,-8.08%,0.08%,0.45,-0.0093%,+0.0061%,$46.0k
56,Flow (Dapper labs)-FLOW,$1.95,+1.63%,$39.8m,$26.7m,-0.01%,0.11%,0.67,+0.0046%,+0.0054%,$37.5k
57,Coin98-C98,$0.4383,-0.79%,$37.2m,$15.6m,+0.09%,0.07%,0.42,+0.0072%,+0.0065%,$21.4k
58,Stellar Lumens-XLM,$0.1073,+2.25%,$36.9m,$37.9m,+7.57%,0.16%,1.03,+0.0055%,+0.0086%,$38.7k
59,Terra-LUNA,$1.83,-1.63%,$36.3m,$7.1m,-4.49%,0.03%,0.19,+0.0127%,+0.0104%,$68.1k
60,THORChain-RUNE,$1.91,+0.51%,$34.0m,$22.3m,+5.55%,0.09%,0.65,+0.0076%,+0.0077%,$18.2k
61,SHIBA INU-SHIB,$0.0000,-0.30%,$31.3m,$20.4m,-1.48%,0.09%,0.65,+0.0121%,+0.0114%,$48.2k
62,Tezos-XTZ,$1.52,+2.01%,$30.2m,$27.7m,+4.82%,0.12%,0.92,-0.0137%,-0.0025%,$9.9k
63,Dash-DASH,$46.35,+0.96%,$29.5m,$15.4m,+6.12%,0.06%,0.52,+0.0121%,+0.0007%,$13.0k
64,Lido DAO Token-LDO,$1.96,-2.59%,$28.8m,$16.8m,-2.34%,0.07%,0.58,-0.0230%,-0.0244%,$41.1k
65,Kusama-KSM,$49.49,+2.48%,$25.5m,$16.7m,+6.58%,0.07%,0.65,-0.0180%,-0.0166%,$22.7k
66,Oasis Network-ROSE,$0.0632,-2.09%,$25.5m,$12.3m,+1.34%,0.05%,0.48,+0.0068%,+0.0078%,$47.2k
67,Ankr-ANKR,$0.0349,+0.34%,$24.5m,$14.7m,-2.00%,0.06%,0.60,-0.0048%,-0.0132%,$24.2k
68,1000XEC-1000XEC,$0.0434,-2.65%,$23.4m,$8.3m,-9.19%,0.04%,0.35,-0.1192%,-0.0169%,$61.1k
69,Elrond-EGLD,$50.72,-2.56%,$22.8m,$16.5m,+4.81%,0.07%,0.73,+0.0036%,+0.0013%,$36.6k
70,Aragon-ANT,$1.80,+0.97%,$22.2m,$6.0m,+3.49%,0.03%,0.27,-0.0081%,-0.0086%,$61.6k
71,Ravencoin-RVN,$0.0297,+4.38%,$22.0m,$7.4m,+34.02%,0.03%,0.34,-0.0147%,+0.0157%,$20.5k
72,iExec RLC-RLC,$1.12,+1.06%,$20.9m,$6.6m,+0.98%,0.03%,0.32,-0.1778%,-0.0638%,$12.6k
