,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Bitcoin-BTC,"$19,874.43",+0.36%,$17.5b,$9.8b,-1.19%,41.64%,0.56,+0.0012%,+0.0010%,$9.0m
1,Ethereum-ETH,"$1,576.01",+1.31%,$15.9b,$7.0b,+0.69%,29.44%,0.44,+0.0023%,+0.0037%,$28.2m
2,Cardano-ADA,$0.4998,+2.14%,$1.3b,$347.9m,+7.51%,1.47%,0.26,-0.0090%,-0.0029%,$1.7m
3,Ethereum Classic-ETC,$32.50,+0.96%,$806.2m,$384.3m,+1.27%,1.63%,0.48,-0.0092%,-0.0082%,$1.4m
4,Solana-SOL,$32.20,+3.12%,$691.7m,$405.8m,+3.95%,1.72%,0.59,+0.0107%,+0.0176%,$1.4m
5,1000SHIB-1000SHIB,$0.0128,+3.52%,$613.6m,$53.4m,+34.39%,0.23%,0.09,+0.0091%,+0.0090%,$889.1k
6,Cosmos-ATOM,$12.96,+3.26%,$542.7m,$152.5m,+15.61%,0.65%,0.28,-0.0110%,-0.0048%,$1.1m
7,Litecoin-LTC,$60.99,+1.79%,$492.8m,$231.2m,+1.76%,0.98%,0.47,+0.0103%,+0.0087%,$710.8k
8,EOS-EOS,$1.48,-2.77%,$465.1m,$186.9m,-3.71%,0.79%,0.40,+0.0027%,+0.0065%,$553.4k
9,Polygon-MATIC,$0.8924,+0.45%,$441.7m,$234.0m,-2.06%,0.99%,0.53,-0.0068%,-0.0025%,$276.8k
10,Filecoin-FIL,$6.22,-2.37%,$434.8m,$122.2m,-16.82%,0.52%,0.28,+0.0025%,+0.0107%,$839.2k
11,Binance Coin-BNB,$278.97,+0.10%,$390.2m,$262.9m,+1.07%,1.11%,0.67,+0.0030%,+0.0091%,$146.8k
12,Chainlink-LINK,$7.24,+4.81%,$378.8m,$121.1m,+19.93%,0.51%,0.32,+0.0035%,+0.0119%,$402.3k
13,Ravencoin-RVN,$0.0337,+16.45%,$377.3m,$23.6m,+299.23%,0.10%,0.06,-0.6079%,-0.2713%,$725.6k
14,STEPN-GMT,$0.7033,+3.54%,$345.2m,$115.6m,+5.11%,0.49%,0.33,-0.0057%,-0.0027%,$519.1k
15,Chiliz-CHZ,$0.2111,-1.75%,$327.7m,$98.1m,+1.27%,0.41%,0.30,-0.0032%,-0.0058%,$350.1k
16,Dogecoin-DOGE,$0.0633,+0.72%,$326.6m,$128.6m,+1.24%,0.54%,0.39,+0.0046%,+0.0073%,$421.4k
17,Avalanche-AVAX,$19.02,+0.03%,$321.4m,$148.5m,+8.89%,0.63%,0.46,-0.0051%,+0.0051%,$134.1k
18,Polkadot-DOT,$7.55,+2.84%,$314.1m,$283.1m,+5.15%,1.20%,0.90,+0.0023%,+0.0135%,$418.4k
19,Ripple-XRP,$0.3313,+0.38%,$309.1m,$321.9m,+1.12%,1.36%,1.04,+0.0062%,+0.0075%,$140.9k
20,Optimism-OP,$1.17,-2.54%,$307.9m,$70.4m,-5.62%,0.30%,0.23,-0.0120%,-0.0134%,$258.9k
21,The Sandbox-SAND,$0.9753,+4.83%,$298.5m,$89.5m,+15.24%,0.38%,0.30,+0.0065%,+0.0110%,$497.9k
22,Axie Infinity-AXS,$14.49,-2.03%,$223.2m,$91.1m,-19.71%,0.39%,0.41,-0.0149%,-0.0168%,$301.4k
23,Tellor-TRB,$18.64,-1.28%,$214.7m,$60.1m,-11.58%,0.25%,0.28,-0.1064%,-0.1913%,$277.9k
24,Unifi Protocol DAO-UNFI,$7.94,+2.14%,$185.8m,$20.6m,-5.98%,0.09%,0.11,+0.0026%,+0.0028%,$195.6k
25,NEAR Protocol-NEAR,$4.25,+1.77%,$178.4m,$90.6m,+1.63%,0.38%,0.51,-0.0010%,-0.0012%,$234.7k
26,ApeCoin-APE,$4.78,+0.14%,$151.3m,$69.0m,+0.70%,0.29%,0.46,+0.0003%,+0.0011%,$112.9k
27,Curve DAO Token-CRV,$1.09,+1.75%,$143.7m,$58.8m,+0.44%,0.25%,0.41,+0.0021%,-0.0002%,$135.2k
28,Decentraland-MANA,$0.8084,+2.51%,$143.2m,$42.8m,+8.46%,0.18%,0.30,+0.0109%,+0.0075%,$231.2k
29,Bitcoin Cash-BCH,$119.24,+1.23%,$134.7m,$173.9m,+3.11%,0.74%,1.29,-0.0083%,+0.0009%,$100.8k
30,SHIBA INU-SHIB,$0.0000,+4.26%,$128.6m,$21.5m,+6.77%,0.09%,0.17,+0.0086%,+0.0075%,$501.4k
31,Helium-HNT,$4.33,+1.28%,$108.0m,$20.1m,+9.33%,0.09%,0.19,+0.0068%,+0.0071%,$227.3k
32,Fantom-FTM,$0.2724,+1.72%,$100.4m,$50.7m,+3.70%,0.21%,0.50,+0.0120%,+0.0108%,$50.8k
33,Uniswap-UNI,$6.45,+1.18%,$88.9m,$48.5m,+1.84%,0.21%,0.55,-0.0003%,-0.0069%,$44.6k
34,ConstitutionDAO-PEOPLE,$0.0213,+2.71%,$86.4m,$27.4m,+1.62%,0.12%,0.32,+0.0082%,-0.0088%,$115.1k
35,Algorand-ALGO,$0.3101,-0.52%,$84.4m,$31.6m,+0.22%,0.13%,0.37,-0.0050%,-0.0063%,$32.1k
36,Tron-TRX,$0.0632,+0.11%,$81.2m,$142.8m,+2.25%,0.60%,1.76,-0.0027%,-0.0067%,$8.2k
37,Gala-GALA,$0.0517,+2.25%,$75.9m,$35.8m,+0.73%,0.15%,0.47,+0.0071%,+0.0086%,$40.6k
38,Aave-AAVE,$89.35,+2.28%,$73.9m,$47.3m,+4.18%,0.20%,0.64,+0.0066%,+0.0092%,$13.0k
39,Waves-WAVES,$4.61,+0.03%,$73.1m,$53.2m,-3.61%,0.22%,0.73,+0.0094%,+0.0056%,$29.8k
40,yearn.finance-YFI,"$9,466.20",-3.52%,$70.8m,$39.0m,-7.60%,0.17%,0.55,-0.0060%,+0.0047%,$89.0k
41,ZCash-ZEC,$63.65,+1.63%,$61.0m,$23.7m,+0.47%,0.10%,0.39,+0.0193%,+0.0081%,$130.4k
42,Synthetix Network Token-SNX,$3.04,+2.96%,$60.2m,$36.4m,-0.55%,0.15%,0.60,-0.0228%,-0.0171%,$10.0k
