,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,560.91",-4.27%,$26.1b,$7.0b,-4.52%,29.63%,0.27,-0.0027%,-0.0140%,$50.9m
1,Bitcoin-BTC,"$19,873.06",-2.12%,$21.4b,$9.9b,+1.59%,42.01%,0.46,+0.0024%,+0.0005%,$17.9m
2,Litecoin-LTC,$60.82,+2.74%,$1.1b,$236.1m,+17.24%,1.00%,0.21,+0.0004%,+0.0004%,$2.1m
3,Ethereum Classic-ETC,$32.49,-2.62%,$1.1b,$383.1m,-2.46%,1.63%,0.35,-0.0055%,-0.0077%,$2.7m
4,Filecoin-FIL,$6.56,+11.60%,$1.0b,$155.1m,+53.77%,0.66%,0.15,+0.0042%,-0.0002%,$1.4m
5,EOS-EOS,$1.53,-1.25%,$1.0b,$197.5m,-7.06%,0.84%,0.20,-0.0016%,-0.0009%,$1.7m
6,Cardano-ADA,$0.4760,+3.11%,$795.5m,$293.7m,+6.98%,1.25%,0.37,+0.0179%,+0.0052%,$918.3k
7,Solana-SOL,$31.17,-2.85%,$791.1m,$389.7m,-1.70%,1.65%,0.49,+0.0014%,+0.0014%,$999.8k
8,Optimism-OP,$1.19,-1.14%,$726.3m,$72.3m,+5.40%,0.31%,0.10,+0.0099%,+0.0052%,$1.3m
9,Polygon-MATIC,$0.8791,-1.76%,$718.9m,$236.9m,-11.53%,1.01%,0.33,+0.0072%,-0.0011%,$976.9k
10,Chiliz-CHZ,$0.2205,-0.07%,$656.1m,$103.1m,-3.48%,0.44%,0.16,+0.0060%,+0.0079%,$751.2k
11,Cosmos-ATOM,$12.30,-3.16%,$524.1m,$125.1m,-5.46%,0.53%,0.24,-0.0027%,-0.0163%,$904.5k
12,Binance Coin-BNB,$277.05,-1.47%,$468.3m,$261.5m,-2.82%,1.11%,0.56,-0.0021%,-0.0027%,$247.5k
13,Ripple-XRP,$0.3292,-0.63%,$436.2m,$319.7m,+0.06%,1.36%,0.73,-0.0003%,+0.0066%,$424.2k
14,Avalanche-AVAX,$18.92,-2.51%,$387.0m,$135.9m,+0.09%,0.58%,0.35,-0.0072%,+0.0063%,$722.0k
15,Tellor-TRB,$19.29,-2.02%,$364.1m,$70.2m,+4.21%,0.30%,0.19,-0.6245%,-0.4990%,$319.6k
16,Dogecoin-DOGE,$0.0628,+0.94%,$362.1m,$128.4m,+3.43%,0.55%,0.35,+0.0112%,+0.0025%,$652.3k
17,Polkadot-DOT,$7.28,-1.36%,$361.5m,$268.2m,-3.07%,1.14%,0.74,-0.0002%,+0.0033%,$549.7k
18,Axie Infinity-AXS,$15.04,+4.30%,$288.1m,$120.0m,+43.57%,0.51%,0.42,-0.0147%,-0.0236%,$346.0k
19,yearn.finance-YFI,"$9,563.32",+0.30%,$256.2m,$42.5m,+8.85%,0.18%,0.17,+0.0085%,+0.0043%,$597.9k
