,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,579.60",-0.57%,$35.8b,$7.0b,-2.33%,30.18%,0.20,-0.0003%,-0.0015%,$66.9m
1,Bitcoin-BTC,"$20,085.85",-0.95%,$27.6b,$9.7b,-0.58%,41.94%,0.35,+0.0014%,+0.0014%,$22.5m
2,Ethereum Classic-ETC,$32.48,-1.28%,$1.5b,$391.2m,-0.83%,1.68%,0.27,-0.0175%,-0.0131%,$3.4m
3,Solana-SOL,$31.47,-3.14%,$1.2b,$393.6m,-0.31%,1.69%,0.33,+0.0063%,+0.0100%,$1.7m
4,Tellor-TRB,$19.68,-13.99%,$1.2b,$68.0m,-13.12%,0.29%,0.06,-0.5956%,-0.4687%,$2.4m
5,Chiliz-CHZ,$0.2118,+1.09%,$961.1m,$99.7m,-5.13%,0.43%,0.10,+0.0071%,+0.0077%,$1.2m
6,EOS-EOS,$1.48,+5.03%,$869.6m,$197.8m,+12.45%,0.85%,0.23,+0.0052%,+0.0117%,$1.6m
7,Polygon-MATIC,$0.8425,+0.15%,$802.5m,$204.4m,+0.57%,0.88%,0.25,+0.0018%,-0.0009%,$1.2m
8,NEAR Protocol-NEAR,$4.28,-2.10%,$719.6m,$100.1m,-8.81%,0.43%,0.14,+0.0040%,+0.0050%,$1.1m
9,Binance Coin-BNB,$278.62,-2.51%,$718.4m,$268.8m,+0.88%,1.16%,0.37,+0.0003%,+0.0045%,$523.4k
10,Cosmos-ATOM,$12.06,+0.31%,$632.4m,$122.9m,+7.26%,0.53%,0.19,+0.0016%,+0.0067%,$1.1m
11,Avalanche-AVAX,$19.22,-2.63%,$575.9m,$134.3m,-5.12%,0.58%,0.23,-0.0017%,+0.0042%,$906.5k
12,Cardano-ADA,$0.4494,-1.39%,$541.7m,$272.5m,-1.20%,1.17%,0.50,+0.0072%,+0.0046%,$975.4k
13,Ripple-XRP,$0.3267,-0.89%,$512.6m,$320.9m,-2.54%,1.38%,0.63,+0.0027%,+0.0072%,$579.6k
14,Litecoin-LTC,$56.38,+3.98%,$451.0m,$192.4m,+8.40%,0.83%,0.43,+0.0031%,+0.0052%,$637.6k
15,Optimism-OP,$1.13,-2.39%,$409.5m,$63.8m,-7.09%,0.27%,0.16,+0.0164%,+0.0177%,$558.4k
16,Curve DAO Token-CRV,$1.11,-3.59%,$368.3m,$60.5m,-7.63%,0.26%,0.16,+0.0054%,+0.0053%,$884.6k
17,Dogecoin-DOGE,$0.0615,-2.12%,$337.6m,$124.1m,+1.65%,0.53%,0.37,+0.0041%,+0.0105%,$580.1k
18,STEPN-GMT,$0.6761,-1.05%,$317.7m,$109.3m,-0.76%,0.47%,0.34,-0.0061%,+0.0004%,$808.1k
19,Polkadot-DOT,$7.07,-1.62%,$303.4m,$263.2m,-0.34%,1.13%,0.87,-0.0099%,-0.0016%,$267.3k
20,Chainlink-LINK,$6.68,-1.56%,$258.9m,$100.3m,-5.89%,0.43%,0.39,+0.0041%,+0.0132%,$376.4k
21,Filecoin-FIL,$5.79,-0.31%,$243.9m,$100.4m,+1.78%,0.43%,0.41,+0.0028%,-0.0045%,$215.4k
22,Stargate Finance-STG,$0.6242,-13.87%,$227.4m,$19.1m,+42.51%,0.08%,0.08,-0.3408%,-0.2382%,$800.9k
23,1000SHIB-1000SHIB,$0.0122,-1.11%,$211.2m,$38.7m,+2.97%,0.17%,0.18,-0.0058%,+0.0028%,$500.2k
24,Synthetix Network Token-SNX,$3.01,-1.51%,$210.7m,$39.3m,-6.79%,0.17%,0.19,+0.0101%,-0.0060%,$315.6k
25,ApeCoin-APE,$4.77,-2.61%,$202.1m,$66.7m,+1.22%,0.29%,0.33,+0.0024%,+0.0029%,$349.5k
26,The Sandbox-SAND,$0.9354,-2.80%,$175.2m,$77.4m,+0.23%,0.33%,0.44,-0.0003%,+0.0086%,$224.6k
27,Axie Infinity-AXS,$13.97,-1.98%,$174.8m,$80.2m,-4.34%,0.35%,0.46,-0.0310%,-0.0387%,$345.9k
28,Bitcoin Cash-BCH,$116.39,-0.18%,$169.6m,$169.6m,+1.87%,0.73%,1.00,-0.0126%,-0.0161%,$198.5k
29,Balancer-BAL,$7.72,+12.50%,$168.4m,$26.6m,+85.93%,0.11%,0.16,-0.1349%,-0.2835%,$540.9k
30,Terra-LUNA,$2.08,+22.68%,$164.5m,$10.0m,+80.78%,0.04%,0.06,-0.0048%,-0.0246%,$1.1m
31,Fantom-FTM,$0.2729,-3.92%,$150.4m,$49.2m,-6.15%,0.21%,0.33,+0.0066%,+0.0058%,$311.1k
32,Flow (Dapper labs)-FLOW,$2.03,-0.48%,$144.5m,$30.7m,-11.86%,0.13%,0.21,-0.0049%,-0.0021%,$258.6k
33,1000XEC-1000XEC,$0.0456,+3.73%,$136.2m,$13.4m,-16.55%,0.06%,0.10,-0.0889%,-0.0743%,$195.7k
34,Unifi Protocol DAO-UNFI,$7.60,-3.00%,$132.5m,$20.5m,-0.01%,0.09%,0.15,+0.0077%,+0.0076%,$187.9k
35,Tron-TRX,$0.0631,-1.74%,$131.0m,$143.5m,-3.65%,0.62%,1.10,-0.0159%,-0.0107%,$125.1k
36,Aave-AAVE,$85.31,-1.84%,$129.3m,$43.4m,-7.95%,0.19%,0.34,-0.0090%,-0.0116%,$85.8k
37,Waves-WAVES,$4.56,+0.27%,$126.5m,$54.8m,+5.17%,0.24%,0.43,-0.0037%,+0.0003%,$190.8k
38,Kava-KAVA,$1.73,-1.79%,$117.0m,$12.2m,-1.45%,0.05%,0.10,+0.0018%,+0.0060%,$158.3k
39,Uniswap-UNI,$6.21,-2.06%,$117.0m,$47.1m,-3.71%,0.20%,0.40,-0.0093%,+0.0021%,$168.5k
40,Ethereum Name Service-ENS,$13.36,+3.99%,$95.8m,$25.6m,+20.14%,0.11%,0.27,+0.0063%,+0.0067%,$68.8k
41,ConstitutionDAO-PEOPLE,$0.0205,-2.24%,$93.1m,$28.3m,+1.73%,0.12%,0.30,+0.0073%,+0.0030%,$470.6k
42,Kyber Network Crystal-KNC,$1.73,+0.41%,$91.1m,$20.5m,-1.33%,0.09%,0.22,-0.0159%,-0.0038%,$56.8k
43,Gala-GALA,$0.0504,-1.37%,$85.8m,$33.6m,+0.55%,0.14%,0.39,+0.0044%,+0.0107%,$274.5k
44,SafePal-SFP,$0.4065,+3.17%,$85.5m,$7.0m,+20.88%,0.03%,0.08,-0.0150%,-0.0026%,$218.2k
45,Decentraland-MANA,$0.7734,-1.88%,$85.2m,$39.7m,-0.22%,0.17%,0.47,-0.0048%,+0.0001%,$104.2k
46,THETA-THETA,$1.17,-1.41%,$80.7m,$21.6m,-4.12%,0.09%,0.27,+0.0002%,+0.0060%,$228.5k
47,Monero-XMR,$153.69,+1.38%,$77.5m,$44.7m,+5.29%,0.19%,0.58,+0.0060%,+0.0122%,$88.9k
48,Helium-HNT,$4.93,-11.04%,$76.6m,$14.8m,+2.23%,0.06%,0.19,+0.0018%,-0.0036%,$258.2k
49,Lido DAO Token-LDO,$2.09,+3.90%,$72.3m,$18.6m,-6.90%,0.08%,0.26,+0.0047%,+0.0048%,$238.3k
50,yearn.finance-YFI,"$9,176.10",+1.44%,$68.2m,$37.3m,+5.56%,0.16%,0.55,+0.0018%,+0.0142%,$104.7k
51,ZCash-ZEC,$58.93,-3.42%,$66.6m,$22.3m,+3.64%,0.10%,0.33,+0.0104%,+0.0094%,$155.4k
52,THORChain-RUNE,$1.92,-2.19%,$60.2m,$22.9m,-3.69%,0.10%,0.38,+0.0086%,+0.0083%,$67.0k
53,dYdX-DYDX,$1.53,-2.74%,$58.3m,$34.7m,-1.05%,0.15%,0.60,-0.0078%,+0.0013%,$32.0k
54,Reserve Rights-RSR,$0.0062,-3.93%,$56.3m,$15.9m,-20.18%,0.07%,0.28,+0.0046%,+0.0186%,$72.7k
55,Celsius-CEL,$1.19,+5.62%,$55.4m,$23.7m,+2.20%,0.10%,0.43,-0.0446%,-0.0398%,$199.8k
56,Tezos-XTZ,$1.52,-1.80%,$53.8m,$26.6m,-0.27%,0.11%,0.50,-0.0122%,+0.0018%,$159.9k
57,SushiSwap-SUSHI,$1.04,-3.35%,$52.8m,$27.0m,-2.65%,0.12%,0.51,+0.0106%,+0.0099%,$32.5k
58,SHIBA INU-SHIB,$0.0000,-0.99%,$52.3m,$19.3m,+2.30%,0.08%,0.37,-0.0193%,+0.0018%,$94.9k
59,LUNA2-LUNA2,n/a,n/a,$50.4m,$5.8m,+314.82%,0.03%,0.12,-0.2228%,-0.2228%,$329.4k
60,Chromia-CHR,$0.1856,+1.54%,$49.3m,$11.7m,-8.24%,0.05%,0.24,+0.0030%,-0.0002%,$100.8k
61,1inch-1INCH,$0.6565,-4.67%,$49.1m,$19.9m,-7.95%,0.09%,0.41,-0.0073%,-0.0022%,$34.0k
62,Coin98-C98,$0.4408,+1.72%,$48.2m,$16.5m,-1.15%,0.07%,0.34,+0.0069%,+0.0072%,$90.4k
63,Harmony-ONE,$0.0210,-3.70%,$43.4m,$14.4m,-7.26%,0.06%,0.33,-0.0001%,-0.0008%,$77.3k
64,Elrond-EGLD,$52.75,-2.01%,$42.2m,$16.5m,-7.39%,0.07%,0.39,+0.0039%,+0.0047%,$50.3k
65,Algorand-ALGO,$0.2898,-1.86%,$42.1m,$26.9m,-1.08%,0.12%,0.64,+0.0006%,+0.0069%,$28.8k
66,Bluzelle-BLZ,$0.0974,-5.17%,$41.6m,$7.8m,-8.86%,0.03%,0.19,+0.0057%,+0.0100%,$157.7k
67,Compound-COMP,$46.48,-2.71%,$40.8m,$20.7m,-10.89%,0.09%,0.51,-0.0010%,-0.0024%,$50.4k
68,Stellar Lumens-XLM,$0.1043,-0.88%,$39.3m,$36.8m,+0.05%,0.16%,0.94,-0.0039%,-0.0064%,$74.6k
69,iExec RLC-RLC,$1.13,-6.95%,$39.2m,$6.8m,-2.31%,0.03%,0.17,-0.0696%,-0.0229%,$120.9k
70,Zilliqa-ZIL,$0.0358,-1.97%,$39.0m,$22.8m,+0.22%,0.10%,0.58,-0.0021%,+0.0061%,$21.9k
71,Flamingo-FLM,$0.1148,-3.12%,$37.3m,$18.7m,-5.29%,0.08%,0.50,-0.0128%,-0.0375%,$58.8k
72,Dash-DASH,$44.34,-2.00%,$37.0m,$13.9m,-2.75%,0.06%,0.37,+0.0009%,-0.0022%,$43.2k
73,CertiK-CTK,$0.9300,-1.96%,$36.8m,$9.4m,-22.49%,0.04%,0.26,+0.0099%,+0.0086%,$181.9k
74,VeChain-VET,$0.0242,-2.24%,$36.2m,$16.2m,-1.40%,0.07%,0.45,+0.0045%,-0.0016%,$24.4k
75,NEO-NEO,$9.00,-2.74%,$34.6m,$14.1m,+3.94%,0.06%,0.41,-0.0248%,-0.0320%,$23.0k
76,Enjin Coin-ENJ,$0.5112,-2.87%,$34.5m,$14.1m,-7.57%,0.06%,0.41,+0.0020%,+0.0009%,$41.0k
77,The Graph-GRT,$0.1036,-1.94%,$33.2m,$22.7m,-3.84%,0.10%,0.68,-0.0022%,+0.0022%,$34.7k
78,Oasis Network-ROSE,$0.0625,-3.30%,$32.5m,$12.0m,+0.16%,0.05%,0.37,+0.0055%,+0.0082%,$95.5k
79,Ankr-ANKR,$0.0348,-4.03%,$32.3m,$14.4m,-3.83%,0.06%,0.45,+0.0000%,+0.0082%,$81.5k
80,Serum-SRM,$0.7910,-0.43%,$30.5m,$25.0m,+4.76%,0.11%,0.82,-0.0207%,+0.0056%,$13.9k
81,DFI.Money-YFII,"$1,000.68",-2.78%,$30.2m,$20.2m,-4.06%,0.09%,0.67,-0.1345%,-0.1544%,$89.0k
82,FTX Token-FTT,$26.73,-2.12%,$29.9m,$67.5m,-2.56%,0.29%,2.26,-0.0045%,+0.0007%,$10.5k
83,NEM-XEM,$0.0441,-1.41%,$28.2m,$8.4m,-8.75%,0.04%,0.30,-0.0085%,+0.0174%,$10.5k
84,BitDAO-BIT,$0.6177,+2.26%,$25.7m,$28.2m,+11.74%,0.12%,1.10,-0.2767%,-0.2776%,$32.4k
85,Loopring-LRC,$0.3497,-2.99%,$25.3m,$13.7m,+4.73%,0.06%,0.54,-0.0105%,-0.0086%,$38.4k
86,Arweave-AR,$10.15,-2.16%,$25.1m,$13.5m,+3.51%,0.06%,0.54,+0.0050%,+0.0061%,$33.5k
87,Kusama-KSM,$46.98,-3.78%,$23.7m,$15.6m,-3.44%,0.07%,0.66,-0.0351%,-0.0052%,$70.7k
88,Terra Classic-LUNC,$0.0003,+69.80%,$23.1m,$1.8m,+201.21%,0.01%,0.08,+0.0100%,+0.0100%,$639.7k
89,Maker-MKR,$758.33,-5.23%,$22.8m,$16.9m,-0.30%,0.07%,0.74,-0.0089%,-0.0070%,$12.8k
90,Litentry-LIT,$0.7255,-2.55%,$22.4m,$4.9m,-3.23%,0.02%,0.22,+0.0100%,+0.0100%,$5.4k
91,MyNeighborAlice-ALICE,$2.01,-2.75%,$22.3m,$10.1m,+0.68%,0.04%,0.45,+0.0057%,+0.0075%,$33.5k
92,Storj-STORJ,$0.5453,-1.07%,$21.4m,$11.6m,-4.16%,0.05%,0.54,-0.0109%,+0.0115%,$15.4k
93,Audius-AUDIO,$0.2794,-2.49%,$21.3m,$7.7m,+4.54%,0.03%,0.36,-0.0287%,-0.0107%,$41.3k
94,Basic Attention Token-BAT,$0.3335,-2.59%,$21.3m,$11.1m,-1.97%,0.05%,0.52,-0.0105%,+0.0010%,$23.4k
95,Jasmy-JASMY,$0.0086,-1.25%,$21.1m,$11.4m,-0.98%,0.05%,0.54,-0.0076%,+0.0069%,$40.5k
96,Raydium-RAY,$0.6638,-5.70%,$20.8m,$7.3m,-12.41%,0.03%,0.35,-0.0548%,-0.0431%,$20.6k
97,Aragon-ANT,$1.72,+4.30%,$20.2m,$6.1m,+16.45%,0.03%,0.30,+0.0140%,+0.0035%,$18.9k
98,Project Galaxy-GAL,$2.50,-2.19%,$20.1m,$11.3m,+1.12%,0.05%,0.56,-0.0111%,-0.0099%,$19.5k
99,Celo-CELO,$0.8396,+1.46%,$20.0m,$9.4m,+7.47%,0.04%,0.47,-0.0064%,+0.0057%,$1.3k
100,Gitcoin-GTC,$2.22,+1.32%,$19.6m,$4.4m,+5.43%,0.02%,0.22,+0.0100%,+0.0100%,$50.3k
101,IOST-IOST,$0.0129,-2.25%,$19.5m,$12.7m,-4.36%,0.05%,0.65,-0.0127%,-0.0199%,$28.7k
102,Iota-IOTA,$0.2819,-1.80%,$19.1m,$10.7m,-5.47%,0.05%,0.56,+0.0067%,+0.0033%,$28.0k
103,Immutable X-IMX,$0.8269,-3.27%,$18.7m,$9.3m,+0.81%,0.04%,0.50,+0.0046%,+0.0126%,$16.8k
104,Ravencoin-RVN,$0.0286,-3.12%,$18.3m,$5.8m,+2.67%,0.02%,0.31,+0.0070%,+0.0067%,$39.4k
105,Swipe-SXP,$0.3749,-1.69%,$18.1m,$7.9m,-2.11%,0.03%,0.43,+0.0027%,+0.0070%,$15.6k
106,BinaryX-BNX,$132.73,+0.97%,$18.0m,$25.4m,+5.22%,0.11%,1.41,+0.0100%,+0.0100%,$18.5k
107,Tether-USDT,$1.00,+0.00%,$18.0m,$286.2m,-1.10%,1.23%,15.87,+0.0000%,+0.0000%,$0.0
108,Bella Protocol-BEL,$0.6727,-1.88%,$18.0m,$3.8m,-1.91%,0.02%,0.21,+0.0057%,+0.0100%,$28.7k
109,Qtum-QTUM,$3.13,-2.26%,$17.6m,$15.4m,-2.58%,0.07%,0.87,+0.0174%,+0.0213%,$53.4k
110,Band Protocol-BAND,$1.27,-1.77%,$17.6m,$5.3m,-10.26%,0.02%,0.30,-0.0077%,+0.0098%,$16.8k
111,Anchor Protocol-ANC,$0.1073,+29.30%,$17.2m,$2.2m,+112.53%,0.01%,0.13,-0.0619%,-0.0141%,$67.7k
112,OmiseGO-OMG,$1.78,-3.40%,$17.2m,$11.9m,-1.32%,0.05%,0.69,-0.0010%,+0.0070%,$14.0k
113,Internet Computer-ICP,$6.26,-3.29%,$17.1m,$13.0m,-1.71%,0.06%,0.76,+0.0074%,-0.0058%,$12.2k
114,StormX-STMX,$0.0078,-3.37%,$16.9m,$4.4m,-21.26%,0.02%,0.26,+0.0034%,+0.0036%,$51.4k
115,Hedera-HBAR,$0.0626,-3.58%,$16.8m,$7.7m,+1.98%,0.03%,0.46,-0.0036%,+0.0027%,$28.7k
116,Metal-MTL,$1.19,-2.45%,$16.6m,$6.6m,-7.46%,0.03%,0.40,-0.0306%,-0.0405%,$17.5k
117,IoTeX-IOTX,$0.0355,+2.79%,$15.6m,$6.6m,-2.90%,0.03%,0.43,+0.0047%,+0.0089%,$83.5k
118,Mask Network-MASK,$1.31,-2.60%,$15.6m,$6.4m,+4.75%,0.03%,0.41,-0.0009%,+0.0243%,$7.0k
119,Ontology-ONT,$0.2412,-1.30%,$15.3m,$8.9m,-4.72%,0.04%,0.58,+0.0083%,-0.0111%,$10.0k
120,Horizen-ZEN,$15.76,-1.97%,$15.2m,$6.5m,-3.26%,0.03%,0.43,+0.0070%,+0.0221%,$22.2k
