,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,586.31",+2.94%,$31.9b,$7.1b,+2.69%,30.40%,0.22,+0.0052%,-0.0011%,$70.0m
1,Bitcoin-BTC,"$20,078.80",+0.97%,$26.9b,$9.7b,-0.31%,41.58%,0.36,+0.0029%,+0.0015%,$22.1m
2,Ethereum Classic-ETC,$32.69,+2.97%,$1.4b,$376.4m,-2.51%,1.62%,0.27,+0.0052%,+0.0018%,$2.7m
3,EOS-EOS,$1.51,+5.73%,$1.3b,$207.6m,+12.54%,0.89%,0.16,-0.0028%,+0.0081%,$2.2m
4,Polygon-MATIC,$0.8840,+6.77%,$1.1b,$245.1m,+21.42%,1.05%,0.22,-0.0208%,-0.0193%,$2.5m
5,Solana-SOL,$31.44,+1.43%,$1.0b,$390.3m,+1.34%,1.68%,0.39,+0.0114%,+0.0075%,$1.8m
6,Tellor-TRB,$19.79,+3.65%,$812.3m,$68.0m,+1.23%,0.29%,0.08,-0.7685%,-0.5748%,$1.6m
7,Binance Coin-BNB,$277.68,+0.82%,$741.5m,$268.3m,+1.23%,1.15%,0.36,+0.0031%,+0.0086%,$518.4k
8,Cosmos-ATOM,$12.48,+7.61%,$722.5m,$127.3m,+9.40%,0.55%,0.18,-0.0004%,-0.0045%,$1.3m
9,Chiliz-CHZ,$0.2242,+8.60%,$678.2m,$117.0m,+18.26%,0.50%,0.17,+0.0097%,+0.0056%,$994.6k
10,Litecoin-LTC,$57.31,+4.11%,$625.3m,$192.1m,+5.25%,0.83%,0.31,+0.0023%,+0.0026%,$944.5k
11,Cardano-ADA,$0.4560,+2.82%,$587.4m,$268.9m,+1.41%,1.15%,0.46,+0.0034%,+0.0017%,$458.7k
12,Avalanche-AVAX,$19.18,+1.53%,$536.8m,$132.5m,+0.51%,0.57%,0.25,+0.0127%,+0.0116%,$762.5k
13,Ripple-XRP,$0.3306,+1.61%,$513.6m,$321.8m,-0.12%,1.38%,0.63,+0.0108%,+0.0113%,$787.1k
14,Optimism-OP,$1.16,+5.04%,$441.4m,$63.6m,+2.59%,0.27%,0.14,+0.0175%,+0.0161%,$611.7k
15,NEAR Protocol-NEAR,$4.26,+0.63%,$341.7m,$95.6m,-5.68%,0.41%,0.28,+0.0024%,-0.0019%,$407.2k
16,Dogecoin-DOGE,$0.0619,+2.44%,$323.5m,$122.3m,+0.54%,0.53%,0.38,+0.0088%,+0.0084%,$290.0k
17,Polkadot-DOT,$7.26,+4.31%,$320.5m,$271.1m,+4.56%,1.16%,0.85,-0.0023%,+0.0017%,$284.3k
18,Chainlink-LINK,$6.86,+5.23%,$296.5m,$101.9m,+4.26%,0.44%,0.34,-0.0054%,-0.0054%,$465.0k
19,STEPN-GMT,$0.6815,+2.88%,$279.1m,$109.9m,+4.24%,0.47%,0.39,+0.0049%,+0.0088%,$576.6k
20,Balancer-BAL,$7.56,+2.17%,$243.7m,$24.4m,+6.43%,0.10%,0.10,-0.0330%,+0.0149%,$612.6k
21,Curve DAO Token-CRV,$1.14,+4.48%,$236.3m,$59.8m,-0.28%,0.26%,0.25,+0.0025%,+0.0029%,$503.9k
22,Terra-LUNA,$1.87,-8.23%,$234.8m,$8.0m,-12.29%,0.03%,0.03,+0.0104%,+0.0166%,$1.1m
23,Filecoin-FIL,$5.77,+1.13%,$219.3m,$100.3m,+0.81%,0.43%,0.46,+0.0050%,+0.0102%,$219.3k
24,1000SHIB-1000SHIB,$0.0122,+1.66%,$216.1m,$37.9m,-1.16%,0.16%,0.18,+0.0100%,+0.0100%,$312.2k
25,Stargate Finance-STG,$0.6652,+5.37%,$213.4m,$20.3m,+4.59%,0.09%,0.10,-0.1580%,-0.1453%,$397.5k
26,ApeCoin-APE,$4.77,+1.57%,$191.8m,$66.0m,-0.15%,0.28%,0.34,-0.0007%,-0.0013%,$261.9k
27,FOOTBALL-FOOTBALL,"$1,171.32",+5.65%,$171.0m,$8.7m,+51.60%,0.04%,0.05,+0.2021%,+0.0887%,$396.1k
28,Bitcoin Cash-BCH,$116.35,+1.73%,$168.5m,$164.8m,-0.90%,0.71%,0.98,-0.0052%,-0.0002%,$220.6k
29,The Sandbox-SAND,$0.9434,+2.29%,$163.7m,$77.9m,+2.21%,0.33%,0.48,-0.0029%,+0.0003%,$304.6k
30,Synthetix Network Token-SNX,$3.01,+0.87%,$132.7m,$39.1m,-3.45%,0.17%,0.29,-0.0309%,-0.0389%,$165.3k
31,Waves-WAVES,$4.51,+1.84%,$128.7m,$52.8m,+3.00%,0.23%,0.41,+0.0069%,+0.0125%,$148.4k
32,Celsius-CEL,$1.49,+26.85%,$127.2m,$28.5m,+24.20%,0.12%,0.22,-0.2259%,-0.1385%,$1.5m
33,Axie Infinity-AXS,$14.44,+5.53%,$121.0m,$82.8m,+7.12%,0.36%,0.68,-0.0226%,-0.0354%,$198.8k
34,Aave-AAVE,$86.03,+3.76%,$115.6m,$44.6m,+4.85%,0.19%,0.39,+0.0007%,-0.0014%,$47.1k
35,Unifi Protocol DAO-UNFI,$7.60,+2.42%,$114.5m,$20.0m,+2.79%,0.09%,0.17,+0.0042%,+0.0032%,$176.5k
36,Fantom-FTM,$0.2719,+1.11%,$114.3m,$48.4m,+0.07%,0.21%,0.42,+0.0085%,+0.0055%,$140.5k
37,Compound-COMP,$46.90,+2.92%,$104.6m,$23.7m,+13.11%,0.10%,0.23,-0.0055%,-0.0193%,$21.1k
38,Ethereum Name Service-ENS,$13.37,+2.94%,$104.0m,$23.0m,+3.60%,0.10%,0.22,+0.0034%,-0.0020%,$84.0k
39,Uniswap-UNI,$6.34,+4.92%,$99.7m,$48.6m,+5.95%,0.21%,0.49,-0.0028%,+0.0008%,$128.7k
40,1inch-1INCH,$0.7023,+7.44%,$98.7m,$27.7m,+41.23%,0.12%,0.28,-0.0517%,-0.0999%,$216.5k
41,Tron-TRX,$0.0629,+0.11%,$97.3m,$135.9m,-5.05%,0.58%,1.40,-0.0190%,-0.0201%,$49.3k
42,1000XEC-1000XEC,$0.0453,-3.90%,$83.9m,$11.1m,-30.78%,0.05%,0.13,+0.0066%,+0.0039%,$179.9k
43,LUNA2-LUNA2,n/a,n/a,$83.0m,$4.0m,+5.68%,0.02%,0.05,+0.0100%,+0.0100%,$418.2k
44,Monero-XMR,$152.49,+0.28%,$82.4m,$42.8m,-4.22%,0.18%,0.52,-0.0019%,+0.0088%,$77.5k
45,Kyber Network Crystal-KNC,$1.75,+3.34%,$82.3m,$20.3m,+1.97%,0.09%,0.25,+0.0074%,+0.0143%,$76.6k
46,Gala-GALA,$0.0502,+1.36%,$82.2m,$34.2m,+3.57%,0.15%,0.42,+0.0102%,+0.0079%,$266.7k
47,Helium-HNT,$4.88,-0.70%,$81.8m,$14.2m,-2.15%,0.06%,0.17,-0.0053%,-0.0071%,$263.9k
48,Decentraland-MANA,$0.7798,+2.31%,$79.8m,$39.6m,+1.10%,0.17%,0.50,+0.0072%,+0.0107%,$38.2k
49,yearn.finance-YFI,"$9,211.23",+4.30%,$76.8m,$37.2m,+4.27%,0.16%,0.48,+0.0033%,-0.0033%,$70.9k
50,Flow (Dapper labs)-FLOW,$2.02,+0.65%,$74.0m,$29.7m,-3.61%,0.13%,0.40,-0.0010%,-0.0017%,$33.5k
51,ConstitutionDAO-PEOPLE,$0.0203,+2.13%,$72.2m,$25.8m,-6.19%,0.11%,0.36,-0.0006%,-0.0023%,$64.9k
52,dYdX-DYDX,$1.53,+1.73%,$71.2m,$35.4m,+2.82%,0.15%,0.50,-0.0001%,+0.0067%,$99.6k
53,THETA-THETA,$1.16,+0.84%,$69.7m,$21.9m,+2.80%,0.09%,0.31,+0.0053%,-0.0061%,$69.5k
54,CertiK-CTK,$0.9582,+7.36%,$64.2m,$11.1m,+16.09%,0.05%,0.17,+0.0037%,+0.0050%,$191.0k
55,ZCash-ZEC,$59.12,+2.42%,$60.5m,$21.8m,+0.33%,0.09%,0.36,-0.0015%,+0.0034%,$94.2k
56,Lido DAO Token-LDO,$2.05,+3.84%,$59.1m,$18.1m,+4.30%,0.08%,0.31,-0.0776%,-0.0781%,$160.4k
57,THORChain-RUNE,$1.93,+3.11%,$54.4m,$21.8m,-2.08%,0.09%,0.40,+0.0085%,+0.0082%,$100.9k
58,SHIBA INU-SHIB,$0.0000,+0.75%,$53.8m,$19.8m,+2.78%,0.08%,0.37,+0.0052%,+0.0023%,$57.8k
59,SushiSwap-SUSHI,$1.07,+4.39%,$45.3m,$27.4m,+3.35%,0.12%,0.60,+0.0063%,+0.0134%,$24.6k
60,Oasis Network-ROSE,$0.0650,+6.29%,$44.4m,$13.0m,+8.08%,0.06%,0.29,+0.0078%,+0.0077%,$29.5k
61,Chromia-CHR,$0.1795,-3.19%,$41.6m,$9.7m,-17.26%,0.04%,0.23,+0.0071%,+0.0062%,$128.9k
62,Algorand-ALGO,$0.2961,+3.33%,$40.9m,$27.6m,+3.92%,0.12%,0.67,+0.0053%,+0.0034%,$27.4k
63,Terra Classic-LUNC,$0.0002,-4.47%,$40.8m,$1.2m,-6.69%,0.01%,0.03,+0.0176%,+0.0100%,$398.8k
64,NEM-XEM,$0.0452,+3.52%,$39.9m,$9.5m,+12.41%,0.04%,0.24,+0.0030%,-0.1189%,$38.1k
65,Stellar Lumens-XLM,$0.1050,+1.09%,$37.6m,$35.6m,-2.41%,0.15%,0.95,-0.0057%,-0.0043%,$154.0k
66,Maker-MKR,$756.26,+0.97%,$37.4m,$17.1m,+3.10%,0.07%,0.46,-0.0108%,-0.0125%,$47.4k
67,Tezos-XTZ,$1.53,+3.04%,$36.2m,$26.5m,+6.22%,0.11%,0.73,+0.0038%,+0.0048%,$43.7k
68,DFI.Money-YFII,$994.90,+1.86%,$35.6m,$18.8m,-5.21%,0.08%,0.53,-0.1996%,-0.2931%,$145.1k
69,Kava-KAVA,$1.75,+2.94%,$35.3m,$12.5m,+1.74%,0.05%,0.35,+0.0062%,+0.0069%,$78.0k
70,The Graph-GRT,$0.1043,+2.65%,$34.8m,$22.1m,+1.80%,0.10%,0.64,+0.0111%,-0.0015%,$34.2k
71,VeChain-VET,$0.0243,+2.12%,$34.4m,$15.9m,-0.30%,0.07%,0.46,+0.0062%,+0.0048%,$60.5k
72,SafePal-SFP,$0.3882,-3.33%,$34.3m,$6.6m,-8.10%,0.03%,0.19,-0.0771%,-0.0830%,$70.2k
73,Reserve Rights-RSR,$0.0064,+3.09%,$34.3m,$16.5m,+5.16%,0.07%,0.48,+0.0094%,+0.0089%,$35.8k
74,Elrond-EGLD,$52.47,+1.37%,$33.9m,$16.4m,+0.44%,0.07%,0.48,+0.0052%,+0.0071%,$30.7k
75,iExec RLC-RLC,$1.13,+1.18%,$33.6m,$6.8m,-0.30%,0.03%,0.20,-0.0563%,-0.0634%,$87.9k
76,Flamingo-FLM,$0.1158,+3.18%,$33.4m,$18.2m,-0.90%,0.08%,0.54,-0.0134%,-0.0143%,$79.2k
77,Serum-SRM,$0.7937,+2.12%,$32.9m,$24.5m,+2.35%,0.11%,0.74,-0.0074%,-0.0104%,$7.8k
78,Zilliqa-ZIL,$0.0362,+2.15%,$32.5m,$23.1m,+2.91%,0.10%,0.71,+0.0035%,+0.0052%,$12.3k
79,Coin98-C98,$0.4167,-3.05%,$32.4m,$14.7m,-9.61%,0.06%,0.45,+0.0038%,+0.0031%,$19.9k
80,Dash-DASH,$44.82,+2.57%,$30.9m,$14.3m,+5.28%,0.06%,0.46,+0.0073%,+0.0040%,$45.0k
81,Bluzelle-BLZ,$0.0967,+1.23%,$30.5m,$7.9m,+1.53%,0.03%,0.26,+0.0093%,+0.0097%,$23.6k
82,Enjin Coin-ENJ,$0.5181,+3.01%,$29.6m,$13.7m,-3.21%,0.06%,0.46,+0.0050%,+0.0055%,$41.9k
83,Harmony-ONE,$0.0207,+0.08%,$29.5m,$14.4m,+0.39%,0.06%,0.49,+0.0004%,+0.0004%,$18.2k
