,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,596.00",+2.71%,$33.0b,$7.1b,+3.55%,30.32%,0.22,+0.0079%,+0.0011%,$73.1m
1,Bitcoin-BTC,"$20,192.59",+0.67%,$28.6b,$9.8b,+2.21%,41.64%,0.34,+0.0030%,+0.0048%,$25.7m
2,Ethereum Classic-ETC,$32.99,+2.64%,$1.4b,$398.5m,+2.82%,1.70%,0.28,-0.0030%,-0.0008%,$3.2m
3,EOS-EOS,$1.52,+11.14%,$1.2b,$205.7m,+20.95%,0.88%,0.17,+0.0001%,-0.0049%,$2.4m
4,Polygon-MATIC,$0.8837,+4.43%,$1.1b,$240.1m,+16.62%,1.02%,0.21,-0.0145%,-0.0217%,$2.7m
5,Solana-SOL,$31.61,+0.80%,$1.0b,$394.2m,+2.48%,1.68%,0.38,+0.0099%,+0.0082%,$1.9m
6,Tellor-TRB,$20.46,+13.67%,$963.6m,$67.6m,+5.52%,0.29%,0.07,-1.2500%,-1.2179%,$2.1m
7,Binance Coin-BNB,$278.82,+0.24%,$791.7m,$271.1m,+3.86%,1.16%,0.34,-0.0032%,+0.0018%,$615.9k
8,Cosmos-ATOM,$12.47,+5.76%,$734.9m,$128.1m,+10.62%,0.55%,0.17,-0.0076%,-0.0014%,$1.5m
9,Litecoin-LTC,$57.34,+4.70%,$640.5m,$201.5m,+11.15%,0.86%,0.31,+0.0071%,+0.0057%,$969.7k
10,Cardano-ADA,$0.4584,+2.48%,$613.0m,$276.7m,+3.37%,1.18%,0.45,+0.0044%,+0.0081%,$712.8k
11,Chiliz-CHZ,$0.2156,+2.22%,$574.0m,$96.4m,-6.08%,0.41%,0.17,+0.0091%,+0.0101%,$846.5k
12,Avalanche-AVAX,$19.34,+0.98%,$554.2m,$135.8m,+2.18%,0.58%,0.25,-0.0027%,+0.0137%,$865.9k
13,Ripple-XRP,$0.3333,+2.32%,$494.9m,$328.9m,+2.34%,1.40%,0.66,+0.0031%,+0.0114%,$766.9k
14,Optimism-OP,$1.17,+4.48%,$446.2m,$64.8m,+4.16%,0.28%,0.15,+0.0143%,+0.0131%,$655.0k
15,NEAR Protocol-NEAR,$4.33,+0.93%,$378.8m,$97.2m,-8.09%,0.41%,0.26,+0.0048%,+0.0027%,$561.9k
16,Dogecoin-DOGE,$0.0625,+2.48%,$346.3m,$123.2m,+1.50%,0.52%,0.36,+0.0102%,+0.0127%,$380.7k
17,Polkadot-DOT,$7.25,+3.42%,$325.1m,$269.8m,+4.17%,1.15%,0.83,+0.0041%,+0.0015%,$316.5k
18,Chainlink-LINK,$6.92,+5.01%,$303.7m,$105.2m,+6.45%,0.45%,0.35,+0.0051%,+0.0036%,$485.3k
19,STEPN-GMT,$0.6858,+2.70%,$288.3m,$111.3m,+5.62%,0.47%,0.39,+0.0087%,+0.0059%,$579.9k
