,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
0,Ethereum-ETH,"$1,598.28",+1.83%,$20.6b,$7.1b,+2.61%,29.51%,0.35,-0.0060%,-0.0058%,$33.8m
1,Bitcoin-BTC,"$19,766.36",-0.49%,$19.0b,$10.0b,+1.58%,41.62%,0.53,+0.0007%,+0.0010%,$11.1m
2,Ethereum Classic-ETC,$36.83,+13.78%,$3.8b,$600.5m,+57.12%,2.49%,0.16,-0.0107%,-0.0086%,$7.5m
3,Cardano-ADA,$0.4953,-0.98%,$916.6m,$314.0m,-10.23%,1.30%,0.34,+0.0034%,+0.0010%,$1.2m
4,Solana-SOL,$32.07,+0.44%,$808.5m,$389.6m,-2.59%,1.62%,0.48,+0.0072%,+0.0066%,$1.4m
5,EOS-EOS,$1.56,+5.34%,$724.4m,$200.5m,+7.75%,0.83%,0.28,+0.0101%,+0.0103%,$1.5m
6,Ravencoin-RVN,$0.0368,+8.14%,$624.1m,$32.7m,+38.73%,0.14%,0.05,-0.2232%,-0.0268%,$1.4m
7,Litecoin-LTC,$60.36,+0.74%,$529.2m,$223.2m,+0.51%,0.93%,0.42,+0.0074%,+0.0009%,$909.7k
8,Binance Coin-BNB,$275.25,-0.86%,$519.3m,$269.8m,+3.03%,1.12%,0.52,-0.0016%,+0.0015%,$356.9k
9,Polygon-MATIC,$0.8755,-1.76%,$494.7m,$219.0m,-6.26%,0.91%,0.44,-0.0003%,-0.0015%,$451.2k
10,Polkadot-DOT,$7.32,+0.12%,$486.5m,$274.5m,+1.71%,1.14%,0.56,+0.0061%,-0.0071%,$529.2k
11,Cosmos-ATOM,$12.54,-2.49%,$485.1m,$134.6m,-10.49%,0.56%,0.28,+0.0043%,-0.0097%,$922.2k
12,Ripple-XRP,$0.3315,+0.09%,$464.3m,$329.6m,+3.57%,1.37%,0.71,-0.0001%,-0.0050%,$503.6k
13,Chainlink-LINK,$7.29,+2.37%,$410.6m,$124.5m,+3.22%,0.52%,0.30,+0.0058%,+0.0073%,$466.7k
14,Filecoin-FIL,$6.05,-3.16%,$376.3m,$113.8m,-7.32%,0.47%,0.30,+0.0105%,+0.0103%,$669.5k
15,Avalanche-AVAX,$18.89,-0.13%,$372.9m,$144.7m,+0.91%,0.60%,0.39,-0.0063%,-0.0125%,$341.2k
16,The Sandbox-SAND,$0.9506,-1.54%,$367.1m,$83.3m,-6.20%,0.35%,0.23,+0.0088%,+0.0059%,$618.8k
17,Chiliz-CHZ,$0.2036,-3.93%,$360.9m,$100.5m,+2.53%,0.42%,0.28,+0.0132%,+0.0051%,$590.6k
18,Optimism-OP,$1.17,+1.04%,$330.4m,$72.4m,+4.26%,0.30%,0.22,+0.0079%,+0.0011%,$579.8k
19,1000SHIB-1000SHIB,$0.0124,-2.39%,$289.3m,$45.5m,-16.23%,0.19%,0.16,-0.0032%,+0.0037%,$528.7k
20,Dogecoin-DOGE,$0.0623,-1.01%,$284.2m,$128.6m,+0.99%,0.53%,0.45,+0.0101%,+0.0088%,$529.3k
21,Bitcoin Cash-BCH,$124.27,+5.71%,$269.5m,$193.6m,+15.15%,0.80%,0.72,-0.0043%,-0.0078%,$344.6k
